energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.16466438,0.02052909,0.00107840,0.57374933,0.79920068,0.01998085,1.53247001
-5.99399700,2.20321417,0.02014280,0.00109061,0.58618962,0.81538979,0.01990053,1.56274614
-5.98799400,2.23009262,0.01974327,0.00109643,0.59538155,0.82718742,0.01968483,1.58470747
-5.98199100,2.24467232,0.01931261,0.00109568,0.60117802,0.83435195,0.01933677,1.59789329
-5.97598799,2.24664878,0.01883838,0.00108835,0.60351295,0.83675737,0.01886243,1.60206698
-5.96998499,2.23605068,0.01831335,0.00107458,0.60240540,0.83439834,0.01827071,1.59722524
-5.96398199,2.21324158,0.01773515,0.00105466,0.59796136,0.82739217,0.01757290,1.58360130
-5.95797899,2.17891306,0.01710584,0.00102900,0.59037330,0.81597765,0.01678236,1.56166213
-5.95197599,2.13406975,0.01643142,0.00099814,0.57991757,0.80051079,0.01591397,1.53209961
-5.94597299,2.08000676,0.01572142,0.00096273,0.56694945,0.78145772,0.01498366,1.49581623
-5.93996998,2.01828024,0.01498834,0.00092353,0.55189637,0.75938486,0.01400788,1.45390558
-5.93396698,1.95067215,0.01424726,0.00088132,0.53524924,0.73494676,0.01300312,1.40762825
-5.92796398,1.87915015,0.01351544,0.00083696,0.51755220,0.70887195,0.01198544,1.35838396
-5.92196098,1.80582374,0.01281200,0.00079135,0.49939112,0.68194726,0.01097003,1.30768050
-5.91595798,1.73289778,0.01215767,0.00074537,0.48138109,0.65500079,0.00997092,1.25710029
-5.90995498,1.66262429,0.01157474,0.00069990,0.46415315,0.62888414,0.00900062,1.20826529
-5.90395198,1.59725366,0.01108697,0.00065578,0.44834057,0.60445420,0.00807000,1.16280098
-5.89794897,1.53898600,0.01071981,0.00061383,0.43456499,0.58255470,0.00718814,1.12230006
-5.89194597,1.48992349,0.01050059,0.00057479,0.42342257,0.56399802,0.00636228,1.08828640
-5.88594297,1.45202429,0.01045891,0.00053931,0.41547046,0.54954730,0.00559786,1.06217991
-5.87993997,1.42705883,0.01062717,0.00050801,0.41121380,0.53989934,0.00489864,1.04526272
-5.87393697,1.41656882,0.01104115,0.00048137,0.41109349,0.53566831,0.00426679,1.03864731
-5.86793397,1.42182972,0.01174074,0.00045980,0.41547491,0.53737057,0.00370314,1.04324692
-5.86193097,1.44381724,0.01277062,0.00044360,0.42463784,0.54541087,0.00320734,1.05974894
-5.85592796,1.48317845,0.01418113,0.00043299,0.43876786,0.56007016,0.00277811,1.08859177
-5.84992496,1.54020824,0.01602893,0.00042807,0.45794937,0.58149526,0.00241347,1.12994569
-5.84392196,1.61483194,0.01837773,0.00042883,0.48216059,0.60969079,0.00211098,1.18369860
-5.83791896,1.70659478,0.02129877,0.00043518,0.51127071,0.64451362,0.00186792,1.24944704
-5.83191596,1.81465906,0.02487113,0.00044692,0.54503941,0.68567017,0.00168151,1.32649341
-5.82591296,1.93780962,0.02918175,0.00046378,0.58311896,0.73271698,0.00154902,1.41384984
-5.81990995,2.07446842,0.03432501,0.00048536,0.62505898,0.78506471,0.00146797,1.51024925
-5.81390695,2.22271828,0.04040188,0.00051122,0.67031396,0.84198596,0.00143616,1.61416407
-5.80790395,2.38033622,0.04751853,0.00054083,0.71825349,0.90262677,0.00145173,1.72383263
-5.80190095,2.54483588,0.05578428,0.00057359,0.76817504,0.96602213,0.00151322,1.83729313
-5.79589795,2.71351861,0.06530893,0.00060884,0.81931896,1.03111503,0.00161953,1.95242477
-5.78989495,2.88353206,0.07619939,0.00064591,0.87088554,1.09677892,0.00176985,2.06699525
-5.78389195,3.05193482,0.08855562,0.00068405,0.92205336,1.16184298,0.00196362,2.17871351
-5.77788894,3.21576543,0.10246599,0.00072254,0.97199856,1.22511967,0.00220042,2.28528627
-5.77188594,3.37211337,0.11800210,0.00076061,1.01991434,1.28543347,0.00247984,2.38447664
-5.76588294,3.51818986,0.13521324,0.00079754,1.06502990,1.34165028,0.00280136,2.47416281
-5.75987994,3.65139591,0.15412072,0.00083261,1.10662834,1.39270604,0.00316420,2.55239487
-5.75387694,3.76938512,0.17471226,0.00086514,1.14406262,1.43763393,0.00356721,2.61744746
-5.74787394,3.87011902,0.19693674,0.00089452,1.17676924,1.47558882,0.00400871,2.66786642
-5.74187094,3.95191286,0.22069976,0.00092019,1.20427898,1.50586828,0.00448641,2.70250748
-5.73586793,4.01347027,0.24586009,0.00094166,1.22622456,1.52792927,0.00499733,2.72056543
-5.72986493,4.05390579,0.27222758,0.00095853,1.24234485,1.54139995,0.00553772,2.72159279
-5.72386193,4.07275455,0.29956271,0.00097051,1.25248582,1.54608613,0.00610313,2.70550707
-5.71785893,4.06996943,0.32757802,0.00097738,1.25659823,1.54197246,0.00668839,2.67258650
-5.71185593,4.04590613,0.35594172,0.00097903,1.25473249,1.52921818,0.00728772,2.62345465
-5.70585293,4.00129751,0.38428339,0.00097544,1.24703102,1.50814799,0.00789491,2.55905454
-5.69984992,3.93721868,0.41220190,0.00096670,1.23371877,1.47923850,0.00850349,2.48061364
-5.69384692,3.85504493,0.43927541,0.00095297,1.21509230,1.44310106,0.00910703,2.38960129
-5.68784392,3.75640459,0.46507305,0.00093451,1.19150820,1.40046168,0.00969937,2.28768049
-5.68184092,3.64312900,0.48916812,0.00091164,1.16337127,1.35213916,0.01027498,2.17665610
-5.67583792,3.51720184,0.51115212,0.00088475,1.13112309,1.29902224,0.01082931,2.05842154
-5.66983492,3.38070958,0.53064924,0.00085428,1.09523128,1.24204668,0.01135910,1.93490618
-5.66383192,3.23579491,0.54733049,0.00082072,1.05617989,1.18217313,0.01186275,1.80802512
-5.65782891,3.08461414,0.56092699,0.00078457,1.01446094,1.12036643,0.01234058,1.67963331
-5.65182591,2.92929964,0.57124161,0.00074637,0.97056737,1.05757688,0.01279507,1.55148504
-5.64582291,2.77192760,0.57815854,0.00070664,0.92498725,0.99472384,0.01323104,1.42520011
-5.63981991,2.61449123,0.58165004,0.00066591,0.87819905,0.93268177,0.01365571,1.30223705
-5.63381691,2.45887896,0.58178013,0.00062469,0.83066799,0.87226886,0.01407868,1.18387374
-5.62781391,2.30685715,0.57870491,0.00058348,0.78284302,0.81423793,0.01451179,1.07119537
-5.62181091,2.16005654,0.57266932,0.00054272,0.73515427,0.75926954,0.01496883,0.96508916
-5.61580790,2.01996146,0.56400036,0.00050284,0.68801075,0.70796690,0.01546518,0.86624529
-5.60980490,1.88790108,0.55309717,0.00046422,0.64179803,0.66085216,0.01601726,0.77516317
-5.60380190,1.76504189,0.54041801,0.00042718,0.59687587,0.61836391,0.01664196,0.69216203
-5.59779890,1.65238074,0.52646494,0.00039201,0.55357556,0.58085532,0.01735593,0.61739483
-5.59179590,1.55073813,0.51176662,0.00035895,0.51219711,0.54859288,0.01817478,0.55086445
-5.58579290,1.46075162,0.49685990,0.00032817,0.47300625,0.52175549,0.01911231,0.49244133
-5.57978989,1.38286925,0.48227114,0.00029981,0.43623140,0.50043373,0.02017968,0.44188152
-5.57378689,1.31734367,0.46849773,0.00027395,0.40206072,0.48462956,0.02138463,0.39884473
-5.56778389,1.26422715,0.45599076,0.00025063,0.37063948,0.47425634,0.02273079,0.36291162
-5.56178089,1.22336838,0.44513947,0.00022984,0.34206791,0.46913964,0.02421703,0.33360008
-5.55577789,1.19441188,0.43625790,0.00021153,0.31639976,0.46901889,0.02583706,0.31038030
-5.54977489,1.17680065,0.42957456,0.00019561,0.29364172,0.47355034,0.02757910,0.29268857
-5.54377189,1.16978304,0.42522523,0.00018196,0.27375391,0.48231164,0.02942579,0.27993974
-5.53776888,1.17242439,0.42324921,0.00017044,0.25665137,0.49480822,0.03135435,0.27153868
-5.53176588,1.18362394,0.42358918,0.00016087,0.24220687,0.51048186,0.03333692,0.26689072
-5.52576288,1.20213722,0.42609460,0.00015305,0.23025481,0.52872145,0.03534113,0.26541150
-5.51975988,1.22660399,0.43052844,0.00014680,0.22059622,0.54887605,0.03733090,0.26653615
-5.51375688,1.25558128,0.43657702,0.00014190,0.21300481,0.57027011,0.03926745,0.26972822
