energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.70634914,0.13881481,0.00000000,1.75972075,0.00000000,1.30141614,0.77372798
-5.99399700,2.68666128,0.13842580,0.00000000,1.74557819,0.00000000,1.29282194,0.76649632
-5.98799400,2.65643343,0.13763895,0.00000000,1.72423405,0.00000000,1.27911641,0.75616952
-5.98199100,2.61723362,0.13655506,0.00000000,1.69664662,0.00000000,1.26104616,0.74320553
-5.97598799,2.57087572,0.13528909,0.00000000,1.66392631,0.00000000,1.23949417,0.72812794
-5.96998499,2.51937659,0.13396770,0.00000000,1.62730748,0.00000000,1.21546338,0.71151264
-5.96398199,2.46490853,0.13272654,0.00000000,1.58811758,0.00000000,1.19005748,0.69397328
-5.95797899,2.40974863,0.13170721,0.00000000,1.54774443,0.00000000,1.16445961,0.67614616
-5.95197599,2.35622651,0.13105409,0.00000000,1.50760293,0.00000000,1.13990940,0.65867488
-5.94597299,2.30667208,0.13091103,0.00000000,1.46910210,0.00000000,1.11767871,0.64219539
-5.93996998,2.26336448,0.13141811,0.00000000,1.43361352,0.00000000,1.09904668,0.62732173
-5.93396698,2.22848357,0.13270826,0.00000000,1.40244183,0.00000000,1.08527425,0.61463297
-5.92796398,2.20406467,0.13490414,0.00000000,1.37679805,0.00000000,1.07757864,0.60466145
-5.92196098,2.19195733,0.13811496,0.00000000,1.35777608,0.00000000,1.07710784,0.59788258
-5.91595798,2.19378841,0.14243365,0.00000000,1.34633264,0.00000000,1.08491554,0.59470631
-5.90995498,2.21092975,0.14793407,0.00000000,1.34327069,0.00000000,1.10193644,0.59547023
-5.90395198,2.24447024,0.15466859,0.00000000,1.34922620,0.00000000,1.12896229,0.60043412
-5.89794897,2.29519223,0.16266580,0.00000000,1.36465802,0.00000000,1.16661883,0.60977610
-5.89194597,2.36355202,0.17192866,0.00000000,1.38984064,0.00000000,1.21534389,0.62358984
-5.88594297,2.44966425,0.18243289,0.00000000,1.42485928,0.00000000,1.27536710,0.64188302
-5.87993997,2.55329007,0.19412586,0.00000000,1.46960717,0.00000000,1.34669165,0.66457665
-5.87393697,2.67382919,0.20692588,0.00000000,1.52378472,0.00000000,1.42907882,0.69150522
-5.86793397,2.81031604,0.22072204,0.00000000,1.58690046,0.00000000,1.52203596,0.72241761
-5.86193097,2.96142061,0.23537467,0.00000000,1.65827369,0.00000000,1.62480890,0.75697886
-5.85592796,3.12545455,0.25071647,0.00000000,1.73703917,0.00000000,1.73637952,0.79477271
-5.84992496,3.30038356,0.26655437,0.00000000,1.82215410,0.00000000,1.85546968,0.83530525
-5.84392196,3.48384695,0.28267217,0.00000000,1.91240783,0.00000000,1.98055210,0.87800978
-5.83791896,3.67318541,0.29883410,0.00000000,2.00643488,0.00000000,2.10986913,0.92225315
-5.83191596,3.86547780,0.31478905,0.00000000,2.10273176,0.00000000,2.24145971,0.96734384
-5.82591296,4.05758760,0.33027576,0.00000000,2.19967820,0.00000000,2.37319489,1.01254199
-5.81990995,4.24621927,0.34502860,0.00000000,2.29556291,0.00000000,2.50282143,1.05707150
-5.81390695,4.42798422,0.35878404,0.00000000,2.38861431,0.00000000,2.62801314,1.10013426
-5.80790395,4.59947559,0.37128752,0.00000000,2.47703581,0.00000000,2.74642859,1.14092653
-5.80190095,4.75735029,0.38230059,0.00000000,2.55904533,0.00000000,2.85577372,1.17865705
-5.79589795,4.89841629,0.39160801,0.00000000,2.63291818,0.00000000,2.95386743,1.21256665
-5.78989495,5.01972237,0.39902469,0.00000000,2.69703218,0.00000000,3.03870769,1.24194880
-5.78389195,5.11864714,0.40440193,0.00000000,2.74991350,0.00000000,3.10853567,1.26617031
-5.77788894,5.19298380,0.40763302,0.00000000,2.79028140,0.00000000,3.16189511,1.28469152
-5.77188594,5.24101697,0.40865766,0.00000000,2.81709021,0.00000000,3.19768440,1.29708505
-5.76588294,5.26158774,0.40746510,0.00000000,2.82956629,0.00000000,3.21519867,1.30305215
-5.75987994,5.25414379,0.40409580,0.00000000,2.82723836,0.00000000,3.21415996,1.30243594
-5.75387694,5.21877146,0.39864145,0.00000000,2.80995926,0.00000000,3.19473348,1.29523063
-5.74787394,5.15620773,0.39124333,0.00000000,2.77791800,0.00000000,3.15752917,1.28158614
-5.74187094,5.06783064,0.38208899,0.00000000,2.73164084,0.00000000,3.10358787,1.26180771
-5.73586793,4.95562782,0.37140730,0.00000000,2.67198126,0.00000000,3.03435239,1.23635027
-5.72986493,4.82214392,0.35946214,0.00000000,2.60009855,0.00000000,2.95162454,1.20580751
-5.72386193,4.67040837,0.34654484,0.00000000,2.51742596,0.00000000,2.85750958,1.17089609
-5.71785893,4.50384640,0.33296564,0.00000000,2.42562924,0.00000000,2.75435047,1.13243545
-5.71185593,4.32617665,0.31904464,0.00000000,2.32655756,0.00000000,2.64465441,1.09132390
-5.70585293,4.14129949,0.30510239,0.00000000,2.22218852,0.00000000,2.53101478,1.04851218
-5.69984992,3.95318079,0.29145064,0.00000000,2.11456976,0.00000000,2.41603174,1.00497520
-5.69384692,3.76573562,0.27838344,0.00000000,2.00575956,0.00000000,2.30223450,0.96168351
