energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.49191635,0.31179352,1.93752047,0.09025841,0.07173707,0.08661341,0.14262018
-5.99399700,2.33877382,0.29162762,1.81946411,0.08553501,0.06632935,0.08092262,0.13436586
-5.98799400,2.18219843,0.27124924,1.69850214,0.08067106,0.06092941,0.07508659,0.12594766
-5.98199100,2.02446992,0.25093984,1.57642125,0.07573825,0.05560402,0.06919392,0.11748485
-5.97598799,1.86772168,0.23096010,1.45489449,0.07080330,0.05041339,0.06332821,0.10909066
-5.96998499,1.71389557,0.21154543,1.33544514,0.06592648,0.04541035,0.05756626,0.10086998
-5.96398199,1.56470767,0.19290269,1.21941917,0.06116057,0.04063962,0.05197671,0.09291758
-5.95797899,1.42162564,0.17520828,1.10796674,0.05655018,0.03613759,0.04661905,0.08531694
-5.95197599,1.28585730,0.15860759,1.00203273,0.05213150,0.03193222,0.04154297,0.07813967
-5.94597299,1.15835024,0.14321562,0.90235589,0.04793245,0.02804335,0.03678825,0.07144552
-5.93996998,1.03980098,0.12911861,0.80947559,0.04397312,0.02448312,0.03238487,0.06528289
-5.93396698,0.93067257,0.11637656,0.72374525,0.04026651,0.02125671,0.02835353,0.05968976
-5.92796398,0.83121866,0.10502641,0.64535100,0.03681950,0.01836305,0.02470642,0.05469495
-5.92196098,0.74151242,0.09508546,0.57433422,0.03363398,0.01579581,0.02144814,0.05031965
-5.91595798,0.66147837,0.08655520,0.51061641,0.03070798,0.01354428,0.01857681,0.04657901
-5.90995498,0.59092535,0.07942483,0.45402518,0.02803689,0.01159439,0.01608528,0.04348375
-5.90395198,0.52957906,0.07367478,0.40431987,0.02561462,0.00992959,0.01396228,0.04104172
-5.89794897,0.47711272,0.06927971,0.36121594,0.02343467,0.00853177,0.01219357,0.03925927
-5.89194597,0.43317481,0.06621109,0.32440709,0.02149101,0.00738199,0.01076305,0.03814239
-5.88594297,0.39741301,0.06443915,0.29358453,0.01977893,0.00646126,0.00965366,0.03769757
-5.87993997,0.36949375,0.06393434,0.26845293,0.01829556,0.00575105,0.00884823,0.03793237
-5.87393697,0.34911716,0.06466807,0.24874276,0.01704032,0.00523385,0.00833011,0.03885566
-5.86793397,0.33602721,0.06661305,0.23421907,0.01601515,0.00489347,0.00808362,0.04047760
-5.86193097,0.33001737,0.06974299,0.22468667,0.01522452,0.00471539,0.00809437,0.04280927
-5.85592796,0.33093183,0.07403205,0.21999197,0.01467537,0.00468692,0.00834938,0.04586206
-5.84992496,0.33866289,0.07945386,0.22002178,0.01437675,0.00479733,0.00883704,0.04964689
-5.84392196,0.35314488,0.08598045,0.22469940,0.01433946,0.00503788,0.00954701,0.05417323
-5.83791896,0.37434505,0.09358098,0.23397838,0.01457550,0.00540182,0.01046983,0.05944796
-5.83191596,0.40225219,0.10222052,0.24783440,0.01509736,0.00588434,0.01159663,0.06547420
-5.82591296,0.43686331,0.11185890,0.26625556,0.01591733,0.00648246,0.01291864,0.07225012
-5.81990995,0.47816897,0.12244970,0.28923167,0.01704668,0.00719493,0.01442670,0.07976774
-5.81390695,0.52613801,0.13393939,0.31674280,0.01849476,0.00802202,0.01611071,0.08801180
-5.80790395,0.58070187,0.14626674,0.34874764,0.02026813,0.00896539,0.01795920,0.09695876
