energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,5.32636968,0.22270325,0.09615386,0.57395634,3.00723295,0.11222164,1.13279096
-5.99399700,5.31828300,0.21886724,0.10052235,0.58715688,2.93543724,0.11992044,1.16743843
-5.98799400,5.32872321,0.21551381,0.10553086,0.60310307,2.87163282,0.12814653,1.20723922
-5.98199100,5.35911586,0.21276102,0.11116203,0.62190744,2.81742549,0.13680024,1.25212599
-5.97598799,5.41011466,0.21069592,0.11737992,0.64359368,2.77400582,0.14576484,1.30186602
-5.96998499,5.48157374,0.20937182,0.12413019,0.66809236,2.74211849,0.15490896,1.35606160
-5.96398199,5.57255063,0.20880688,0.13134089,0.69523985,2.72204917,0.16408971,1.41415626
-5.95797899,5.68133927,0.20898420,0.13892388,0.72478070,2.71362906,0.17315628,1.47544679
-5.95197599,5.80553154,0.20985338,0.14677681,0.75637308,2.71625616,0.18195386,1.53910054
-5.94597299,5.94210393,0.21133329,0.15478555,0.78959732,2.72893184,0.19032795,1.60417744
-5.93996998,6.08752547,0.21331612,0.16282706,0.82396710,2.75031042,0.19812856,1.66965571
-5.93396698,6.23788168,0.21567228,0.17077256,0.85894268,2.77875931,0.20521452,1.73446031
-5.92796398,6.38900919,0.21825609,0.17849088,0.89394588,2.81242668,0.21145742,1.79749295
-5.92196098,6.53663503,0.22091179,0.18585188,0.92837594,2.84931360,0.21674513,1.85766238
-5.91595798,6.67651479,0.22347981,0.19272979,0.96162578,2.88734754,0.22098484,1.91391383
-5.90995498,6.80456426,0.22580281,0.19900637,0.99309801,2.92445428,0.22410533,1.96525639
-5.90395198,6.91697935,0.22773137,0.20457376,1.02222006,2.95862541,0.22605852,2.01078743
-5.89794897,7.01034040,0.22912906,0.20933702,1.04845803,2.98797932,0.22682015,2.04971317
-5.89194597,7.08169760,0.22987674,0.21321605,1.07132872,3.01081352,0.22638973,2.08136480
-5.88594297,7.12863537,0.22987584,0.21614717,1.09040968,3.02564721,0.22478957,2.10520998
-5.87993997,7.14931481,0.22905077,0.21808405,1.10534698,3.03125306,0.22206318,2.12085939
