energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,1.96810250,0.03660289,0.21703954,0.01122824,0.00000000,0.57303844,1.08722667,0.00726154,0.56668141
-5.99399700,2.00364649,0.03783258,0.21814299,0.01164490,0.00000000,0.59308266,1.09575418,0.00753081,0.58563877
-5.98799400,2.03419395,0.03887141,0.21888889,0.01201955,0.00000000,0.61177748,1.10172301,0.00778432,0.60280685
-5.98199100,2.05876224,0.03969680,0.21923324,0.01234456,0.00000000,0.62876585,1.10470084,0.00801500,0.61779253
-5.97598799,2.07647427,0.04029070,0.21912864,0.01261332,0.00000000,0.64372508,1.10430674,0.00821645,0.63025209
-5.96998499,2.08658704,0.04064004,0.21852676,0.01282039,0.00000000,0.65637865,1.10022372,0.00838306,0.63990111
-5.96398199,2.08851823,0.04073713,0.21738116,0.01296176,0.00000000,0.66650725,1.09221070,0.00851014,0.64652325
-5.95797899,2.08186972,0.04057983,0.21565028,0.01303493,0.00000000,0.67395869,1.08011311,0.00859410,0.64997748
-5.95197599,2.06644680,0.04017157,0.21330054,0.01303906,0.00000000,0.67865609,1.06387148,0.00863248,0.65020341
-5.94597299,2.04227186,0.03952120,0.21030923,0.01297499,0.00000000,0.68060397,1.04352766,0.00862409,0.64722436
-5.93996998,2.00959204,0.03864272,0.20666713,0.01284528,0.00000000,0.67989186,1.01922825,0.00856905,0.64114819
-5.93396698,1.96888012,0.03755484,0.20238061,0.01265416,0.00000000,0.67669527,0.99122494,0.00846880,0.63216552
-5.92796398,1.92082850,0.03628042,0.19747319,0.01240741,0.00000000,0.67127375,0.95987179,0.00832609,0.62054562
-5.92196098,1.86633645,0.03484582,0.19198636,0.01211225,0.00000000,0.66396610,0.92561948,0.00814493,0.60662993
-5.91595798,1.80649102,0.03328015,0.18597967,0.01177713,0.00000000,0.65518287,0.88900675,0.00793052,0.59082343
-5.90995498,1.74254229,0.03161455,0.17953004,0.01141152,0.00000000,0.64539627,0.85064942,0.00768914,0.57358424
-5.90395198,1.67587381,0.02988138,0.17273034,0.01102564,0.00000000,0.63512787,0.81122728,0.00742798,0.55541170
-5.89794897,1.60796949,0.02811344,0.16568726,0.01063024,0.00000000,0.62493449,0.77146965,0.00715501,0.53683342
-5.89194597,1.54037785,0.02634325,0.15851859,0.01023625,0.00000000,0.61539282,0.73213972,0.00687877,0.51839160
-5.88594297,1.47467501,0.02460232,0.15135005,0.00985457,0.00000000,0.60708308,0.69401859,0.00660818,0.50062923
-5.87993997,1.41242747,0.02292058,0.14431174,0.00949574,0.00000000,0.60057256,0.65788915,0.00635231,0.48407635
-5.87393697,1.35515582,0.02132581,0.13753442,0.00916970,0.00000000,0.59639924,0.62452044,0.00612022,0.46923693
-5.86793397,1.30430009,0.01984314,0.13114570,0.00888556,0.00000000,0.59505623,0.59465264,0.00592068,0.45657660
-5.86193097,1.26118784,0.01849474,0.12526639,0.00865138,0.00000000,0.59697733,0.56898308,0.00576197,0.44651153
-5.85592796,1.22700515,0.01729946,0.12000694,0.00847397,0.00000000,0.60252415,0.54815323,0.00565169,0.43939863
-5.84992496,1.20277127,0.01627268,0.11546432,0.00835878,0.00000000,0.61197503,0.53273693,0.00559655,0.43552736
-5.84392196,1.18931691,0.01542612,0.11171923,0.00830973,0.00000000,0.62551611,0.52322963,0.00560217,0.43511300
-5.83791896,1.18726642,0.01476778,0.10883380,0.00832919,0.00000000,0.64323453,0.52003882,0.00567295,0.43829177
-5.83191596,1.19702380,0.01430197,0.10684985,0.00841788,0.00000000,0.66511408,0.52347541,0.00581186,0.44511746
-5.82591296,1.21876265,0.01402932,0.10578766,0.00857489,0.00000000,0.69103309,0.53374614,0.00602036,0.45555990
-5.81990995,1.25241977,0.01394690,0.10564531,0.00879772,0.00000000,0.72076475,0.55094691,0.00629827,0.46950500
-5.81390695,1.29769268,0.01404836,0.10639863,0.00908228,0.00000000,0.75397973,0.57505718,0.00664374,0.48675650
-5.80790395,1.35404093,0.01432419,0.10800163,0.00942302,0.00000000,0.79025105,0.60593551,0.00705316,0.50703925
-5.80190095,1.42069130,0.01476188,0.11038754,0.00981303,0.00000000,0.82906105,0.64331644,0.00752125,0.53000418
-5.79589795,1.49664710,0.01534628,0.11347030,0.01024420,0.00000000,0.86981059,0.68680905,0.00804104,0.55523475
-5.78989495,1.58070173,0.01605994,0.11714656,0.01070735,0.00000000,0.91183003,0.73589745,0.00860402,0.58225491
-5.78389195,1.67145663,0.01688344,0.12129809,0.01119246,0.00000000,0.95439215,0.78994363,0.00920026,0.61053857
