energy_ev,total_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.86529483,0.82024949,2.60050426,2.18245594,0.66248933,0.00043929,1.32212873,0.03295644,0.19279169
-5.99399700,4.84290326,0.83417863,2.63001367,2.13364725,0.64708741,0.00044255,1.29240036,0.03194775,0.19102194
-5.98799400,4.82155716,0.85002006,2.66252569,2.08180470,0.63112799,0.00044712,1.26115379,0.03095541,0.18992207
-5.98199100,4.80252439,0.86791314,2.69831048,2.02798333,0.61490051,0.00045316,1.22894457,0.02999053,0.18954885
-5.97598799,4.78691494,0.88795351,2.73754789,1.97318790,0.59867403,0.00046080,1.19629021,0.02906297,0.18995173
-5.96998499,4.77565356,0.91019001,2.78032202,1.91834735,0.58269147,0.00047017,1.16365903,0.02818111,0.19117051
-5.96398199,4.76946151,0.93462328,2.82661895,1.86429511,0.56716543,0.00048135,1.13146238,0.02735165,0.19323339
-5.95797899,4.76884716,0.96120617,2.87632712,1.81175564,0.55227577,0.00049440,1.10005028,0.02657948,0.19615548
-5.95197599,4.77410510,0.98984596,2.92924015,1.76133694,0.53816874,0.00050932,1.06971029,0.02586765,0.19993778
-5.94597299,4.78532274,1.02040819,2.98506176,1.71352886,0.52495749,0.00052608,1.04066919,0.02521742,0.20456654
-5.93996998,4.80239336,1.05272203,3.04341238,1.66870619,0.51272384,0.00054460,1.01309709,0.02462830,0.21001313
-5.93396698,4.82503418,1.08658689,3.10383716,1.62713587,0.50152091,0.00056476,0.98711320,0.02409829,0.21623429
-5.92796398,4.85280828,1.12178005,3.16581515,1.58898712,0.49137636,0.00058640,0.96279279,0.02362397,0.22317277
-5.92196098,4.88514873,1.15806487,3.22876928,1.55434337,0.48229595,0.00060930,0.94017460,0.02320083,0.23075830
-5.91595798,4.92138399,1.19519926,3.29207715,1.52321512,0.47426719,0.00063323,0.91926810,0.02282346,0.23890893
-5.90995498,4.96076322,1.23294403,3.35508243,1.49555254,0.46726268,0.00065790,0.90006029,0.02248585,0.24753260
-5.90395198,5.00248073,1.27107063,3.41710668,1.47125714,0.46124322,0.00068303,0.88252129,0.02218165,0.25652900
-5.89794897,5.04569880,1.30936796,3.47746162,1.45019201,0.45616029,0.00070829,0.86660891,0.02190439,0.26579164
-5.89194597,5.08956850,1.34764781,3.53546171,1.43219010,0.45195805,0.00073337,0.85227163,0.02164777,0.27521009
-5.88594297,5.13324799,1.38574872,3.59043675,1.41706049,0.44857476,0.00075795,0.83945043,0.02140584,0.28467239
-5.87993997,5.17591846,1.42353793,3.64174463,1.40459275,0.44594364,0.00078171,0.82807923,0.02117317,0.29406760
-5.87393697,5.21679761,1.46091141,3.68878367,1.39455959,0.44399335,0.00080436,0.81808439,0.02094501,0.30328835
-5.86793397,5.25515080,1.49779186,3.73100458,1.38671818,0.44264814,0.00082562,0.80938354,0.02071744,0.31223348
-5.86193097,5.29030033,1.53412480,3.76792169,1.38081067,0.44182784,0.00084527,0.80188396,0.02048736,0.32081062
-5.85592796,5.32163290,1.56987309,3.79912311,1.37656442,0.44144783,0.00086309,0.79548106,0.02025261,0.32893870
-5.84992496,5.34860586,1.60501008,3.82427969,1.37369243,0.44141912,0.00087893,0.79005706,0.02001197,0.33655031
-5.84392196,5.37075247,1.63951202,3.84315256,1.37189446,0.44164867,0.00089267,0.78548041,0.01976511,0.34359382
-5.83791896,5.38768652,1.67335006,3.85559894,1.37085934,0.44204004,0.00090426,0.78160598,0.01951255,0.35003526
-5.83191596,5.39910662,1.70648270,3.86157630,1.37026857,0.44249441,0.00091369,0.77827638,0.01925565,0.35585984
