energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.07399277,0.62181987,1.66023725,0.00251607,0.28539422,0.99463317,0.70821147,0.02253436,0.27302504
-5.99399700,3.06028924,0.61936159,1.63346377,0.00256574,0.28980342,0.99364679,0.71710652,0.02235254,0.27361416
-5.98799400,3.06614867,0.62219632,1.61786729,0.00264061,0.29558495,0.99784700,0.73022878,0.02231817,0.27591304
-5.98199100,3.09103223,0.63012653,1.61335987,0.00274144,0.30264731,1.00708829,0.74734330,0.02242261,0.27986396
-5.97598799,3.13401106,0.64286775,1.61964045,0.00286867,0.31086352,1.02110273,0.76812287,0.02265377,0.28537801
-5.96998499,3.19379094,0.66005422,1.63620546,0.00302232,0.32007468,1.03951015,0.79215533,0.02299647,0.29233620
-5.96398199,3.26874582,0.68124649,1.66236393,0.00320202,0.33009450,1.06183156,0.81895328,0.02343283,0.30059145
-5.95797899,3.35695932,0.70594056,1.69725658,0.00340690,0.34071456,1.08750517,0.84796575,0.02394278,0.30997132
-5.95197599,3.45627317,0.73357847,1.73987836,0.00363562,0.35171033,1.11590449,0.87859171,0.02450463,0.32028157
-5.94597299,3.56434132,0.76356019,1.78910409,0.00388628,0.36284752,1.14635777,0.91019497,0.02509572,0.33131039
-5.93996998,3.67868825,0.79525643,1.84371622,0.00415645,0.37388874,1.17816803,0.94212016,0.02569309,0.34283331
-5.93396698,3.79677008,0.82802220,1.90243440,0.00444313,0.38460010,1.21063318,0.97370931,0.02627414,0.35461847
-5.92796398,3.91603698,0.86121078,1.96394603,0.00474280,0.39475762,1.24306553,1.00431853,0.02681732,0.36643238
-5.92196098,4.03399508,0.89418776,2.02693708,0.00505138,0.40415332,1.27481003,1.03333448,0.02730277,0.37804566
-5.91595798,4.14826660,0.92634483,2.09012263,0.00536436,0.41260061,1.30526103,1.06019000,0.02771291,0.38923893
-5.90995498,4.25664655,0.95711304,2.15227633,0.00567680,0.41993914,1.33387694,1.08437851,0.02803296,0.39980839
-5.90395198,4.35715459,0.98597510,2.21225819,0.00598345,0.42603867,1.36019265,1.10546686,0.02825139,0.40957103
-5.89794897,4.44808078,1.01247645,2.26903997,0.00627888,0.43080215,1.38382945,1.12310611,0.02836019,0.41836936
-5.89194597,4.52802398,1.03623475,2.32172768,0.00655757,0.43416774,1.40450239,1.13704004,0.02835513,0.42607529
-5.88594297,4.59592188,1.05694761,2.36958039,0.00681409,0.43610995,1.42202499,1.14711100,0.02823581,0.43259329
-5.87993997,4.65107176,1.07439813,2.41202502,0.00704325,0.43663963,1.43631130,1.15326312,0.02800563,0.43786251
-5.87393697,4.69314139,1.08845818,2.44866645,0.00724022,0.43580318,1.44737537,1.15554255,0.02767160,0.44185784
-5.86793397,4.72216943,1.09908927,2.47929261,0.00740074,0.43368069,1.45532825,1.15409480,0.02724409,0.44458992
-5.86193097,4.73855527,1.10634080,2.50387424,0.00752124,0.43038330,1.46037255,1.14915923,0.02673639,0.44610400
-5.85592796,4.74303828,1.11034581,2.52255913,0.00759898,0.42604972,1.46279469,1.14106077,0.02616426,0.44647770
-5.84992496,4.73666673,1.11131424,2.53566079,0.00763212,0.42084212,1.46295508,1.13019910,0.02554535,0.44581771
-5.84392196,4.72075723,1.10952383,2.54364174,0.00761985,0.41494135,1.46127630,1.11703560,0.02489857,0.44425559
-5.83791896,4.69684544,1.10530901,2.54709175,0.00756243,0.40854173,1.45822955,1.10207840,0.02424347,0.44194270
-5.83191596,4.66662953,1.09904795,2.54670155,0.00746113,0.40184545,1.45431962,1.08586593,0.02359951,0.43904449
-5.82591296,4.63190798,1.09114840,2.54323289,0.00731830,0.39505676,1.45006870,1.06894956,0.02298550,0.43573429
-5.81990995,4.59451372,1.08203257,2.53748584,0.00713722,0.38837609,1.44599947,1.05187579,0.02241887,0.43218684
-5.81390695,4.55624683,1.07212183,2.53026456,0.00692204,0.38199422,1.44261777,1.03516867,0.02191518,0.42857183
-5.80790395,4.51880808,1.06182162,2.52234276,0.00667765,0.37608670,1.44039552,1.01931286,0.02148759,0.42504754
-5.80190095,4.48373614,1.05150727,2.51443047,0.00640950,0.37080870,1.43975433,1.00473820,0.02114642,0.42175506
