energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,3.06787220,0.00079414,0.45386017,1.00582871,1.80020021,0.01740588,0.58458198
-5.99399700,3.12414464,0.00081312,0.46507000,1.02454220,1.83821810,0.01754860,0.59052012
-5.98799400,3.17999724,0.00084099,0.47705571,1.04406347,1.87694523,0.01773066,0.59520547
-5.98199100,3.23594480,0.00087803,0.48985913,1.06443320,1.91672989,0.01794145,0.59879321
-5.97598799,3.29253559,0.00092454,0.50351490,1.08571250,1.95792016,0.01817033,0.60146287
-5.96998499,3.35031669,0.00098080,0.51804543,1.10797453,2.00084137,0.01840694,0.60341117
-5.96398199,3.40979817,0.00104708,0.53345610,1.13129505,2.04577346,0.01864147,0.60484432
-5.95797899,3.47141805,0.00112360,0.54973084,1.15574263,2.09292934,0.01886492,0.60596995
-5.95197599,3.53551008,0.00121053,0.56682837,1.18136903,2.14243561,0.01906934,0.60698919
-5.94597299,3.60227597,0.00130795,0.58467955,1.20820039,2.19431661,0.01924800,0.60808909
-5.93996998,3.67176372,0.00141586,0.60318585,1.23622978,2.24848299,0.01939556,0.60943584
-5.93396698,3.74385324,0.00153413,0.62221921,1.26541152,2.30472516,0.01950818,0.61116896
-5.92796398,3.81824996,0.00166253,0.64162331,1.29565777,2.36271241,0.01958361,0.61339683
-5.92196098,3.89448696,0.00180066,0.66121626,1.32683734,2.42199754,0.01962120,0.61619360
-5.91595798,3.97193525,0.00194798,0.68079456,1.35877709,2.48202696,0.01962187,0.61959763
-5.90995498,4.04982180,0.00210379,0.70013815,1.39126567,2.54215568,0.01958811,0.62361146
-5.90395198,4.12725413,0.00226725,0.71901639,1.42405941,2.60166647,0.01952381,0.62820338
-5.89794897,4.20325024,0.00243735,0.73719448,1.45689011,2.65979214,0.01943416,0.63331023
-5.89194597,4.27677222,0.00261296,0.75444023,1.48947423,2.71573986,0.01932544,0.63884151
-5.88594297,4.34676179,0.00279283,0.77053061,1.52152306,2.76871635,0.01920486,0.64468440
-5.87993997,4.41217605,0.00297562,0.78525795,1.55275339,2.81795263,0.01908024,0.65070950
-5.87393697,4.47202180,0.00315992,0.79843538,1.58289801,2.86272736,0.01895985,0.65677701
-5.86793397,4.52538691,0.00334428,0.80990144,1.61171586,2.90238769,0.01885205,0.66274300
-5.86193097,4.57146753,0.00352725,0.81952347,1.63900117,2.93636696,0.01876507,0.66846559
-5.85592796,4.60959028,0.00370741,0.82719995,1.66459134,2.96419860,0.01870672,0.67381072
-5.84992496,4.63922889,0.00388342,0.83286166,1.68837337,2.98552602,0.01868412,0.67865728
-5.84392196,4.66001501,0.00405403,0.83647169,1.71028856,3.00010845,0.01870349,0.68290151
-5.83791896,4.67174334,0.00421815,0.83802455,1.73033549,3.00782275,0.01876992,0.68646042
-5.83191596,4.67437142,0.00437486,0.83754439,1.74857117,3.00866176,0.01888721,0.68927423
-5.82591296,4.66801474,0.00452342,0.83508265,1.76511043,3.00272938,0.01905771,0.69130774
-5.81990995,4.65293770,0.00466335,0.83071526,1.78012364,2.99023318,0.01928227,0.69255063
-5.81390695,4.62954127,0.00479439,0.82453957,1.79383280,2.97147497,0.01956020,0.69301685
-5.80790395,4.59834823,0.00491653,0.81667129,1.80650617,2.94683985,0.01988925,0.69274294
-5.80190095,4.55998641,0.00503003,0.80724137,1.81845155,2.91678445,0.02026571,0.69178561
-5.79589795,4.51517081,0.00513540,0.79639311,1.83000833,2.88182450,0.02068449,0.69021868
-5.78989495,4.46468504,0.00523338,0.78427939,1.84153851,2.84252236,0.02113930,0.68812934
-5.78389195,4.40936247,0.00532493,0.77106016,1.85341684,2.79947452,0.02162280,0.68561416
-5.77788894,4.35006744,0.00541120,0.75690005,1.86602032,2.75329944,0.02212680,0.68277481
-5.77188594,4.28767688,0.00549346,0.74196619,1.87971730,2.70462571,0.02264256,0.67971383
-5.76588294,4.22306247,0.00557313,0.72642606,1.89485646,2.65408072,0.02316094,0.67653045
-5.75987994,4.15707363,0.00565163,0.71044544,1.91175607,2.60227989,0.02367269,0.67331677
-5.75387694,4.09052170,0.00573042,0.69418628,1.93069381,2.54981649,0.02416868,0.67015443
-5.74787394,4.02416536,0.00581089,0.67780470,1.95189765,2.49725231,0.02464012,0.66711178
-5.74187094,3.95869784,0.00589434,0.66144882,1.97553805,2.44510913,0.02507876,0.66424190
-5.73586793,3.89473614,0.00598189,0.64525671,2.00172207,2.39386140,0.02547705,0.66158132
-5.72986493,3.83281263,0.00607449,0.62935439,2.03048955,2.34393009,0.02582830,0.65914966
-5.72386193,3.77336937,0.00617287,0.61385395,2.06181164,2.29567815,0.02612680,0.65695012
-5.71785893,3.71675535,0.00627749,0.59885184,2.09559198,2.24940749,0.02636786,0.65497081
-5.71185593,3.66322689,0.00638856,0.58442753,2.13167046,2.20535795,0.02654792,0.65318688
-5.70585293,3.61295120,0.00650601,0.57064249,2.16982951,2.16370805,0.02666449,0.65156331
-5.69984992,3.56601298,0.00662953,0.55753959,2.20980272,2.12457772,0.02671618,0.65005824
-5.69384692,3.52242381,0.00675858,0.54514302,2.25128543,2.08803285,0.02670266,0.64862661
-5.68784392,3.48213393,0.00689237,0.53345873,2.29394681,2.05409147,0.02662457,0.64722391
-5.68184092,3.44504574,0.00702997,0.52247531,2.33744286,2.02273132,0.02648345,0.64580994
-5.67583792,3.41102854,0.00717030,0.51216550,2.38142975,1.99389849,0.02628165,0.64435217
-5.66983492,3.37993349,0.00731214,0.50248805,2.42557663,1.96751661,0.02602224,0.64282861
-5.66383192,3.35160813,0.00745421,0.49339003,2.46957752,1.94349624,0.02570888,0.64122996
-5.65782891,3.32590973,0.00759519,0.48480943,2.51316132,1.92174387,0.02534573,0.63956096
-5.65182591,3.30271648,0.00773371,0.47667803,2.55609963,1.90217016,0.02493738,0.63784070
-5.64582291,3.28193618,0.00786838,0.46892434,2.59821172,1.88469697,0.02448871,0.63610193
-5.63981991,3.26351172,0.00799778,0.46147658,2.63936645,1.86926271,0.02400484,0.63438944
-5.63381691,3.24742311,0.00812050,0.45426556,2.67948084,1.85582589,0.02349107,0.63275738
-5.62781391,3.23368591,0.00823505,0.44722734,2.71851539,1.84436649,0.02295281,0.63126584
-5.62181091,3.22234619,0.00833994,0.44030557,2.75646627,1.83488531,0.02239552,0.62997679
-5.61580790,3.21347215,0.00843360,0.43345354,2.79335461,1.82740110,0.02182470,0.62894957
-5.60980490,3.20714303,0.00851438,0.42663557,2.82921364,1.82194576,0.02124586,0.62823621
-5.60380190,3.20343579,0.00858060,0.41982805,2.86407407,1.81855786,0.02066447,0.62787693
-5.59779890,3.20241044,0.00863048,0.41301984,2.89794863,1.81727485,0.02008593,0.62789587
-5.59179590,3.20409477,0.00866222,0.40621202,2.93081661,1.81812430,0.01951561,0.62829759
-5.58579290,3.20846947,0.00867401,0.39941724,2.96260925,1.82111487,0.01895871,0.62906433
-5.57978989,3.21545456,0.00866407,0.39265834,2.99319699,1.82622729,0.01842032,0.63015435
-5.57378689,3.22489789,0.00863070,0.38596665,3.02237940,1.83340617,0.01790532,0.63150150
-5.56778389,3.23656674,0.00857240,0.37937979,3.04987846,1.84255296,0.01741833,0.63301590
-5.56178089,3.25014286,0.00848786,0.37293931,3.07533612,1.85352057,0.01696363,0.63458605
-5.55577789,3.26522176,0.00837610,0.36668801,3.09831618,1.86611021,0.01654513,0.63608203
-5.54977489,3.28131619,0.00823653,0.36066737,3.11831110,1.88007050,0.01616625,0.63735978
-5.54377189,3.29786417,0.00806901,0.35491499,3.13475339,1.89509920,0.01582984,0.63826634
-5.53776888,3.31424116,0.00787390,0.34946226,3.14703150,1.91084757,0.01553812,0.63864565
-5.53176588,3.32977594,0.00765210,0.34433238,3.15450951,1.92692719,0.01529260,0.63834481
