energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-5.71785893,8.04666319,1.85948493,4.49617062,0.07605483,0.17605168,0.93767148,1.23025340,0.06016270,1.75408244
-5.71185593,7.88907840,1.89319614,4.31192680,0.07787778,0.17974375,0.95795686,1.23278258,0.06089280,1.76737003
-5.70585293,7.72740614,1.92290495,4.12645534,0.07947094,0.18292319,0.97779673,1.23459878,0.06162237,1.77946965
-5.69984992,7.56091038,1.94763226,3.94090556,0.08078343,0.18549966,0.99652826,1.23511795,0.06229787,1.78941692
-5.69384692,7.38888858,1.96650312,3.75632661,0.08176872,0.18739502,1.01350460,1.23380672,0.06286991,1.79630929
-5.68784392,7.21072049,1.97877273,3.57365891,0.08238614,0.18854551,1.02811223,1.23020201,0.06329458,1.79933469
-5.68184092,7.02591617,1.98384870,3.39373154,0.08260221,0.18890369,1.03978766,1.22392790,0.06353470,1.79779718
-5.67583792,6.83416045,1.98130850,3.21726481,0.08239186,0.18843975,1.04803263,1.21470893,0.06356071,1.79113840
-5.66983492,6.63535114,1.97091147,3.04487713,0.08173929,0.18714228,1.05242750,1.20237930,0.06335130,1.77895407
-5.66383192,6.42962839,1.95260462,2.87709501,0.08063855,0.18501853,1.05264209,1.18688760,0.06289376,1.76100472
-5.65782891,6.21739342,1.92652220,2.71436488,0.07909385,0.18209393,1.04844369,1.16829686,0.06218396,1.73722030
-5.65182591,5.99931505,1.89297898,2.55706555,0.07711944,0.17841114,1.03970203,1.14677991,0.06122604,1.70769857
-5.64582291,5.77632343,1.85245747,2.40552016,0.07473916,0.17402845,1.02639091,1.12261045,0.06003183,1.67269732
-5.63981991,5.54959092,1.80558988,2.26000651,0.07198565,0.16901781,1.00858656,1.09615006,0.05861995,1.63262090
-5.63381691,5.32050089,1.75313532,2.12076534,0.06889929,0.16346240,0.98646291,1.06783201,0.05701480,1.58800186
-5.62781391,5.09060593,1.69595352,1.98800582,0.06552683,0.15745394,0.96028394,1.03814253,0.05524530,1.53947829
-5.62181091,4.86157749,1.63497597,1.86190827,0.06191989,0.15108984,0.93039344,1.00760046,0.05334360,1.48776834
-5.61580790,4.63514945,1.57117580,1.74262415,0.05813330,0.14447024,0.89720270,0.97673616,0.05134364,1.43364270
-5.60980490,4.41305842,1.50553748,1.63027370,0.05422343,0.13769519,0.86117664,0.94607072,0.04927992,1.37789646
-5.60380190,4.19698371,1.43902761,1.52494168,0.05024648,0.13086184,0.82281888,0.91609631,0.04718614,1.32132156
-5.59779890,3.98848985,1.37256777,1.42667209,0.04625699,0.12406202,0.78265639,0.88725839,0.04509407,1.26468079
-5.59179590,3.78897434,1.30701033,1.33546223,0.04230634,0.11738004,0.74122424,0.85994067,0.04303263,1.20868443
-5.58579290,3.59962279,1.24311802,1.25125723,0.03844160,0.11089086,0.69905105,0.83445310,0.04102700,1.15397033
-5.57978989,3.42137354,1.18154775,1.17394540,0.03470455,0.10465874,0.65664559,0.81102341,0.03909816,1.10108798
-5.57378689,3.25489269,1.12283896,1.10335514,0.03113095,0.09873626,0.61448491,0.78979225,0.03726243,1.05048701
-5.56778389,3.10056054,1.06740674,1.03925376,0.02775008,0.09316379,0.57300433,0.77081203,0.03553141,1.00251027
-5.56178089,2.95846938,1.01553949,0.98134856,0.02458463,0.08796936,0.53258965,0.75404921,0.03391201,0.95739132
-5.55577789,2.82843220,0.96740099,0.92929021,0.02165066,0.08316899,0.49357143,0.73938972,0.03240670,0.91525629
-5.54977489,2.71000150,0.92303641,0.88267843,0.01895798,0.07876726,0.45622161,0.72664712,0.03101392,0.87612952
-5.54377189,2.60249676,0.88238169,0.84106980,0.01651049,0.07475825,0.42075228,0.71557304,0.02972858,0.83994244
-5.53776888,2.50503914,0.84527584,0.80398744,0.01430690,0.07112671,0.38731649,0.70586918,0.02854270,0.80654525
-5.53176588,2.41659155,0.81147537,0.77093208,0.01234133,0.06784943,0.35601081,0.69720048,0.02744605,0.77572036
-5.52576288,2.33600220,0.78067014,0.74139432,0.01060413,0.06489665,0.32687951,0.68920874,0.02642681,0.74719729
-5.51975988,2.26204995,0.75250016,0.71486735,0.00908263,0.06223367,0.29991982,0.68152632,0.02547226,0.72066796
-5.51375688,2.19348965,0.72657253,0.69085992,0.00776193,0.05982237,0.27508819,0.67378924,0.02456940,0.69580213
-5.50775388,2.12909587,0.70247798,0.66890906,0.00662564,0.05762274,0.25230706,0.66564945,0.02370547,0.67226201
-5.50175088,2.06770379,0.67980663,0.64859209,0.00565655,0.05559431,0.23147190,0.65678587,0.02286851,0.64971597
-5.49574787,2.00824603,0.65816237,0.62953774,0.00483723,0.05369751,0.21245815,0.64691383,0.02204769,0.62785067
