energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,14.75438605,0.15763456,0.12725766,0.09686632,0.03105264,0.03956744,0.37797302,0.28693464,13.44724123
-5.99399700,14.03581204,0.15140273,0.12123116,0.09589420,0.02956202,0.03744530,0.36275100,0.27587039,12.77522234
-5.98799400,13.31211678,0.14567576,0.11561520,0.09456093,0.02812386,0.03541524,0.34858685,0.26503885,12.09746219
-5.98199100,12.58732168,0.14047322,0.11041994,0.09289763,0.02673699,0.03347941,0.33553938,0.25447392,11.41763071
-5.97598799,11.86597213,0.13584141,0.10567000,0.09094662,0.02540337,0.03164292,0.32372001,0.24423933,10.73978325
-5.96998499,11.15305512,0.13185382,0.10140508,0.08876026,0.02412814,0.02991399,0.31329370,0.23442814,10.06828089
-5.96398199,10.45389814,0.12861079,0.09768003,0.08639931,0.02291960,0.02830399,0.30447821,0.22516112,9.40769626
-5.95797899,9.77405311,0.12623842,0.09456452,0.08393096,0.02178901,0.02682736,0.29754179,0.21658428,8.76270865
-5.95197599,9.11917017,0.12488680,0.09214221,0.08142654,0.02075036,0.02550145,0.29279944,0.20886537,8.13799252
-5.94597299,8.49486606,0.12472759,0.09050958,0.07895911,0.01981997,0.02434626,0.29060762,0.20218976,7.53810395
-5.93996998,7.90659216,0.12595098,0.08977423,0.07660096,0.01901610,0.02338409,0.29135767,0.19675576,6.96736962
-5.93396698,7.35950714,0.12876202,0.09005300,0.07442110,0.01835841,0.02263912,0.29546806,0.19276943,6.42978255
-5.92796398,6.85835847,0.13337651,0.09146964,0.07248290,0.01786749,0.02213696,0.30337544,0.19043933,5.92890856
-5.92196098,6.40737657,0.14001629,0.09415224,0.07084200,0.01756426,0.02190411,0.31552488,0.18997099,5.46780666
-5.91595798,6.01018470,0.14890420,0.09823045,0.06954450,0.01746943,0.02196738,0.33235914,0.19156158,5.04896595
-5.90995498,5.66972640,0.16025859,0.10383240,0.06862543,0.01760294,0.02235328,0.35430738,0.19539464,4.67426035
-5.90395198,5.38821193,0.17428752,0.11108161,0.06810782,0.01798340,0.02308735,0.38177337,0.20163509,4.34492228
-5.89794897,5.16708369,0.19118276,0.12009362,0.06800199,0.01862757,0.02419355,0.41512342,0.21042461,4.06153470
-5.89194597,5.00700036,0.21111357,0.13097263,0.06830553,0.01954989,0.02569354,0.45467416,0.22187732,3.82404080
-5.88594297,4.90783836,0.23422055,0.14380810,0.06900349,0.02076197,0.02760598,0.50068070,0.23607607,3.63176961
-5.87993997,4.86870907,0.26060952,0.15867140,0.07006920,0.02227227,0.02994590,0.55332502,0.25306906,3.48347529
-5.87393697,4.88798981,0.29034565,0.17561256,0.07146528,0.02408569,0.03272397,0.61270535,0.27286715,3.37738771
-5.86793397,4.96336617,0.32344812,0.19465720,0.07314513,0.02620328,0.03594591,0.67882648,0.29544165,3.31127143
