energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.69670798,0.30938548,0.00090498,0.05307813,0.00337287,0.35099848,0.12111648,0.05495039
-5.99399700,0.72426694,0.32461688,0.00105717,0.05652719,0.00341916,0.36349462,0.12458748,0.05777063
-5.98799400,0.75563930,0.34041973,0.00122902,0.06011640,0.00353349,0.37819756,0.12805155,0.06098981
-5.98199100,0.79055165,0.35667171,0.00142116,0.06383942,0.00371566,0.39495634,0.13144701,0.06459412
-5.97598799,0.82876726,0.37326350,0.00163392,0.06769214,0.00396557,0.41363797,0.13472720,0.06857092
-5.96998499,0.87008717,0.39009935,0.00186733,0.07167247,0.00428326,0.43412826,0.13786182,0.07290854
-5.96398199,0.91434829,0.40709658,0.00212104,0.07577995,0.00466886,0.45633110,0.14083771,0.07759587
-5.95797899,0.96141864,0.42418414,0.00239428,0.08001513,0.00512248,0.48016628,0.14365884,0.08262179
-5.95197599,1.01119013,0.44130033,0.00268582,0.08437887,0.00564415,0.50556610,0.14634576,0.08797445
-5.94597299,1.06356934,0.45839001,0.00299398,0.08887152,0.00623369,0.53247094,0.14893430,0.09364044
-5.93996998,1.11846690,0.47540138,0.00331661,0.09349194,0.00689057,0.56082413,0.15147370,0.09960395
-5.93396698,1.17578596,0.49228272,0.00365111,0.09823660,0.00761373,0.59056632,0.15402428,0.10584592
-5.92796398,1.23541056,0.50897924,0.00399442,0.10309866,0.00840147,0.62162978,0.15665457,0.11234319
-5.92196098,1.29719420,0.52543042,0.00434313,0.10806711,0.00925126,0.65393281,0.15943824,0.11906788
-5.91595798,1.36094943,0.54156782,0.00469351,0.11312603,0.01015958,0.68737456,0.16245068,0.12598676
-5.90995498,1.42643871,0.55731370,0.00504158,0.11825407,0.01112183,0.72183049,0.16576558,0.13306085
-5.90395198,1.49336710,0.57258042,0.00538322,0.12342401,0.01213219,0.75714854,0.16945145,0.14024525
-5.89794897,1.56137684,0.58727065,0.00571427,0.12860261,0.01318352,0.79314633,0.17356826,0.14748907
-5.89194597,1.63004429,0.60127842,0.00603061,0.13375069,0.01426734,0.82960930,0.17816438,0.15473564
-5.88594297,1.69887913,0.61449080,0.00632830,0.13882336,0.01537385,0.86629001,0.18327371,0.16192288
-5.87993997,1.76732599,0.62679025,0.00660368,0.14377058,0.01649191,0.90290843,0.18891331,0.16898388
-5.87393697,1.83476858,0.63805732,0.00685345,0.14853784,0.01760921,0.93915357,0.19508157,0.17584767
-5.86793397,1.90053614,0.64817363,0.00707480,0.15306712,0.01871237,0.97468608,0.20175682,0.18244012
-5.86193097,1.96391233,0.65702497,0.00726541,0.15729803,0.01978719,1.00914217,0.20889677,0.18868509
-5.85592796,2.02414643,0.66450441,0.00742361,0.16116899,0.02081887,1.04213863,0.21643846,0.19450566
-5.84992496,2.08046672,0.67051527,0.00754832,0.16461872,0.02179236,1.07327909,0.22429915,0.19982552
-5.84392196,2.13209607,0.67497384,0.00763913,0.16758769,0.02269266,1.10216141,0.23237784,0.20457051
-5.83791896,2.17826929,0.67781205,0.00769627,0.17001969,0.02350526,1.12838622,0.24055765,0.20867028
-5.83191596,2.21825235,0.67897969,0.00772060,0.17186345,0.02421648,1.15156650,0.24870895,0.21206000
-5.82591296,2.25136274,0.67844664,0.00771353,0.17307417,0.02481392,1.17133807,0.25669316,0.21468217
-5.81990995,2.27699091,0.67620480,0.00767702,0.17361510,0.02528683,1.18737075,0.26436720,0.21648849
-5.81390695,2.29462190,0.67226989,0.00761343,0.17345891,0.02562649,1.19938000,0.27158845,0.21744160
-5.80790395,2.30385671,0.66668317,0.00752548,0.17258903,0.02582653,1.20713860,0.27822008,0.21751691
-5.80190095,2.30443254,0.65951301,0.00741614,0.17100065,0.02588320,1.21048803,0.28413646,0.21670413
-5.79589795,2.29624105,0.65085623,0.00728851,0.16870158,0.02579557,1.20934903,0.28922862,0.21500870
-5.78989495,2.27934379,0.64083926,0.00714576,0.16571275,0.02556566,1.20373082,0.29340944,0.21245285
-5.78389195,2.25398377,0.62961894,0.00699097,0.16206842,0.02519846,1.19373849,0.29661825,0.20907637
-5.77788894,2.22059260,0.61738280,0.00682709,0.15781597,0.02470189,1.17957809,0.29882477,0.20493693
-5.77188594,2.17979209,0.60434867,0.00665683,0.15301532,0.02408660,1.16155879,0.30003206,0.20010982
-5.76588294,2.13239010,0.59076361,0.00648261,0.14773800,0.02336578,1.14009198,0.30027835,0.19468728
-5.75987994,2.07936999,0.57690170,0.00630648,0.14206576,0.02255482,1.11568684,0.29963751,0.18877720
-5.75387694,2.02187375,0.56306093,0.00613012,0.13608886,0.02167091,1.08894224,0.29821815,0.18250122
-5.74787394,1.96117877,0.54955869,0.00595480,0.12990403,0.02073262,1.06053517,0.29616128,0.17599232
-5.74187094,1.89866879,0.53672623,0.00578138,0.12361217,0.01975937,1.03120556,0.29363656,0.16939194
-5.73586793,1.83579971,0.52490175,0.00561034,0.11731588,0.01877097,1.00173813,0.29083707,0.16284654
-5.72986493,1.77406113,0.51442243,0.00544180,0.11111681,0.01778707,0.97294147,0.28797308,0.15650392
-5.72386193,1.71493480,0.50561541,0.00527556,0.10511302,0.01682667,0.94562515,0.28526460,0.15050930
-5.71785893,1.65985142,0.49878808,0.00511119,0.09939646,0.01590763,0.92057543,0.28293337,0.14500115
-5.71185593,1.61014701,0.49421780,0.00494807,0.09405044,0.01504626,0.89853052,0.28119424,0.14010723
-5.70585293,1.56702068,0.49214157,0.00478545,0.08914753,0.01425690,0.88015620,0.28024658,0.13594060
-5.69984992,1.53149502,0.49274594,0.00462254,0.08474760,0.01355162,0.86602259,0.28026581,0.13259606
-5.69384692,1.50438078,0.49615755,0.00445859,0.08089633,0.01293995,0.85658315,0.28139552,0.13014694
-5.68784392,1.48624716,0.50243481,0.00429290,0.07762412,0.01242870,0.85215656,0.28374057,0.12864246
-5.68184092,1.47739890,0.51156117,0.00412492,0.07494545,0.01202186,0.85291233,0.28736130,0.12810571
-5.67583792,1.47786114,0.52344024,0.00395428,0.07285869,0.01172056,0.85886082,0.29226933,0.12853244
-5.66983492,1.48737287,0.53789323,0.00378080,0.07134648,0.01152310,0.86984809,0.29842501,0.12989060
-5.66383192,1.50538942,0.55465902,0.00360453,0.07037649,0.01142511,0.88555603,0.30573672,0.13212072
-5.65782891,1.53109413,0.57339688,0.00342574,0.06990264,0.01141965,0.90550786,0.31406218,0.13513719
-5.65182591,1.56341912,0.59369215,0.00324492,0.06986677,0.01149755,0.92907917,0.32321165,0.13883036
-5.64582291,1.60107458,0.61506469,0.00306274,0.07020056,0.01164761,0.95551404,0.33295301,0.14306940
-5.63981991,1.64258587,0.63698004,0.00288006,0.07082782,0.01185704,0.98394606,0.34301861,0.14770599
-5.63381691,1.68633733,0.65886299,0.00269784,0.07166691,0.01211177,1.01342346,0.35311357,0.15257848
-5.62781391,1.73062129,0.68011320,0.00251715,0.07263331,0.01239692,1.04293771,0.36292530,0.15751665
-5.62181091,1.77369078,0.70012222,0.00233912,0.07364224,0.01269722,1.07145452,0.37213391,0.16234675
-5.61580790,1.81381408,0.71829162,0.00216488,0.07461121,0.01299746,1.09794626,0.38042295,0.16689676
-5.60980490,1.84932922,0.73405118,0.00199555,0.07546243,0.01328293,1.12142452,0.38749034,0.17100155
-5.60380190,1.87869638,0.74687680,0.00183218,0.07612507,0.01353987,1.14097180,0.39305877,0.17450797
-5.59779890,1.90054640,0.75630713,0.00167577,0.07653720,0.01375587,1.15577092,0.39688537,0.17727946
-5.59179590,1.91372354,0.76195848,0.00152721,0.07664743,0.01392020,1.16513127,0.39877014,0.17920018
-5.58579290,1.91732099,0.76353726,0.00138729,0.07641610,0.01402421,1.16851070,0.39856290,0.18017843
-5.57978989,1.91070776,0.76084945,0.00125671,0.07581621,0.01406148,1.16553238,0.39616840,0.18014929
-5.57378689,1.89354619,0.75380681,0.00113606,0.07483377,0.01402811,1.15599602,0.39154951,0.17907633
-5.56778389,1.86579948,0.74242951,0.00102584,0.07346781,0.01392275,1.13988302,0.38472833,0.17695237
-5.56178089,1.82772908,0.72684511,0.00092651,0.07173004,0.01374669,1.11735551,0.37578525,0.17379937
-5.55577789,1.77988252,0.70728404,0.00083846,0.06964398,0.01350382,1.08874942,0.36485608,0.16966723
-5.54977489,1.72307216,0.68407179,0.00076205,0.06724392,0.01320048,1.05456212,0.35212733,0.16463190
-5.54377189,1.65834612,0.65761813,0.00069765,0.06457356,0.01284530,1.01543502,0.33783003,0.15879260
-5.53776888,1.58695270,0.62840401,0.00064564,0.06168433,0.01244895,0.97213229,0.32223229,0.15226847
-5.53176588,1.51029993,0.59696661,0.00060644,0.05863375,0.01202383,0.92551634,0.30563095,0.14519474
-5.52576288,1.42991187,0.56388319,0.00058052,0.05548357,0.01158373,0.87652134,0.28834278,0.13771849
-5.51975988,1.34738344,0.52975446,0.00056841,0.05229794,0.01114342,0.82612570,0.27069542,0.12999439
-5.51375688,1.26433546,0.49518803,0.00057069,0.04914162,0.01071828,0.77532453,0.25301856,0.12218031
-5.50775388,1.18237123,0.46078257,0.00058801,0.04607828,0.01032385,0.72510314,0.23563552,0.11443311
-5.50175088,1.10303620,0.42711313,0.00062106,0.04316893,0.00997541,0.67641217,0.21885561,0.10690474
-5.49574787,1.02778147,0.39471807,0.00067056,0.04047057,0.00968760,0.63014519,0.20296732,0.09973864
-5.48974487,0.95793215,0.36408783,0.00073721,0.03803493,0.00947396,0.58711916,0.18823258,0.09306658
-5.48374187,0.89466082,0.33565575,0.00082166,0.03590747,0.00934662,0.54805799,0.17488204,0.08700611
-5.47773887,0.83896644,0.30979106,0.00092450,0.03412665,0.00931589,0.51357948,0.16311152,0.08165831
-5.47173587,0.79165863,0.28679385,0.00104615,0.03272326,0.00939002,0.48418550,0.15307948,0.07710631
-5.46573287,0.75334716,0.26689211,0.00118686,0.03172008,0.00957484,0.46025538,0.14490545,0.07341405
-5.45972986,0.72443628,0.25024053,0.00134663,0.03113167,0.00987362,0.44204224,0.13866939,0.07062576
-5.45372686,0.70512358,0.23692089,0.00152513,0.03096439,0.01028688,0.42967206,0.13441182,0.06876568
-5.44772386,0.69540283,0.22694393,0.00172172,0.03121650,0.01081225,0.42314523,0.13213464,0.06783826
-5.44172086,0.69507055,0.22025231,0.00193534,0.03187853,0.01144446,0.42234034,0.13180253,0.06782880
-5.43571786,0.70373584,0.21672467,0.00216450,0.03293378,0.01217536,0.42701986,0.13334486,0.06870422
-5.42971486,0.72083325,0.21618047,0.00240725,0.03435891,0.01299401,0.43683779,0.13665809,0.07041436
-5.42371186,0.74563845,0.21838556,0.00266120,0.03612480,0.01388688,0.45134885,0.14160855,0.07289338
-5.41770885,0.77728648,0.22305848,0.00292350,0.03819740,0.01483809,0.47001931,0.14803566,0.07606155
-5.41170585,0.81479243,0.22987719,0.00319087,0.04053887,0.01582974,0.49223931,0.15575555,0.07982717
-5.40570285,0.85707444,0.23848649,0.00345968,0.04310870,0.01684237,0.51733652,0.16456498,0.08408886
-5.39969985,0.90297866,0.24850584,0.00372598,0.04586498,0.01785538,0.54459115,0.17424578,0.08873792
-5.39369685,0.95130598,0.25953763,0.00398564,0.04876573,0.01884759,0.57325201,0.18456946,0.09366096
-5.38769385,1.00084011,0.27117588,0.00423438,0.05177026,0.01979779,0.60255355,0.19530227,0.09874262
-5.38169085,1.05037637,0.28301519,0.00446795,0.05484042,0.02068540,0.63173349,0.20621033,0.10386839
-5.37568784,1.09875073,0.29465982,0.00468222,0.05794190,0.02149095,0.66005070,0.21706497,0.10892747
-5.36968484,1.14486809,0.30573278,0.00487331,0.06104531,0.02219678,0.68680293,0.22764799,0.11381549
-5.36368184,1.18772920,0.31588461,0.00503773,0.06412707,0.02278748,0.71134388,0.23775674,0.11843718
-5.35767884,1.22645516,0.32480178,0.00517245,0.06717010,0.02325038,0.73309903,0.24720881,0.12270876
-5.35167584,1.26030867,0.33221424,0.00527507,0.07016421,0.02357593,0.75157984,0.25584625,0.12656001
-5.34567284,1.28871130,0.33790210,0.00534384,0.07310613,0.02375798,0.76639560,0.26353902,0.12993592
-5.33966983,1.31125598,0.34170099,0.00537777,0.07599922,0.02379391,0.77726276,0.27018756,0.13279795
-5.33366683,1.32771423,0.34350605,0.00537661,0.07885289,0.02368468,0.78401110,0.27572447,0.13512463
-5.32766383,1.33803795,0.34327432,0.00534093,0.08168165,0.02343473,0.78658674,0.28011503,0.13691178
-5.32166083,1.34235557,0.34102544,0.00527204,0.08450385,0.02305176,0.78505175,0.28335671,0.13817208
-5.31565783,1.34096296,0.33684062,0.00517198,0.08734031,0.02254641,0.77958045,0.28547757,0.13893412
-5.30965483,1.33430941,0.33085999,0.00504345,0.09021273,0.02193186,0.77045264,0.28653378,0.13924108
-5.30365183,1.32297963,0.32327840,0.00488970,0.09314207,0.02122330,0.75804403,0.28660620,0.13914893
-5.29764882,1.30767239,0.31433978,0.00471442,0.09614700,0.02043744,0.74281438,0.28579647,0.13872438
