energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,2.14941848,0.00663835,0.17550552,0.10272574,0.51617685,1.12783988,0.02077773,0.78629650
-5.99399700,2.18059026,0.00644053,0.17033476,0.10418050,0.51655625,1.14695533,0.01949999,0.80566920
-5.98799400,2.21872735,0.00624588,0.16595916,0.10634328,0.51977640,1.17000832,0.01833621,0.82682367
-5.98199100,2.26338937,0.00605718,0.16237530,0.10921664,0.52556701,1.19693538,0.01729198,0.84943782
-5.97598799,2.31400978,0.00587697,0.15957044,0.11279792,0.53362523,1.22761227,0.01637016,0.87313916
-5.96998499,2.36992322,0.00570752,0.15752425,0.11707936,0.54362617,1.26186452,0.01557109,0.89751826
-5.96398199,2.43039694,0.00555078,0.15621069,0.12204829,0.55523366,1.29948038,0.01489289,0.92214406
-5.95797899,2.49466469,0.00540844,0.15559979,0.12768730,0.56811084,1.34022491,0.01433172,0.94658047
-5.95197599,2.56196154,0.00528194,0.15565942,0.13397441,0.58193032,1.38385483,0.01388227,0.97040328
-5.94597299,2.63155747,0.00517248,0.15635673,0.14088311,0.59638348,1.43013282,0.01353804,0.99321691
-5.93996998,2.70278829,0.00508106,0.15765937,0.14838238,0.61118858,1.47884069,0.01329185,1.01466983
-5.93396698,2.77508193,0.00500849,0.15953625,0.15643666,0.62609749,1.52979034,0.01313613,1.03446826
-5.92796398,2.84797869,0.00495544,0.16195794,0.16500564,0.64090060,1.58283184,0.01306332,1.05238715
-5.92196098,2.92114443,0.00492239,0.16489659,0.17404405,0.65543006,1.63785812,0.01306615,1.06827810
-5.91595798,2.99437585,0.00490972,0.16832537,0.18350141,0.66956098,1.69480573,0.01313789,1.08207384
-5.90995498,3.06759753,0.00491763,0.17221762,0.19332172,0.68321083,1.75365167,0.01327247,1.09378883
-5.90395198,3.14085094,0.00494614,0.17654559,0.20344321,0.69633702,1.81440623,0.01346458,1.10351631
-5.89794897,3.21427606,0.00499514,0.18127899,0.21379820,0.70893294,1.87710224,0.01370971,1.11142165
-5.89194597,3.28808654,0.00506428,0.18638345,0.22431303,0.72102275,1.94178127,0.01400400,1.11773257
-5.88594297,3.36253988,0.00515305,0.19181897,0.23490822,0.73265513,2.00847743,0.01434419,1.12272665
-5.87993997,3.43790436,0.00526069,0.19753852,0.24549884,0.74389659,2.07719980,0.01472736,1.12671682
-5.87393697,3.51442451,0.00538626,0.20348696,0.25599514,0.75482450,2.14791446,0.01515076,1.13003559
-5.86793397,3.59228721,0.00552861,0.20960031,0.26630348,0.76552044,2.22052711,0.01561150,1.13301879
-5.86193097,3.67159037,0.00568641,0.21580546,0.27632755,0.77606403,2.29486760,0.01610633,1.13598975
-5.85592796,3.75231598,0.00585819,0.22202055,0.28596982,0.78652778,2.37067713,0.01663138,1.13924448
-5.84992496,3.83430917,0.00604237,0.22815576,0.29513333,0.79697296,2.44759921,0.01718198,1.14303888
-5.84392196,3.91726452,0.00623730,0.23411478,0.30372358,0.80744679,2.52517507,0.01775246,1.14757823
-5.83791896,4.00072062,0.00644136,0.23979676,0.31165067,0.81798096,2.60284405,0.01833606,1.15300971
-5.83191596,4.08406307,0.00665292,0.24509867,0.31883139,0.82859142,2.67994922,0.01892493,1.15941797
-5.82591296,4.16653606,0.00687046,0.24991809,0.32519133,0.83927932,2.75574826,0.01951013,1.16682399
-5.81990995,4.24726193,0.00709259,0.25415618,0.33066687,0.85003295,2.82942921,0.02008180,1.17518716
-5.81390695,4.32526763,0.00731802,0.25772066,0.33520691,0.86083022,2.90013066,0.02062936,1.18441014
-5.80790395,4.39951686,0.00754564,0.26052885,0.33877432,0.87164163,2.96696537,0.02114174,1.19434629
-5.80190095,4.46894602,0.00777447,0.26251038,0.34134697,0.88243313,3.02904643,0.02160774,1.20480898
-5.79589795,4.53250217,0.00800363,0.26360958,0.34291824,0.89316880,3.08551460,0.02201638,1.21558220
-5.78989495,4.58918092,0.00823232,0.26378740,0.34349716,0.90381282,3.13556561,0.02235729,1.22643178
-5.78389195,4.63806233,0.00845974,0.26302271,0.34310784,0.91433070,3.17847606,0.02262107,1.23711661
-5.77788894,4.67834285,0.00868507,0.26131304,0.34178852,0.92468955,3.21362666,0.02279966,1.24739908
-5.77188594,4.70936188,0.00890739,0.25867451,0.33959005,0.93485731,3.24052163,0.02288671,1.25705438
-5.76588294,4.73062158,0.00912562,0.25514127,0.33657394,0.94480103,3.25880343,0.02287776,1.26587803
-5.75987994,4.74179916,0.00933852,0.25076412,0.33281013,0.95448435,3.26826202,0.02277053,1.27369156
-5.75387694,4.74275143,0.00954460,0.24560867,0.32837446,0.96386437,3.26883842,0.02256502,1.28034604
-5.74787394,4.73351164,0.00974222,0.23975307,0.32334611,0.97288836,3.26062249,0.02226351,1.28572354
-5.74187094,4.71427927,0.00992954,0.23328525,0.31780500,0.98149041,3.24384515,0.02187058,1.28973684
-5.73586793,4.68540396,0.01010466,0.22630014,0.31182944,0.98958875,3.21886581,0.02139295,1.29232736
-5.72986493,4.64736467,0.01026569,0.21889663,0.30549401,0.99708385,3.18615569,0.02083931,1.29346213
-5.72386193,4.60074593,0.01041090,0.21117476,0.29886794,1.00385771,3.14627822,0.02022008,1.29312994
-5.71785893,4.54621273,0.01053890,0.20323302,0.29201393,1.00977476,3.09986759,0.01954708,1.29133727
-5.71185593,4.48448572,0.01064882,0.19516597,0.28498761,1.01468432,3.04760676,0.01883325,1.28810450
-5.70585293,4.41631823,0.01074054,0.18706234,0.27783752,1.01842479,2.99020600,0.01809230,1.28346275
-5.69984992,4.34247648,0.01081489,0.17900350,0.27060577,1.02082957,2.92838309,0.01733840,1.27745160
-5.69384692,4.26372366,0.01087386,0.17106251,0.26332917,1.02173436,2.86284601,0.01658583,1.27011801
-5.68784392,4.18080872,0.01092084,0.16330364,0.25604084,1.02098558,2.79427877,0.01584876,1.26151638
-5.68184092,4.09445966,0.01096073,0.15578237,0.24877215,1.01844957,2.72333071,0.01514097,1.25170972
-5.67583792,4.00538132,0.01100007,0.14854582,0.24155490,1.01402185,2.65060937,0.01447566,1.24077170
-5.66983492,3.91425682,0.01104715,0.14163353,0.23442340,1.00763610,2.57667681,0.01386531,1.22878939
-5.66383192,3.82175180,0.01111197,0.13507844,0.22741654,0.99927215,2.50204898,0.01332153,1.21586617
-5.65782891,3.72852035,0.01120621,0.12890810,0.22057950,0.98896243,2.42719752,0.01285501,1.20212450
-5.65182591,3.63521135,0.01134306,0.12314580,0.21396497,0.97679647,2.35255337,0.01247544,1.18770810
-5.64582291,3.54247406,0.01153700,0.11781174,0.20763383,0.96292303,2.27851149,0.01219148,1.17278320
-5.63981991,3.45096180,0.01180354,0.11292396,0.20165509,0.94754952,2.20543578,0.01201072,1.15753849
-5.63381691,3.36133297,0.01215878,0.10849905,0.19610512,0.93093870,2.13366378,0.01193965,1.14218364
-5.62781391,3.27424850,0.01261901,0.10455262,0.19106611,0.91340266,2.06351033,0.01198358,1.12694612
-5.62181091,3.19036575,0.01320019,0.10109935,0.18662377,0.89529419,1.99527000,0.01214664,1.11206651
-5.61580790,3.11032860,0.01391742,0.09815281,0.18286439,0.87699601,1.92921786,0.01243161,1.09779231
-5.60980490,3.03475415,0.01478432,0.09572493,0.17987141,0.85890811,1.86560860,0.01283989,1.08437049
-5.60380190,2.96421664,0.01581246,0.09382520,0.17772149,0.84143393,1.80467406,0.01337134,1.07203914
-5.59779890,2.89922940,0.01701082,0.09245972,0.17648053,0.82496596,1.74661938,0.01402421,1.06101855
-5.59179590,2.84022590,0.01838516,0.09163010,0.17619957,0.80987125,1.69161808,0.01479497,1.05150225
-5.58579290,2.78754089,0.01993758,0.09133234,0.17691102,0.79647767,1.63980657,0.01567823,1.04364831
-5.57978989,2.74139286,0.02166606,0.09155575,0.17862521,0.78506141,1.59127849,0.01666667,1.03757149
-5.57378689,2.70186891,0.02356416,0.09228208,0.18132771,0.77583622,1.54607937,0.01775098,1.03333651
-5.56778389,2.66891285,0.02562078,0.09348476,0.18497733,0.76894496,1.50420208,0.01891989,1.03095286
-5.56178089,2.64231755,0.02782009,0.09512852,0.18950518,0.76445361,1.46558350,0.02016021,1.03037131
-5.55577789,2.62172188,0.03014158,0.09716932,0.19481466,0.76234814,1.43010265,0.02145694,1.03148246
-5.54977489,2.60661276,0.03256024,0.09955454,0.20078270,0.76253415,1.39758064,0.02279351,1.03411725
-5.54377189,2.59633238,0.03504699,0.10222370,0.20726195,0.76483931,1.36778254,0.02415193,1.03804949
-5.53776888,2.59009046,0.03756911,0.10510931,0.21408409,0.76901849,1.34042114,0.02551319,1.04300037
-5.53176588,2.58698112,0.04009091,0.10813819,0.22106412,0.77476127,1.31516267,0.02685753,1.04864467
-5.52576288,2.58600390,0.04257454,0.11123298,0.22800530,0.78170143,1.29163421,0.02816486,1.05461862
-5.51975988,2.58608819,0.04498079,0.11431380,0.23470486,0.78942819,1.26943262,0.02941514,1.06052890
-5.51375688,2.58612017,0.04727009,0.11730010,0.24095992,0.79749861,1.24813472,0.03058880,1.06596275
-5.50775388,2.58497134,0.04940347,0.12011249,0.24657365,0.80545074,1.22730819,0.03166718,1.07049852
-5.50175088,2.58152774,0.05134357,0.12267465,0.25136123,0.81281708,1.20652310,0.03263286,1.07371671
-5.49574787,2.57471885,0.05305563,0.12491499,0.25515551,0.81913786,1.18536333,0.03347007,1.07521082
-5.48974487,2.56354517,0.05450836,0.12676832,0.25781205,0.82397381,1.16343776,0.03416496,1.07459795
