energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.13967023,0.01167650,0.01724083,0.51313589,0.28490007,0.00251951,0.78150224,0.22638248,0.07332425
-5.99399700,1.08796969,0.01082077,0.01649545,0.48176400,0.27848286,0.00226660,0.74521691,0.21144135,0.07028154
-5.98799400,1.04461090,0.01008584,0.01581786,0.45347806,0.27499884,0.00203097,0.71458203,0.19804940,0.06772224
-5.98199100,1.01083428,0.00947898,0.01522600,0.42877577,0.27479907,0.00181415,0.69044880,0.18642483,0.06572510
-5.97598799,0.98774410,0.00900559,0.01473589,0.40808533,0.27820689,0.00161718,0.67357291,0.17675130,0.06435968
-5.96998499,0.97628678,0.00866912,0.01436120,0.39175813,0.28551093,0.00144068,0.66459972,0.16917539,0.06368490
-5.96398199,0.97723138,0.00847111,0.01411291,0.38006285,0.29695814,0.00128483,0.66405125,0.16380457,0.06374774
-5.95797899,0.99115272,0.00841106,0.01399901,0.37318116,0.31274688,0.00114947,0.67231486,0.16070588,0.06458221
-5.95197599,1.01841724,0.00848648,0.01402427,0.37120503,0.33302028,0.00103407,0.68963403,0.15990512,0.06620855
-5.94597299,1.05917202,0.00869283,0.01419019,0.37413555,0.35786005,0.00093786,0.71610127,0.16138662,0.06863271
-5.93996998,1.11333714,0.00902352,0.01449487,0.38188346,0.38728085,0.00085978,0.75165349,0.16509369,0.07184614
-5.93396698,1.18060195,0.00946993,0.01493313,0.39427137,0.42122550,0.00079863,0.79607001,0.17092959,0.07582581
-5.92796398,1.26042540,0.01002147,0.01549659,0.41103762,0.45956133,0.00075303,0.84897346,0.17875922,0.08053462
-5.92196098,1.35204094,0.01066564,0.01617392,0.43184198,0.50207767,0.00072150,0.90983381,0.18841156,0.08592210
-5.91595798,1.45446632,0.01138818,0.01695108,0.45627316,0.54848495,0.00070251,0.97797584,0.19968278,0.09192539
-5.90995498,1.56651851,0.01217325,0.01781172,0.48385809,0.59841553,0.00069450,1.05259007,0.21234026,0.09847064
-5.90395198,1.68683385,0.01300364,0.01873757,0.51407301,0.65142629,0.00069592,1.13274740,0.22612738,0.10547464
-5.89794897,1.81389358,0.01386110,0.01970890,0.54635619,0.70700338,0.00070526,1.21741725,0.24076914,0.11284677
