energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,13.07696370,2.31091495,8.20969062,0.01847435,0.75253420,0.09604352,1.38732566,0.61179818,1.15903573
-5.99399700,13.08430343,2.30074944,8.21117671,0.01870839,0.74776174,0.09479054,1.38744553,0.59833401,1.16892772
-5.98799400,13.10120923,2.29622554,8.21555223,0.01903338,0.74406347,0.09361949,1.39038517,0.58622519,1.17929964
-5.98199100,13.12756824,2.29752329,8.22300869,0.01944713,0.74149135,0.09252909,1.39607804,0.57556631,1.18990797
-5.97598799,13.16281566,2.30467889,8.23353731,0.01994528,0.74007365,0.09151409,1.40435768,0.56640317,1.20046696
-5.96998499,13.20598484,2.31759190,8.24694950,0.02052138,0.73981678,0.09056603,1.41496778,0.55873605,1.21065776
-5.96398199,13.25576964,2.33603547,8.26290278,0.02116709,0.74070778,0.08967426,1.42757459,0.55252409,1.22013918
-5.95797899,13.31059455,2.35966901,8.28092945,0.02187241,0.74271738,0.08882682,1.44178132,0.54769058,1.22855949
-5.95197599,13.36868755,2.38805210,8.30046578,0.02262596,0.74580300,0.08801150,1.45714346,0.54412866,1.23556871
-5.94597299,13.42815145,2.42065894,8.32087944,0.02341525,0.74991159,0.08721671,1.47318460,0.54170742,1.24083072
-5.93996998,13.48703006,2.45689278,8.34149368,0.02422708,0.75498200,0.08643229,1.48941195,0.54027785,1.24403463
-5.93396698,13.54336624,2.49609979,8.36160699,0.02504783,0.76094672,0.08565017,1.50533107,0.53967876,1.24490489
-5.92796398,13.59524999,2.53758207,8.38050771,0.02586382,0.76773284,0.08486483,1.52045936,0.53974229,1.24320973
-5.92196098,13.64085561,2.58060989,8.39748345,0.02666166,0.77526222,0.08407360,1.53433797,0.54029891,1.23876768
-5.91595798,13.67846804,2.62443306,8.41182589,0.02742855,0.78345099,0.08327668,1.54654190,0.54118203,1.23145188
-5.90995498,13.70649926,2.66829167,8.42283164,0.02815257,0.79220841,0.08247703,1.55668833,0.54223194,1.22119224
-5.90395198,13.72349623,2.71142663,8.42980062,0.02882296,0.80143534,0.08168003,1.56444293,0.54329920,1.20797546
-5.89794897,13.72814267,2.75308997,8.43203308,0.02943028,0.81102252,0.08089301,1.56952457,0.54424757,1.19184307
-5.89194597,13.71925675,2.79255545,8.42882694,0.02996665,0.82084890,0.08012461,1.57170830,0.54495630,1.17288775
-5.88594297,13.69578735,2.82912951,8.41947678,0.03042585,0.83078032,0.07938410,1.57082698,0.54532204,1.15124828
-5.87993997,13.65681098,2.86216255,8.40327580,0.03080337,0.84066871,0.07868068,1.56677170,0.54526032,1.12710342
-5.87393697,13.60153133,2.89106066,8.37952161,0.03109652,0.85035204,0.07802270,1.55949121,0.54470654,1.10066504
-5.86793397,13.52928278,2.91529742,8.34752669,0.03130435,0.85965522,0.07741704,1.54899053,0.54361673,1.07217096
-5.86193097,13.43953891,2.93442547,8.30663355,0.03142761,0.86839193,0.07686846,1.53532890,0.54196784,1.04187776
-5.85592796,13.33192590,2.94808753,8.25623454,0.03146867,0.87636759,0.07637919,1.51861729,0.53975789,1.01005380
-5.84992496,13.20624075,2.95602624,8.19579574,0.03143138,0.88338318,0.07594855,1.49901529,0.53700563,0.97697276
-5.84392196,13.06247308,2.95809231,8.12488386,0.03132088,0.88924001,0.07557286,1.47672781,0.53375008,0.94290777
-5.83791896,12.90082913,2.95425062,8.04319495,0.03114340,0.89374516,0.07524535,1.45200126,0.53004973,0.90812637
-5.83191596,12.72175621,2.94458360,7.95058339,0.03090605,0.89671735,0.07495640,1.42511942,0.52598147,0.87288616
-5.82591296,12.52596545,2.92929178,7.84708946,0.03061657,0.89799307,0.07469383,1.39639893,0.52163931,0.83743144
-5.81990995,12.31445083,2.90869118,7.73296377,0.03028310,0.89743257,0.07444338,1.36618444,0.51713283,0.80199050
-5.81390695,12.08850253,2.88320746,7.60868693,0.02991392,0.89492544,0.07418924,1.33484336,0.51258542,0.76677377
-5.80790395,11.84971276,2.85336705,7.47498303,0.02951723,0.89039556,0.07391472,1.30276036,0.50813228,0.73197259
-5.80190095,11.59997265,2.81978539,7.33282545,0.02910095,0.88380511,0.07360294,1.27033155,0.50391822,0.69775860
-5.79589795,11.34145933,2.78315263,7.18343449,0.02867254,0.87515739,0.07323752,1.23795848,0.50009527,0.66428366
-5.78989495,11.07661261,2.74421735,7.02826584,0.02823886,0.86449831,0.07280330,1.20604201,0.49682008,0.63168023
-5.78389195,10.80810141,2.70376876,6.86899024,0.02780604,0.85191649,0.07228689,1.17497619,0.49425113,0.60006204
-5.77788894,10.53878044,2.66261797,6.70746432,0.02737950,0.83754180,0.07167729,1.14514224,0.49254576,0.56952516
-5.77188594,10.27163832,2.62157880,6.54569371,0.02696386,0.82154250,0.07096626,1.11690268,0.49185704,0.54014920
-5.76588294,10.00973860,2.58144879,6.38578931,0.02656304,0.80412094,0.07014867,1.09059583,0.49233049,0.51199884
-5.75987994,9.75615560,2.54299080,6.22991850,0.02618029,0.78550806,0.06922262,1.06653065,0.49410064,0.48512532
-5.75387694,9.51390729,2.50691565,6.08025288,0.02581830,0.76595684,0.06818950,1.04498211,0.49728758,0.45956813
-5.74787394,9.28588747,2.47386610,5.93891475,0.02547934,0.74573494,0.06705384,1.02618709,0.50199343,0.43535673
-5.74187094,9.07479972,2.44440251,5.80792411,0.02516540,0.72511684,0.06582307,1.01034090,0.50829889,0.41251219
-5.73586793,8.88309558,2.41899042,5.68914849,0.02487829,0.70437576,0.06450715,0.99759450,0.51625994,0.39104886
-5.72986493,8.71291903,2.39799023,5.58425750,0.02461979,0.68377562,0.06311808,0.98805242,0.52590487,0.37097590
-5.72386193,8.56605943,2.38164911,5.49468366,0.02439177,0.66356343,0.06166942,0.98177149,0.53723160,0.35229862
-5.71785893,8.44391449,2.37009540,5.42159126,0.02419622,0.64396234,0.06017563,0.97876033,0.55020568,0.33501971
-5.71185593,8.34746466,2.36333560,5.36585400,0.02403537,0.62516558,0.05865155,0.97897979,0.56475895,0.31914014
-5.70585293,8.27725972,2.36125411,5.32804240,0.02391161,0.60733158,0.05711182,0.98234428,0.58078900,0.30465995
-5.69984992,8.23341798,2.36361584,5.30842092,0.02382754,0.59058039,0.05557035,0.98872397,0.59815968,0.29157855
-5.69384692,8.21563784,2.37007184,5.30695468,0.02378584,0.57499151,0.05403988,0.99794809,0.61670265,0.27989494
-5.68784392,8.22322129,2.38016809,5.32332521,0.02378923,0.56060330,0.05253164,1.00980909,0.63622006,0.26960750
-5.68184092,8.25510797,2.39335718,5.35695395,0.02384033,0.54741377,0.05105514,1.02406788,0.65648842,0.26071354
-5.67583792,8.30991843,2.40901321,5.40703223,0.02394151,0.53538294,0.04961805,1.04045980,0.67726353,0.25320865
-5.66983492,8.38600471,2.42644925,5.47255619,0.02409479,0.52443644,0.04822621,1.05870157,0.69828654,0.24708576
-5.66383192,8.48150596,2.44493733,5.55236456,0.02430167,0.51447032,0.04688379,1.07849878,0.71929074,0.24233414
-5.65782891,8.59440695,2.46373038,5.64517779,0.02456300,0.50535683,0.04559352,1.09955388,0.74000914,0.23893819
-5.65182591,8.72259706,2.48208546,5.74963651,0.02487891,0.49695088,0.04435705,1.12157449,0.76018241,0.23687628
-5.64582291,8.86392749,2.49928754,5.86433784,0.02524869,0.48909696,0.04317531,1.14428159,0.77956691,0.23611963
-5.63981991,9.01626467,2.51467307,5.98786812,0.02567074,0.48163619,0.04204897,1.16741753,0.79794256,0.23663117
-5.63381691,9.17753810,2.52765230,6.11883118,0.02614256,0.47441324,0.04097889,1.19075332,0.81512015,0.23836476
-5.62781391,9.34578122,2.53772959,6.25587131,0.02666076,0.46728286,0.03996651,1.21409517,0.83094779,0.24126442
-5.62181091,9.51916439,2.54452058,6.39769094,0.02722105,0.46011562,0.03901420,1.23728968,0.84531619,0.24526403
-5.61580790,9.69601957,2.54776566,6.54306298,0.02781837,0.45280291,0.03812561,1.26022773,0.85816252,0.25028720
-5.60980490,9.87485658,2.54733878,6.69083846,0.02844692,0.44526069,0.03730575,1.28284663,0.86947269,0.25624754
-5.60380190,10.05437143,2.54325130,6.83995036,0.02910030,0.43743210,0.03656115,1.30513043,0.87928169,0.26304927
-5.59779890,10.23344745,2.53565040,6.98941440,0.02977159,0.42928880,0.03589972,1.32710846,0.88767225,0.27058812
-5.59179590,10.41115030,2.52481203,7.13832816,0.03045347,0.42083090,0.03533061,1.34885176,0.89477145,0.27875259
-5.58579290,10.58671802,2.51112853,7.28586953,0.03113835,0.41208566,0.03486390,1.37046778,0.90074566,0.28742543
-5.57978989,10.75954735,2.49509128,7.43129536,0.03181847,0.40310503,0.03451015,1.39209332,0.90579375,0.29648539
