energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
3.66483242,0.23665468,-0.82400014,0.36680430,-0.88531432,0.03543682,-0.26610991,0.00000917,-0.01556465,0.04345807,-0.06899683,0.17609468,-0.31419890,0.00000000,-0.00000000
3.67083542,0.23249871,-0.84299887,0.35993845,-0.89885611,0.03481246,-0.27420428,0.00000669,-0.01520345,0.04307028,-0.07138733,0.17304302,-0.31952803,0.00000000,-0.00000000
3.67683842,0.22814094,-0.85917000,0.35268575,-0.90889645,0.03415870,-0.28149305,0.00000485,-0.01474629,0.04270125,-0.07363407,0.16983197,-0.32365736,0.00000000,-0.00000000
3.68284142,0.22379481,-0.87251031,0.34538029,-0.91551099,0.03350735,-0.28794749,0.00000349,-0.01420264,0.04238896,-0.07573594,0.16662281,-0.32660933,0.00000000,-0.00000000
3.68884442,0.21966909,-0.88306284,0.33834904,-0.91883140,0.03288949,-0.29355211,0.00000249,-0.01358347,0.04217006,-0.07769481,0.16357285,-0.32842576,0.00000000,-0.00000000
3.69484742,0.21595910,-0.89091316,0.33189857,-0.91903913,0.03233427,-0.29830434,0.00000177,-0.01290088,0.04207815,-0.07951528,0.16082892,-0.32916575,0.00000000,-0.00000000
3.70085043,0.21283854,-0.89618458,0.32630264,-0.91635793,0.03186760,-0.30221376,0.00000125,-0.01216772,0.04214208,-0.08120423,0.15852145,-0.32890315,0.00000000,-0.00000000
3.70685343,0.21045226,-0.89903217,0.32179107,-0.91104536,0.03151109,-0.30530103,0.00000087,-0.01139719,0.04238453,-0.08277031,0.15675906,-0.32772365,0.00000000,-0.00000000
3.71285643,0.20891013,-0.89963606,0.31854057,-0.90338371,0.03128114,-0.30759636,0.00000061,-0.01060251,0.04282078,-0.08422341,0.15562414,-0.32572168,0.00000000,-0.00000000
3.71885943,0.20828246,-0.89819417,0.31666764,-0.89367058,0.03118822,-0.30913782,0.00000042,-0.00979654,0.04345775,-0.08557402,0.15516944,-0.32299714,0.00000000,-0.00000000
3.72486243,0.20859697,-0.89491466,0.31622397,-0.88220962,0.03123645,-0.30996930,0.00000029,-0.00899146,0.04429347,-0.08683258,0.15541584,-0.31965215,0.00000000,-0.00000000
3.73086543,0.20983752,-0.89000842,0.31719451,-0.86930160,0.03142338,-0.31013845,0.00000020,-0.00819856,0.04531682,-0.08800893,0.15635147,-0.31578798,0.00000000,-0.00000000
3.73686843,0.21194461,-0.88368193,0.31949816,-0.85523633,0.03174008,-0.30969452,0.00000014,-0.00742801,0.04650770,-0.08911177,0.15793209,-0.31150220,0.00000000,-0.00000000
3.74287144,0.21481769,-0.87613085,0.32299121,-0.84028563,0.03217146,-0.30868625,0.00000010,-0.00668869,0.04783755,-0.09014819,0.16008281,-0.30688620,0.00000000,-0.00000000
3.74887444,0.21831902,-0.86753449,0.32747322,-0.82469765,0.03269688,-0.30716004,0.00000007,-0.00598820,0.04927020,-0.09112345,0.16270100,-0.30202322,0.00000000,-0.00000000
3.75487744,0.22227910,-0.85805167,0.33269513,-0.80869269,0.03329094,-0.30515831,0.00000005,-0.00533275,0.05076312,-0.09204081,0.16566035,-0.29698689,0.00000000,-0.00000000
3.76088044,0.22650326,-0.84781801,0.33836921,-0.79246080,0.03392449,-0.30271836,0.00000004,-0.00472722,0.05226885,-0.09290164,0.16881580,-0.29184040,0.00000000,-0.00000000
3.76688344,0.23077932,-0.83694477,0.34418056,-0.77616103,0.03456573,-0.29987158,0.00000003,-0.00417527,0.05373672,-0.09370567,0.17200920,-0.28663627,0.00000000,-0.00000000
3.77288644,0.23488571,-0.82551951,0.34979938,-0.75992252,0.03518148,-0.29664334,0.00000003,-0.00367940,0.05511462,-0.09445146,0.17507544,-0.28141687,0.00000000,-0.00000000
3.77888944,0.23860007,-0.81360833,0.35489380,-0.74384717,0.03573842,-0.29305328,0.00000002,-0.00324113,0.05635096,-0.09513709,0.17784879,-0.27621533,0.00000000,-0.00000000
3.78489245,0.24170756,-0.80125960,0.35914253,-0.72801372,0.03620439,-0.28911624,0.00000002,-0.00286111,0.05739646,-0.09576092,0.18016914,-0.27105719,0.00000000,-0.00000000
3.79089545,0.24400892,-0.78850903,0.36224687,-0.71248301,0.03654954,-0.28484361,0.00000002,-0.00253934,0.05820603,-0.09632250,0.18188801,-0.26596231,0.00000000,-0.00000000
3.79689845,0.24532767,-0.77538563,0.36394155,-0.69730396,0.03674744,-0.28024509,0.00000002,-0.00227525,0.05874029,-0.09682349,0.18287389,-0.26094713,0.00000000,-0.00000000
3.80290145,0.24551631,-0.76191815,0.36400404,-0.68251997,0.03677599,-0.27533069,0.00000002,-0.00206788,0.05896699,-0.09726857,0.18301688,-0.25602702,0.00000000,-0.00000000
3.80890445,0.24446118,-0.74814160,0.36226197,-0.66817512,0.03661818,-0.27011282,0.00000002,-0.00191603,0.05886210,-0.09766621,0.18223231,-0.25121859,0.00000000,-0.00000000
3.81490745,0.24208597,-0.73410327,0.35859830,-0.65431984,0.03626259,-0.26460835,0.00000002,-0.00181830,0.05841054,-0.09802923,0.18046336,-0.24654179,0.00000000,-0.00000000
3.82091046,0.23835360,-0.71986780,0.35295424,-0.64101553,0.03570365,-0.25884042,0.00000002,-0.00177317,0.05760656,-0.09837520,0.17768243,-0.24202152,0.00000000,-0.00000000
3.82691346,0.23326655,-0.70552078,0.34532983,-0.62833770,0.03494175,-0.25283982,0.00000002,-0.00177910,0.05645383,-0.09872633,0.17389146,-0.23768883,0.00000000,-0.00000000
3.83291646,0.22686567,-0.69117066,0.33578220,-0.61637744,0.03398300,-0.24664589,0.00000002,-0.00183444,0.05496504,-0.09910920,0.16912096,-0.23358133,0.00000000,-0.00000000
3.83891946,0.21922761,-0.67694850,0.32442177,-0.60524093,0.03283888,-0.24030673,0.00000002,-0.00193751,0.05316131,-0.09955397,0.16342814,-0.22974291,0.00000000,-0.00000000
3.84492246,0.21046096,-0.66300568,0.31140663,-0.59504688,0.03152566,-0.23387873,0.00000002,-0.00208648,0.05107120,-0.10009327,0.15689407,-0.22622270,0.00000000,-0.00000000
3.85092546,0.20070150,-0.64950939,0.29693544,-0.58592210,0.03006367,-0.22742538,0.00000002,-0.00227936,0.04872957,-0.10076069,0.14962007,-0.22307328,0.00000000,-0.00000000
3.85692846,0.19010664,-0.63663624,0.28123927,-0.57799535,0.02847647,-0.22101541,0.00000002,-0.00251389,0.04617622,-0.10158906,0.14172362,-0.22034828,0.00000000,-0.00000000
