energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.90599614,0.02361895,0.73479045,0.61236680,0.00000000,2.95817584,1.41507201,0.09539458,1.73514070
-5.99399700,5.13002617,0.02347744,0.76689299,0.65673003,0.00000000,3.14890116,1.47521681,0.09739034,1.81674608
-5.98799400,5.36466759,0.02338248,0.80006681,0.70311410,0.00000000,3.34874016,1.53760296,0.09948007,1.90271783
-5.98199100,5.60610097,0.02332458,0.83369472,0.75098326,0.00000000,3.55465603,1.60116630,0.10161086,1.99177791
-5.97598799,5.85024984,0.02329347,0.86711633,0.79975755,0.00000000,3.76330529,1.66478501,0.10372938,2.08256946
-5.96998499,6.09290738,0.02327852,0.89964744,0.84882852,0.00000000,3.97112911,1.72731659,0.10578361,2.17370055
-5.96398199,6.32987136,0.02326914,0.93060082,0.89757678,0.00000000,4.17445697,1.78763634,0.10772458,2.26379026
-5.95797899,6.55708163,0.02325520,0.95930767,0.94539079,0.00000000,4.36961879,1.84467581,0.10950800,2.35151510
-5.95197599,6.77075421,0.02322744,0.98513898,0.99168598,0.00000000,4.55306104,1.89745944,0.11109569,2.43565366
-5.94597299,6.96750586,0.02317778,1.00752578,1.03592317,0.00000000,4.72146171,1.94513776,0.11245680,2.51512707
-5.93996998,7.14446310,0.02309961,1.02597759,1.07762544,0.00000000,4.87183910,1.98701557,0.11356862,2.58903342
-5.93396698,7.29935066,0.02298799,1.04009818,1.11639255,0.00000000,5.00164930,2.02257378,0.11441716,2.65667420
-5.92796398,7.43055454,0.02283979,1.04959795,1.15191194,0.00000000,5.10886770,2.05148380,0.11499725,2.71757126
-5.92196098,7.53715674,0.02265373,1.05430248,1.18396580,0.00000000,5.19205047,2.07361382,0.11531229,2.77147325
-5.91595798,7.61893955,0.02243032,1.05415666,1.21243368,0.00000000,5.25037299,2.08902649,0.11537357,2.81835110
-5.90995498,7.67635907,0.02217173,1.04922444,1.23729036,0.00000000,5.28364334,2.09796837,0.11519931,2.85838257
