energy_ev,total_up,B_p_up,B_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,1.52362186,0.13676102,0.00000000,0.85419360,0.25633587,0.02684959,0.50076561
-5.99399700,1.41415456,0.12738658,0.00000000,0.79812936,0.23759839,0.02403723,0.46271479
-5.98799400,1.31112213,0.11829843,0.00000000,0.74585519,0.22002843,0.02138089,0.42699765
-5.98199100,1.21562224,0.10960542,0.00000000,0.69794047,0.20380628,0.01889501,0.39397674
-5.97598799,1.12853043,0.10140273,0.00000000,0.65483542,0.18907181,0.01658966,0.36393782
-5.96998499,1.05048964,0.09377042,0.00000000,0.61686411,0.17592311,0.01447065,0.33708703
-5.96398199,0.98190659,0.08677228,0.00000000,0.58422094,0.16441635,0.01253987,0.31355039
-5.95797899,0.92295429,0.08045520,0.00000000,0.55697065,0.15456683,0.01079563,0.29337533
-5.95197599,0.87358054,0.07484898,0.00000000,0.53505148,0.14635094,0.00923317,0.27653410
-5.94597299,0.83352126,0.06996653,0.00000000,0.51828135,0.13970912,0.00784514,0.26292874
-5.93996998,0.80231837,0.06580446,0.00000000,0.50636674,0.13454943,0.00662212,0.25239742
-5.93396698,0.77934119,0.06234401,0.00000000,0.49891394,0.13075178,0.00555317,0.24472178
-5.92796398,0.76381086,0.05955228,0.00000000,0.49544232,0.12817256,0.00462632,0.23963518
-5.92196098,0.75482690,0.05738374,0.00000000,0.49539937,0.12664962,0.00382898,0.23683145
-5.91595798,0.75139541,0.05578196,0.00000000,0.49817698,0.12600735,0.00314838,0.23597415
-5.90995498,0.75245809,0.05468152,0.00000000,0.50312869,0.12606193,0.00257189,0.23670591
-5.90395198,0.75692152,0.05401000,0.00000000,0.50958750,0.12662637,0.00208730,0.23865791
-5.89794897,0.76368605,0.05369019,0.00000000,0.51688360,0.12751551,0.00168303,0.24145908
-5.89194597,0.77167359,0.05364217,0.00000000,0.52436192,0.12855059,0.00134829,0.24474504
-5.88594297,0.77985389,0.05378553,0.00000000,0.53139870,0.12956357,0.00107319,0.24816653
-5.87993997,0.78726844,0.05404140,0.00000000,0.53741688,0.13040087,0.00084880,0.25139709
-5.87393697,0.79305165,0.05433446,0.00000000,0.54189972,0.13092657,0.00066714,0.25414003
-5.86793397,0.79644878,0.05459474,0.00000000,0.54440241,0.13102504,0.00052121,0.25613428
-5.86193097,0.79683006,0.05475920,0.00000000,0.54456117,0.13060282,0.00040493,0.25715920
-5.85592796,0.79370088,0.05477309,0.00000000,0.54209982,0.12958978,0.00031308,0.25703813
-5.84992496,0.78670769,0.05459097,0.00000000,0.53683335,0.12793965,0.00024128,0.25564063
-5.84392196,0.77563961,0.05417749,0.00000000,0.52866876,0.12562971,0.00018588,0.25288333
-5.83791896,0.76042587,0.05350775,0.00000000,0.51760299,0.12265991,0.00014390,0.24872950
-5.83191596,0.74112920,0.05256738,0.00000000,0.50371817,0.11905132,0.00011300,0.24318724
-5.82591296,0.71793567,0.05135234,0.00000000,0.48717449,0.11484405,0.00009141,0.23630654
-5.81990995,0.69114145,0.04986828,0.00000000,0.46820101,0.11009475,0.00007789,0.22817529
-5.81390695,0.66113716,0.04812979,0.00000000,0.44708485,0.10487379,0.00007170,0.21891436
-5.80790395,0.62839041,0.04615933,0.00000000,0.42415925,0.09926226,0.00007261,0.20867212
-5.80190095,0.59342746,0.04398601,0.00000000,0.39979106,0.09334887,0.00008091,0.19761850
-5.79589795,0.55681471,0.04164429,0.00000000,0.37436814,0.08722693,0.00009744,0.18593899
-5.78989495,0.51914078,0.03917258,0.00000000,0.34828718,0.08099154,0.00012360,0.17382866
-5.78389195,0.48099983,0.03661186,0.00000000,0.32194247,0.07473699,0.00016152,0.16148656
-5.77788894,0.44297684,0.03400446,0.00000000,0.29571586,0.06855462,0.00021408,0.14911076
-5.77188594,0.40563530,0.03139276,0.00000000,0.26996841,0.06253103,0.00028507,0.13689398
