energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,4.82411037,0.03357733,0.73335613,0.50211210,0.35633102,1.85487717,1.92634345,1.94168967,0.00000000
-5.99399700,4.94564071,0.03470712,0.75268944,0.50896000,0.36377185,1.90714634,1.98799352,1.97819918,0.00000000
-5.98799400,5.06894755,0.03582095,0.77286220,0.51653999,0.37103887,1.96229778,2.05089513,2.01437112,0.00000000
-5.98199100,5.19246454,0.03689935,0.79354119,0.52473520,0.37808081,2.01965027,2.11427870,2.04976584,0.00000000
-5.97598799,5.31473450,0.03792406,0.81440044,0.53342476,0.38485329,2.07854155,2.17741343,2.08399869,0.00000000
-5.96998499,5.43444423,0.03887851,0.83512957,0.54248623,0.39131978,2.13834596,2.23962370,2.11674946,0.00000000
-5.96398199,5.55045187,0.03974814,0.85544135,0.55179785,0.39745207,2.19848992,2.30030247,2.14776850,0.00000000
-5.95797899,5.66180617,0.04052075,0.87507833,0.56124067,0.40323055,2.25846483,2.35892130,2.17687954,0.00000000
-5.95197599,5.76775744,0.04118668,0.89381827,0.57070061,0.40864402,2.31783719,2.41503678,2.20397915,0.00000000
-5.94597299,5.86776021,0.04173895,0.91147831,0.58007030,0.41368933,2.37625541,2.46829341,2.22903343,0.00000000
-5.93996998,5.96146811,0.04217333,0.92791757,0.58925095,0.41837067,2.43345341,2.51842296,2.25207193,0.00000000
-5.93396698,6.04872153,0.04248829,0.94303827,0.59815405,0.42269873,2.48925053,2.56524070,2.27317965,0.00000000
-5.92796398,6.12952915,0.04268489,0.95678518,0.60670291,0.42668975,2.54354819,2.60863867,2.29248735,0.00000000
-5.92196098,6.20404431,0.04276662,0.96914353,0.61483403,0.43036442,2.59632294,2.64857670,2.31016097,0.00000000
-5.91595798,6.27253769,0.04273915,0.98013544,0.62249832,0.43374686,2.64761662,2.68507159,2.32639064,0.00000000
-5.90995498,6.33536750,0.04261008,0.98981495,0.62966192,0.43686353,2.69752354,2.71818509,2.34137986,0.00000000
-5.90395198,6.39294884,0.04238861,0.99826207,0.63630679,0.43974236,2.74617564,2.74801143,2.35533529,0.00000000
-5.89794897,6.44572342,0.04208520,1.00557581,0.64243088,0.44241187,2.79372587,2.77466487,2.36845776,0.00000000
-5.89194597,6.49413116,0.04171120,1.01186685,0.64804796,0.44490047,2.84033084,2.79826808,2.38093454,0.00000000
-5.88594297,6.53858478,0.04127856,1.01724995,0.65318691,0.44723596,2.88613337,2.81894162,2.39293342,0.00000000
-5.87993997,6.57944847,0.04079940,1.02183663,0.65789077,0.44944512,2.93124587,2.83679535,2.40459853,0.00000000
-5.87393697,6.61702139,0.04028576,1.02572837,0.66221520,0.45155347,2.97573538,2.85192173,2.41604796,0.00000000
-5.86793397,6.65152651,0.03974926,1.02901076,0.66622669,0.45358517,3.01961102,2.86439156,2.42737311,0.00000000
-5.86193097,6.68310511,0.03920086,1.03174882,0.67000041,0.45556303,3.06281464,2.87425198,2.43863956,0.00000000
-5.85592796,6.71181671,0.03865061,1.03398377,0.67361783,0.45750854,3.10521504,2.88152693,2.44988929,0.00000000
-5.84992496,6.73764420,0.03810752,1.03573135,0.67716404,0.45944204,3.14660616,2.88621965,2.46114368,0.00000000
-5.84392196,6.76050344,0.03757940,1.03698177,0.68072509,0.46138280,3.18670945,2.88831712,2.47240727,0.00000000
-5.83791896,6.78025649,0.03707277,1.03770126,0.68438518,0.46334912,3.22518008,2.88779591,2.48367158,0.00000000
-5.83191596,6.79672746,0.03659286,1.03783500,0.68822387,0.46535842,3.26161698,2.88462903,2.49491894,0.00000000
-5.82591296,6.80971983,0.03614359,1.03731137,0.69231347,0.46742716,3.29557585,2.87879326,2.50612581,0.00000000
-5.81990995,6.81903413,0.03572764,1.03604707,0.69671650,0.46957082,3.32658474,2.87027647,2.51726546,0.00000000
-5.81390695,6.82448498,0.03534653,1.03395293,0.70148345,0.47180372,3.35416122,2.85908445,2.52830991,0.00000000
-5.80790395,6.82591647,0.03500075,1.03093994,0.70665080,0.47413881,3.37783041,2.84524677,2.53923102,0.00000000
-5.80190095,6.82321518,0.03468988,1.02692521,0.71223947,0.47658746,3.39714291,2.82882149,2.55000082,0.00000000
-5.79589795,6.81632051,0.03441280,1.02183748,0.71825369,0.47915927,3.41169193,2.80989831,2.56059131,0.00000000
-5.78989495,6.80523184,0.03416781,1.01562201,0.72468029,0.48186188,3.42112890,2.78860021,2.57097377,0.00000000
-5.78389195,6.79001276,0.03395287,1.00824440,0.73148871,0.48470094,3.42517694,2.76508351,2.58111812,0.00000000
-5.77788894,6.77079251,0.03376575,0.99969345,0.73863142,0.48768018,3.42364183,2.73953640,2.59099245,0.00000000
-5.77188594,6.74776503,0.03360422,0.98998276,0.74604511,0.49080168,3.41642029,2.71217631,2.60056297,0.00000000
-5.76588294,6.72118622,0.03346623,0.97915124,0.75365239,0.49406627,3.40350534,2.68324615,2.60979481,0.00000000
-5.75987994,6.69136986,0.03335006,0.96726243,0.76136415,0.49747411,3.38498891,2.65300992,2.61865359,0.00000000
-5.75387694,6.65868276,0.03325446,0.95440290,0.76908243,0.50102546,3.36106175,2.62174784,2.62710790,0.00000000
-5.74787394,6.62353945,0.03317875,0.94067983,0.77670371,0.50472150,3.33201092,2.58975130,2.63513260,0.00000000
-5.74187094,6.58639682,0.03312295,0.92621797,0.78412257,0.50856511,3.29821496,2.55731794,2.64271264,0.00000000
-5.73586793,6.54774851,0.03308777,0.91115613,0.79123543,0.51256174,3.26013723,2.52474687,2.64984714,0.00000000
-5.72986493,6.50811917,0.03307470,0.89564355,0.79794435,0.51671989,3.21831730,2.49233426,2.65655328,0.00000000
-5.72386193,6.46805809,0.03308597,0.87983605,0.80416054,0.52105147,3.17336088,2.46036921,2.66286941,0.00000000
-5.71785893,6.42813188,0.03312447,0.86389244,0.80980751,0.52557171,3.12592825,2.42912996,2.66885705,0.00000000
-5.71185593,6.38891570,0.03319372,0.84797094,0.81482357,0.53029857,3.07672135,2.39888014,2.67460112,0.00000000
-5.70585293,6.35098261,0.03329767,0.83222596,0.81916360,0.53525170,3.02646968,2.36986527,2.68020818,0.00000000
-5.69984992,6.31489072,0.03344063,0.81680511,0.82279993,0.54045080,2.97591514,2.34230905,2.68580235,0.00000000
