energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,2.99216432,0.98722290,1.23727986,0.00091509,0.65457210,0.16868760,0.24299260,0.00882438,0.67334165
-5.99399700,3.06366173,1.00480048,1.27443922,0.00092358,0.67704929,0.16891132,0.24585579,0.00931310,0.67309952
-5.98799400,3.13172480,1.02056559,1.30970000,0.00093957,0.69728718,0.16955191,0.24908724,0.00977017,0.67482457
-5.98199100,3.19515244,1.03428193,1.34247574,0.00096040,0.71503358,0.17058966,0.25257547,0.01018785,0.67833112
-5.97598799,3.25284869,1.04575711,1.37222767,0.00098383,0.73008491,0.17200268,0.25620987,0.01055912,0.68341241
-5.96998499,3.30386379,1.05485302,1.39848419,0.00100800,0.74229500,0.17376789,0.25988436,0.01087785,0.68984758
-5.96398199,3.34742983,1.06149435,1.42085791,0.00103142,0.75158220,0.17586183,0.26350054,0.01113902,0.69740814
-5.95797899,3.38298889,1.06567454,1.43905940,0.00105289,0.75793435,0.17826130,0.26697047,0.01133886,0.70586386
-5.95197599,3.41021259,1.06745908,1.45290710,0.00107152,0.76141141,0.18094379,0.27021872,0.01147496,0.71498771
-5.94597299,3.42901220,1.06698561,1.46233294,0.00108669,0.76214545,0.18388766,0.27318390,0.01154633,0.72455983
-5.93996998,3.43953891,1.06446108,1.46738362,0.00109802,0.76033807,0.18707216,0.27581938,0.01155342,0.73437067
-5.93396698,3.44217465,1.06015584,1.46821745,0.00110535,0.75625516,0.19047718,0.27809342,0.01149813,0.74422312
-5.92796398,3.43751403,1.05439497,1.46509717,0.00110873,0.75021946,0.19408302,0.27998870,0.01138367,0.75393397
-5.92196098,3.42633881,1.04754738,1.45837927,0.00110835,0.74260088,0.19786991,0.28150133,0.01121447,0.76333488
-5.91595798,3.40958614,1.04001308,1.44850031,0.00110457,0.73380529,0.20181761,0.28263946,0.01099606,0.77227285
-5.90995498,3.38831243,1.03220917,1.43596107,0.00109783,0.72426212,0.20590502,0.28342161,0.01073482,0.78061060
-5.90395198,3.36365470,1.02455540,1.42130935,0.00108868,0.71441131,0.21010983,0.28387483,0.01043784,0.78822686
-5.89794897,3.33679111,1.01745963,1.40512221,0.00107771,0.70469009,0.21440830,0.28403284,0.01011267,0.79501666
-5.89194597,3.30890234,1.01130409,1.38798826,0.00106555,0.69552026,0.21877512,0.28393411,0.00976710,0.80089175
-5.88594297,3.28113541,1.00643281,1.37049094,0.00105279,0.68729620,0.22318345,0.28362016,0.00940899,0.80578106
-5.87993997,3.25457087,1.00314060,1.35319295,0.00104004,0.68037427,0.22760499,0.28313391,0.00904604,0.80963104
-5.87393697,3.23019434,1.00166419,1.33662259,0.00102785,0.67506366,0.23201021,0.28251828,0.00868564,0.81240601
-5.86793397,3.20887292,1.00217536,1.32126197,0.00101667,0.67161913,0.23636860,0.28181495,0.00833473,0.81408814
-5.86193097,3.19133646,1.00477653,1.30753728,0.00100692,0.67023557,0.24064891,0.28106321,0.00799964,0.81467699
-5.85592796,3.17816377,1.00949852,1.29581120,0.00099890,0.67104456,0.24481943,0.28029908,0.00768607,0.81418857
-5.84992496,3.16977337,1.01630053,1.28637716,0.00099281,0.67411273,0.24884813,0.27955444,0.00739895,0.81265373
-5.84392196,3.16641832,1.02507212,1.27945536,0.00098878,0.67944189,0.25270283,0.27885627,0.00714247,0.81011590
