energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,4.00222790,0.99000884,0.77209156,0.00911244,0.75308027,0.01024169,1.96073795,1.57885231,0.52287282
-5.99399700,3.96796781,0.98350714,0.77458812,0.00870942,0.72213529,0.01018263,1.96787110,1.51512623,0.51324088
-5.98799400,3.93541674,0.97558990,0.77526617,0.00838882,0.69427914,0.01027020,1.97276938,1.45894504,0.50551855
-5.98199100,3.90327284,0.96631136,0.77399303,0.00813803,0.66909544,0.01050476,1.97505447,1.40938092,0.49932419
-5.97598799,3.87050693,0.95578317,0.77069287,0.00794528,0.64620327,0.01088745,1.97448834,1.36561651,0.49430513
-5.96998499,3.83639326,0.94417307,0.76534972,0.00779982,0.62526658,0.01142015,1.97098467,1.32696603,0.49014709
-5.96398199,3.80052636,0.93170090,0.75800797,0.00769216,0.60600117,0.01210541,1.96461382,1.29288913,0.48658184
-5.95797899,3.76282421,0.91863193,0.74877055,0.00761414,0.58817913,0.01294619,1.95560127,1.26299763,0.48339284
-5.95197599,3.72351814,0.90526797,0.73779490,0.00755908,0.57163084,0.01394566,1.94431965,1.23705520,0.48041882
-5.94597299,3.68313015,0.89193655,0.72528691,0.00752174,0.55624464,0.01510690,1.93127469,1.21497068,0.47755527
-5.93996998,3.64243917,0.87897872,0.71149325,0.00749833,0.54196435,0.01643252,1.91708576,1.19678535,0.47475379
-5.93396698,3.60243756,0.86673611,0.69669236,0.00748646,0.52878477,0.01792436,1.90246163,1.18265496,0.47201934
-5.92796398,3.56428004,0.85553763,0.68118459,0.00748503,0.51674543,0.01958311,1.88817268,1.17282732,0.46940562
-5.92196098,3.52922691,0.84568669,0.66528185,0.00749411,0.50592283,0.02140802,1.87502048,1.16761617,0.46700860
-5.91595798,3.49858407,0.83744920,0.64929725,0.00751479,0.49642144,0.02339660,1.86380613,1.16737256,0.46495855
-5.90995498,3.47364214,0.83104305,0.63353505,0.00754898,0.48836381,0.02554448,1.85529851,1.17245464,0.46341092
-5.90395198,3.45561722,0.82662952,0.61828138,0.00759924,0.48188019,0.02784522,1.85020388,1.18319707,0.46253636
-5.89794897,3.44559557,0.82430687,0.60379607,0.00766855,0.47709800,0.03029037,1.84913810,1.19988126,0.46251030
-5.89194597,3.44448458,0.82410643,0.59030575,0.00776013,0.47413152,0.03286951,1.85260246,1.22270769,0.46350264
-5.88594297,3.45297197,0.82599137,0.57799853,0.00787722,0.47307232,0.03557055,1.86096450,1.25177135,0.46566794
-5.87993997,3.47149497,0.82985814,0.56702040,0.00802291,0.47398074,0.03837997,1.87444425,1.28704169,0.46913656
-5.87393697,3.50022067,0.83554048,0.55747325,0.00819998,0.47687884,0.04128337,1.89310688,1.32834774,0.47400725
-5.86793397,3.53903851,0.84281594,0.54941480,0.00841070,0.48174508,0.04426594,1.91686181,1.37536951,0.48034151
-5.86193097,3.58756512,0.85141452,0.54286001,0.00865678,0.48851110,0.04731314,1.94546849,1.42763608,0.48815999
-5.85592796,3.64516125,0.86102910,0.53778408,0.00893923,0.49706067,0.05041136,1.97854860,1.48453074,0.49744122
-5.84992496,3.71096001,0.87132726,0.53412668,0.00925832,0.50723090,0.05354860,2.01560395,1.54530322,0.50812265
-5.84392196,3.78390511,0.88196397,0.53179722,0.00961357,0.51881577,0.05671520,2.05603952,1.60908861,0.52010405
-5.83791896,3.86279726,0.89259472,0.53068086,0.01000369,0.53157174,0.05990450,2.09919033,1.67493238,0.53325311
-5.83191596,3.94634648,0.90288845,0.53064496,0.01042668,0.54522530,0.06311332,2.14435105,1.74182049,0.54741282
-5.82591296,4.03322791,0.91253988,0.53154563,0.01087978,0.55948197,0.06634252,2.19080694,1.80871332,0.56241050
-5.81990995,4.12213848,0.92128069,0.53323411,0.01135961,0.57403657,0.06959721,2.23786456,1.87458199,0.57806783
-5.81390695,4.21185155,0.92888923,0.53556274,0.01186217,0.58858401,0.07288694,2.28488105,1.93844536,0.59421132
-5.80790395,4.30126726,0.93519830,0.53839024,0.01238293,0.60283030,0.07622560,2.33129038,1.99940604,0.61068281
-5.80190095,4.38945599,0.94010075,0.54158616,0.01291692,0.61650313,0.07963122,2.37662566,2.05668365,0.62734930
-5.79589795,4.47569313,0.94355279,0.54503445,0.01345873,0.62936154,0.08312545,2.42053631,2.10964383,0.64411156
-5.78989495,4.55948356,0.94557486,0.54863594,0.01400264,0.64120430,0.08673298,2.46279959,2.15782146,0.66091112
-5.78389195,4.64057501,0.94625015,0.55230991,0.01454265,0.65187647,0.09048068,2.50332595,2.20093696,0.67773504
-5.77788894,4.71895985,0.94572075,0.55599482,0.01507251,0.66127392,0.09439670,2.54215829,2.23890499,0.69461840
-5.77188594,4.79486548,0.94418186,0.55964814,0.01558582,0.66934564,0.09850935,2.57946515,2.27183489,0.71164406
-5.76588294,4.86873425,0.94187417,0.56324568,0.01607607,0.67609374,0.10284606,2.61552861,2.30002295,0.72893988
-5.75987994,4.94119402,0.93907478,0.56678045,0.01653670,0.68157107,0.10743213,2.65072740,2.32393687,0.74667321
-5.75387694,5.01302110,0.93608721,0.57026128,0.01696121,0.68587683,0.11228968,2.68551641,2.34419297,0.76504309
-5.74787394,5.08509756,0.93323077,0.57371137,0.01734325,0.68915016,0.11743654,2.72040354,2.36152735,0.78427036
-5.74187094,5.15836498,0.93082982,0.57716696,0.01767672,0.69156226,0.12288534,2.75592516,2.37676228,0.80458610
-5.73586793,5.23377698,0.92920332,0.58067621,0.01795592,0.69330730,0.12864262,2.79262123,2.39076927,0.82621894
-5.72986493,5.31225243,0.92865511,0.58429826,0.01817570,0.69459259,0.13470825,2.83101128,2.40443052,0.84938182
-5.72386193,5.39463150,0.92946520,0.58810273,0.01833165,0.69562853,0.14107493,2.87157206,2.41860036,0.87425870
-5.71785893,5.48163608,0.93188242,0.59216926,0.01842019,0.69661873,0.14772794,2.91471786,2.43406838,0.90099187
-5.71185593,5.57383594,0.93611857,0.59658735,0.01843882,0.69775068,0.15464510,2.96078386,2.45152570,0.92967052
-5.70585293,5.67162158,0.94234430,0.60145608,0.01838621,0.69918757,0.16179690,3.01001307,2.47153560,0.96032082
-5.69984992,5.77518423,0.95068656,0.60688366,0.01826236,0.70106131,0.16914681,3.06254688,2.49450987,0.99289826
-5.69384692,5.88450328,0.96122772,0.61298660,0.01806867,0.70346720,0.17665182,3.11841926,2.52069127,1.02728236
-5.68784392,5.99934089,0.97400613,0.61988835,0.01780801,0.70646042,0.18426300,3.17755435,2.55014304,1.06327421
-5.68184092,6.11924316,0.98901794,0.62771709,0.01748472,0.71005424,0.19192627,3.23976708,2.58274532,1.10059679
-5.67583792,6.24354740,1.00621983,0.63660271,0.01710454,0.71422025,0.19958321,3.30476640,2.61819857,1.13889822
-5.66983492,6.37139428,1.02553242,0.64667288,0.01667452,0.71889024,0.20717188,3.37216049,2.65603355,1.17775782
-5.66383192,6.50174417,1.04684398,0.65804802,0.01620286,0.72395983,0.21462774,3.44146359,2.69562732,1.21669475
-5.65782891,6.63339658,1.07001416,0.67083555,0.01569867,0.72929346,0.22188448,3.51210391,2.73622430,1.25517899
-5.65182591,6.76501172,1.09487740,0.68512330,0.01517173,0.73473051,0.22887488,3.58343217,2.77696157,1.29264420
-5.64582291,6.89513354,1.12124584,0.70097249,0.01463219,0.74009232,0.23553163,3.65473053,2.81689716,1.32850205
-5.63981991,7.02221350,1.14891165,0.71841047,0.01409025,0.74518967,0.24178807,3.72522171,2.85504037,1.36215753
-5.63381691,7.14463458,1.17764850,0.73742376,0.01355584,0.74983042,0.24757896,3.79407828,2.89038269,1.39302459
-5.62781391,7.26073538,1.20721248,0.75795157,0.01303830,0.75382694,0.25284114,3.86043201,2.92192847,1.42054176
-5.62181091,7.36883408,1.23734240,0.77988046,0.01254611,0.75700312,0.25751424,3.92338371,2.94872404,1.44418693
-5.61580790,7.46725229,1.26775977,0.80304038,0.01208660,0.75920049,0.26154129,3.98201349,2.96988459,1.46349109
-5.60980490,7.55433903,1.29816869,0.82720258,0.01166573,0.76028335,0.26486947,4.03539191,2.98461777,1.47805037
-5.60380190,7.62849488,1.32825608,0.85207966,0.01128798,0.76014274,0.26745071,4.08259213,2.99224362,1.48753610
-5.59779890,7.68819650,1.35769241,0.87732801,0.01095621,0.75869901,0.26924246,4.12270335,2.99221024,1.49170256
-5.59179590,7.73202174,1.38613347,0.90255271,0.01067161,0.75590311,0.27020841,4.15484560,2.98410504,1.49039226
-5.58579290,7.75867518,1.41322322,0.92731496,0.01043382,0.75173650,0.27031926,4.17818597,2.96766148,1.48353865
-5.57978989,7.76701398,1.43859816,0.95114184,0.01024092,0.74620977,0.26955350,4.19195598,2.94276140,1.47116621
-5.57378689,7.75607376,1.46189303,0.97353812,0.01008964,0.73936026,0.26789820,4.19546996,2.90943323,1.45338814
-5.56778389,7.72509384,1.48274806,0.99399981,0.00997557,0.73124868,0.26534975,4.18814381,2.86784646,1.43040172
-5.56178089,7.67354127,1.50081743,1.01202882,0.00989334,0.72195508,0.26191453,4.16951365,2.81830281,1.40248170
-5.55577789,7.60113260,1.51577868,1.02714823,0.00983691,0.71157443,0.25760951,4.13925356,2.76122473,1.36997199
-5.54977489,7.50785246,1.52734267,1.03891755,0.00979983,0.70021201,0.25246262,4.09719156,2.69714177,1.33327605
-5.54377189,7.39396798,1.53526362,1.04694725,0.00977553,0.68797892,0.24651298,4.04332306,2.62667538,1.29284641
-5.53776888,7.26003787,1.53934852,1.05091195,0.00975755,0.67498789,0.23981090,3.97782083,2.55052285,1.24917366
-5.53176588,7.10691540,1.53946549,1.05056174,0.00973978,0.66134968,0.23241755,3.90104086,2.46944071,1.20277529
-5.52576288,6.93574448,1.53555049,1.04573107,0.00971668,0.64717010,0.22440440,3.81352342,2.38422826,1.15418487
-5.51975988,6.74794838,1.52761178,1.03634487,0.00968342,0.63254784,0.21585226,3.71598895,2.29571156,1.10394174
-5.51375688,6.54521096,1.51573186,1.02242173,0.00963601,0.61757325,0.20685013,3.60932858,2.20472821,1.05258157
-5.50775388,6.32945057,1.50006667,1.00407383,0.00957141,0.60232779,0.19749365,3.49458937,2.11211319,1.00062797
-5.50175088,6.10278720,1.48084178,0.98150402,0.00948751,0.58688444,0.18788340,3.37295461,2.01868596,0.94858528
