energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,9.50046913,2.31538218,1.02127396,0.06388523,0.55162210,3.60259052,3.23168177,0.10554611,4.88339123
-5.99399700,9.60326231,2.33246390,1.02579152,0.06509504,0.56198496,3.61860930,3.29308425,0.10575379,4.92278748
-5.98799400,9.69767030,2.34873770,1.02934630,0.06603417,0.57081485,3.63578956,3.35204878,0.10550620,4.96047799
-5.98199100,9.78248752,2.36413861,1.03176241,0.06671026,0.57803355,3.65431016,3.40782510,0.10481470,4.99596482
-5.97598799,9.85685733,2.37864127,1.03291668,0.06713896,0.58359089,3.67440497,3.45977006,0.10369988,5.02890271
-5.96998499,9.92030008,2.39226644,1.03274152,0.06734345,0.58746569,3.69635940,3.50736504,0.10219107,5.05911283
-5.96398199,9.97272553,2.40508563,1.03122526,0.06735356,0.58966585,3.72050358,3.55022858,0.10032557,5.08658860
-5.95797899,10.01442869,2.41722343,1.02840997,0.06720464,0.59022767,3.74720218,3.58812354,0.09814751,5.11149318
-5.95197599,10.04606874,2.42885713,1.02438700,0.06693624,0.58921424,3.77684113,3.62095835,0.09570668,5.13414838
-5.94597299,10.06863155,2.44021348,1.01929028,0.06659055,0.58671309,3.80981130,3.64878220,0.09305698,5.15501533
-5.93996998,10.08337729,2.45156256,1.01328787,0.06621071,0.58283303,3.84648989,3.67177431,0.09025496,5.17466758
-5.93396698,10.09177505,2.46320877,1.00657209,0.06583909,0.57770050,3.88721975,3.69022776,0.08735811,5.19375777
-5.92796398,10.09542744,2.47547927,0.99934864,0.06551563,0.57145521,3.93228771,3.70452855,0.08442332,5.21297934
-5.92196098,10.09598843,2.48871020,0.99182542,0.06527619,0.56424566,3.98190255,3.71513092,0.08150525,5.23302492
-5.91595798,10.09507816,2.50323130,0.98420139,0.06515111,0.55622433,4.03617354,3.72253013,0.07865499,5.25454347
-5.90995498,10.09419873,2.51934947,0.97665599,0.06516396,0.54754296,4.09509073,3.72723393,0.07591874,5.27809819
-5.90395198,10.09465479,2.53733207,0.96933979,0.06533063,0.53834798,4.15850760,3.72973420,0.07333679,5.30412718
-5.89794897,10.09748263,2.55739064,0.96236658,0.06565865,0.52877631,4.22612743,3.73048010,0.07094273,5.33290889
-5.89194597,10.10339121,2.57966585,0.95580735,0.06614689,0.51895167,4.29749380,3.72985394,0.06876287,5.36453404
-5.88594297,10.11271766,2.60421432,0.94968643,0.06678559,0.50898153,4.37198622,3.72815102,0.06681598,5.39888543
