energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.66468045,0.03270932,0.13531095,0.41093094,0.17240431,1.01684037,0.00000000,0.23537476,0.19057625
-5.99399700,1.71612114,0.03367784,0.13872950,0.42221060,0.18072530,1.04675898,0.00000000,0.24013639,0.19628091
-5.98799400,1.78043173,0.03481493,0.14311685,0.43647122,0.19065128,1.08429762,0.00000000,0.24735610,0.20308326
-5.98199100,1.85676879,0.03609892,0.14841127,0.45349977,0.20214127,1.12892948,0.00000000,0.25690534,0.21087804
-5.97598799,1.94413394,0.03750587,0.15453914,0.47304603,0.21513435,1.18003513,0.00000000,0.26863305,0.21954508
-5.96998499,2.04138450,0.03901005,0.16141581,0.49482629,0.22954844,1.23691039,0.00000000,0.28236806,0.22895099
-5.96398199,2.14724451,0.04058444,0.16894644,0.51852715,0.24527918,1.29877442,0.00000000,0.29792120,0.23895100
-5.95797899,2.26031636,0.04220126,0.17702692,0.54380928,0.26219894,1.36477807,0.00000000,0.31508702,0.24939088
-5.95197599,2.37909325,0.04383243,0.18554489,0.57031130,0.28015615,1.43401253,0.00000000,0.33364522,0.26010900
-5.94597299,2.50197281,0.04545009,0.19438074,0.59765365,0.29897507,1.50551838,0.00000000,0.35336183,0.27093859
-5.93996998,2.62727213,0.04702703,0.20340883,0.62544256,0.31845614,1.57829527,0.00000000,0.37399016,0.28170996
-5.93396698,2.75324456,0.04853709,0.21249873,0.65327414,0.33837701,1.65131228,0.00000000,0.39527184,0.29225296
-5.92796398,2.87809860,0.04995552,0.22151670,0.68073873,0.35849442,1.72351912,0.00000000,0.41693785,0.30239933
-5.92196098,3.00001897,0.05125929,0.23032728,0.70742535,0.37854688,1.79385835,0.00000000,0.43870990,0.31198523
-5.91595798,3.11719017,0.05242735,0.23879504,0.73292660,0.39825843,1.86127863,0.00000000,0.46030217,0.32085368
-5.90995498,3.22782246,0.05344082,0.24678652,0.75684372,0.41734322,1.92474908,0.00000000,0.48142359,0.32885699
-5.90395198,3.33018005,0.05428316,0.25417239,0.77879210,0.43551106,1.98327475,0.00000000,0.50178073,0.33585916
-5.89794897,3.42261149,0.05494023,0.26082958,0.79840706,0.45247372,2.03591308,0.00000000,0.52108155,0.34173819
-5.89194597,3.50358141,0.05540040,0.26664374,0.81534991,0.46795189,2.08179104,0.00000000,0.53903968,0.34638820
-5.88594297,3.57170324,0.05565458,0.27151156,0.82931421,0.48168255,2.12012280,0.00000000,0.55537962,0.34972151
-5.87993997,3.62577188,0.05569623,0.27534321,0.84003207,0.49342652,2.15022736,0.00000000,0.56984240,0.35167041
-5.87393697,3.66479532,0.05552136,0.27806464,0.84728040,0.50297588,2.17154569,0.00000000,0.58219180,0.35218875
-5.86793397,3.68802395,0.05512855,0.27961978,0.85088679,0.51016092,2.18365669,0.00000000,0.59222079,0.35125322
-5.86193097,3.69497638,0.05451891,0.27997241,0.85073486,0.51485637,2.18629132,0.00000000,0.59975791,0.34886432
-5.85592796,3.68546033,0.05369607,0.27910776,0.84676884,0.51698648,2.17934413,0.00000000,0.60467346,0.34504686
-5.84992496,3.65958738,0.05266617,0.27703364,0.83899704,0.51652874,2.16288154,0.00000000,0.60688486,0.33985012
-5.84392196,3.61778038,0.05143780,0.27378107,0.82749406,0.51351600,2.13714610,0.00000000,0.60636122,0.33334740
