energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,0.90711346,0.00079933,0.03713172,0.00727711,0.00000000,0.21964726,0.45898166,0.02079647,0.36442418
-5.99399700,0.86669794,0.00077272,0.03598263,0.00703112,0.00000000,0.20706818,0.43729949,0.02009053,0.34916270
-5.98799400,0.82650231,0.00075652,0.03483250,0.00676721,0.00000000,0.19584957,0.41582705,0.01931560,0.33378787
-5.98199100,0.78725710,0.00075221,0.03370679,0.00649077,0.00000000,0.18614732,0.39495533,0.01848431,0.31858478
-5.97598799,0.74972048,0.00076126,0.03263328,0.00620762,0.00000000,0.17812393,0.37508371,0.01761072,0.30385414
-5.96998499,0.71466320,0.00078506,0.03164133,0.00592387,0.00000000,0.17194508,0.35661325,0.01670984,0.28990575
-5.96398199,0.68285299,0.00082488,0.03076114,0.00564574,0.00000000,0.16777551,0.33993992,0.01579722,0.27705154
-5.95797899,0.65503890,0.00088188,0.03002276,0.00537937,0.00000000,0.16577460,0.32544797,0.01488845,0.26559871
-5.95197599,0.63193584,0.00095703,0.02945517,0.00513074,0.00000000,0.16609159,0.31350358,0.01399875,0.25584276
-5.94597299,0.61420966,0.00105112,0.02908526,0.00490540,0.00000000,0.16886055,0.30444867,0.01314251,0.24806097
-5.93996998,0.60246324,0.00116466,0.02893686,0.00470843,0.00000000,0.17419542,0.29859531,0.01233296,0.24250620
-5.93396698,0.59722370,0.00129787,0.02902978,0.00454427,0.00000000,0.18218513,0.29622044,0.01158181,0.23940136
-5.92796398,0.59893108,0.00145063,0.02937893,0.00441658,0.00000000,0.19288895,0.29756115,0.01089895,0.23893457
-5.92196098,0.60792883,0.00162243,0.02999356,0.00432824,0.00000000,0.20633239,0.30281065,0.01029233,0.24125513
-5.91595798,0.62445614,0.00181237,0.03087662,0.00428121,0.00000000,0.22250372,0.31211477,0.00976776,0.24647041
-5.90995498,0.64864250,0.00201906,0.03202434,0.00427657,0.00000000,0.24135130,0.32556927,0.00932887,0.25464379
-5.90395198,0.68050457,0.00224067,0.03342598,0.00431445,0.00000000,0.26278198,0.34321790,0.00897715,0.26579351
-5.89794897,0.71994551,0.00247490,0.03506378,0.00439411,0.00000000,0.28666065,0.36505129,0.00871201,0.27989274
-5.89194597,0.76675688,0.00271898,0.03691324,0.00451394,0.00000000,0.31281115,0.39100681,0.00853096,0.29687056
-5.88594297,0.82062309,0.00296973,0.03894354,0.00467157,0.00000000,0.34101849,0.42096930,0.00842975,0.31661408
-5.87993997,0.88112844,0.00322357,0.04111832,0.00486393,0.00000000,0.37103258,0.45477287,0.00840267,0.33897154
-5.87393697,0.94776660,0.00347661,0.04339660,0.00508738,0.00000000,0.40257330,0.49220362,0.00844282,0.36375628
-5.86793397,1.01995235,0.00372474,0.04573398,0.00533783,0.00000000,0.43533681,0.53300346,0.00854242,0.39075152
-5.86193097,1.09703521,0.00396374,0.04808399,0.00561087,0.00000000,0.46900306,0.57687482,0.00869312,0.41971573
-5.85592796,1.17831484,0.00418934,0.05039961,0.00590192,0.00000000,0.50324398,0.62348639,0.00888632,0.45038860
-5.84992496,1.26305753,0.00439745,0.05263484,0.00620637,0.00000000,0.53773228,0.67247959,0.00911349,0.48249712
-5.84392196,1.35051355,0.00458418,0.05474634,0.00651971,0.00000000,0.57215042,0.72347595,0.00936646,0.51576184
-5.83791896,1.43993470,0.00474607,0.05669506,0.00683763,0.00000000,0.60619926,0.77608502,0.00963767,0.54990303
