energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,0.53731400,0.00712789,0.20675037,0.00307034,0.05848404,0.14746513,0.15134059
-5.99399700,0.53564236,0.00662451,0.20712094,0.00309988,0.05776436,0.15292012,0.14921982
-5.98799400,0.53939989,0.00613798,0.20978097,0.00319295,0.05745674,0.16063991,0.14834940
-5.98199100,0.54881719,0.00567447,0.21481118,0.00334585,0.05759994,0.17068357,0.14880560
-5.97598799,0.56403638,0.00523918,0.22225848,0.00355426,0.05822261,0.18308748,0.15063856
-5.96998499,0.58509781,0.00483623,0.23213083,0.00381329,0.05934175,0.19786037,0.15386900
-5.96398199,0.61192979,0.00446862,0.24439328,0.00411746,0.06096157,0.21497896,0.15848586
-5.95797899,0.64434179,0.00413818,0.25896514,0.00446068,0.06307275,0.23438437,0.16444497
-5.95197599,0.68202135,0.00384564,0.27571859,0.00483630,0.06565223,0.25597938,0.17166880
-5.94597299,0.72453489,0.00359066,0.29447878,0.00523712,0.06866339,0.27962677,0.18004733
-5.93996998,0.77133266,0.00337196,0.31502543,0.00565550,0.07205672,0.30514889,0.18944007
-5.93396698,0.82175766,0.00318741,0.33709606,0.00608343,0.07577093,0.33232841,0.19967914
-5.92796398,0.87505842,0.00303415,0.36039071,0.00651263,0.07973441,0.36091045,0.21057332
-5.92196098,0.93040534,0.00290881,0.38457807,0.00693477,0.08386710,0.39060609,0.22191310
-5.91595798,0.98691021,0.00280760,0.40930295,0.00734156,0.08808256,0.42109709,0.23347641
-5.90995498,1.04364821,0.00272649,0.43419482,0.00772501,0.09229037,0.45204197,0.24503490
-5.90395198,1.09968186,0.00266140,0.45887711,0.00807762,0.09639855,0.48308306,0.25636065
-5.89794897,1.15408601,0.00260829,0.48297719,0.00839257,0.10031609,0.51385457,0.26723299
-5.89194597,1.20597310,0.00256329,0.50613638,0.00866393,0.10395543,0.54399130,0.27744520
-5.88594297,1.25451787,0.00252289,0.52802002,0.00888689,0.10723484,0.57313782,0.28681087
-5.87993997,1.29898049,0.00248392,0.54832693,0.00905786,0.11008052,0.60095774,0.29516975
-5.87393697,1.33872750,0.00244372,0.56679812,0.00917464,0.11242855,0.62714292,0.30239275
-5.86793397,1.37324958,0.00240014,0.58322433,0.00923651,0.11422635,0.65142214,0.30838596
-5.86193097,1.40217575,0.00235159,0.59745226,0.00924425,0.11543388,0.67356897,0.31309363
-5.85592796,1.42528325,0.00229703,0.60938904,0.00920014,0.11602436,0.69340864,0.31649983
-5.84992496,1.44250295,0.00223597,0.61900495,0.00910789,0.11598456,0.71082344,0.31862888
-5.84392196,1.45391988,0.00216843,0.62633423,0.00897254,0.11531471,0.72575658,0.31954441
-5.83791896,1.45976909,0.00209492,0.63147380,0.00880030,0.11402797,0.73821417,0.31934720
-5.83191596,1.46042672,0.00201635,0.63458012,0.00859833,0.11214953,0.74826530,0.31817179
-5.82591296,1.45639676,0.00193399,0.63586404,0.00837451,0.10971545,0.75603994,0.31618202
-5.81990995,1.44829391,0.00184936,0.63558392,0.00813721,0.10677115,0.76172486,0.31356558
-5.81390695,1.43682293,0.00176419,0.63403719,0.00789497,0.10336982,0.76555739,0.31052793
-5.80790395,1.42275540,0.00168029,0.63155058,0.00765629,0.09957061,0.76781733,0.30728557
-5.80190095,1.40690445,0.00159953,0.62846925,0.00742931,0.09543688,0.76881707,0.30405904
-5.79589795,1.39009841,0.00152372,0.62514534,0.00722159,0.09103433,0.76889032,0.30106584
-5.78989495,1.37315411,0.00145456,0.62192613,0.00703991,0.08642932,0.76837975,0.29851343
-5.78389195,1.35685089,0.00139359,0.61914230,0.00689007,0.08168724,0.76762398,0.29659270
-5.77788894,1.34190600,0.00134210,0.61709668,0.00677678,0.07687110,0.76694444,0.29547198
-5.77188594,1.32895246,0.00130115,0.61605392,0.00670352,0.07204026,0.76663260,0.29529178
-5.76588294,1.31851998,0.00127149,0.61623145,0.00667256,0.06724944,0.76693810,0.29616070
-5.75987994,1.31101978,0.00125355,0.61779214,0.00668496,0.06254789,0.76805845,0.29815223
