energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,4.76056647,0.37890542,0.01416030,0.10025346,2.88160551,1.48141155,2.02705092
-5.99399700,4.75714869,0.36698429,0.01426705,0.10198672,2.88419542,1.45457520,2.02401137
-5.98799400,4.75692522,0.35556659,0.01436763,0.10369487,2.88932960,1.43274751,2.02204550
-5.98199100,4.75915795,0.34464316,0.01445821,0.10535230,2.89668865,1.41597963,2.02090378
-5.97598799,4.76313010,0.33420078,0.01453515,0.10693166,2.90597298,1.40429044,2.02035076
-5.96998499,4.76818501,0.32422405,0.01459511,0.10840426,2.91692489,1.39767712,2.02018089
-5.96398199,4.77376376,0.31469731,0.01463518,0.10974055,2.92934974,1.39612582,2.02023376
-5.95797899,4.77943965,0.30560649,0.01465302,0.11091074,2.94313501,1.39962208,2.02040797
-5.95197599,4.78494780,0.29694079,0.01464690,0.11188541,2.95826616,1.40816010,2.02067286
-5.94597299,4.79020854,0.28869417,0.01461583,0.11263637,2.97483857,1.42175084,2.02107749
-5.93996998,4.79534318,0.28086649,0.01455957,0.11313744,2.99306449,1.44042820,2.02175623
-5.93396698,4.80068139,0.27346436,0.01447866,0.11336529,3.01327485,1.46425314,2.02293066
-5.92796398,4.80675967,0.26650150,0.01437441,0.11330037,3.03591538,1.49331546,2.02490757
-5.92196098,4.81431093,0.25999882,0.01424892,0.11292770,3.06153725,1.52773310,2.02807304
-5.91595798,4.82424528,0.25398401,0.01410493,0.11223765,3.09078228,1.56764889,2.03288270
-5.90995498,4.83762299,0.24849078,0.01394588,0.11122662,3.12436333,1.61322495,2.03984855
-5.90395198,4.85562035,0.24355782,0.01377571,0.10989757,3.16304041,1.66463466,2.04952283
-5.89794897,4.87948977,0.23922742,0.01359884,0.10826041,3.20759344,1.72205266,2.06247932
-5.89194597,4.91051563,0.23554394,0.01342003,0.10633218,3.25879238,1.78564297,2.07929292
-5.88594297,4.94996715,0.23255212,0.01324429,0.10413704,3.31736600,1.85554581,2.10051806
-5.87993997,4.99905017,0.23029535,0.01307673,0.10170599,3.38397003,1.93186327,2.12666674
-5.87393697,5.05885916,0.22881403,0.01292250,0.09907648,3.45915592,2.01464459,2.15818682
-5.86793397,5.13033117,0.22814387,0.01278665,0.09629162,3.54334111,2.10387133,2.19544135
-5.86193097,5.21420311,0.22831455,0.01267405,0.09339934,3.63678189,2.19944308,2.23868962
-5.85592796,5.31097373,0.22934849,0.01258923,0.09045126,3.73954957,2.30116434,2.28807043
-5.84992496,5.42087159,0.23125987,0.01253639,0.08750142,3.85151114,2.40873301,2.34358829
-5.84392196,5.54383009,0.23405404,0.01251924,0.08460490,3.97231486,2.52173135,2.40510310
-5.83791896,5.67947066,0.23772720,0.01254095,0.08181632,4.10138173,2.63961972,2.47232359
-5.83191596,5.82709477,0.24226645,0.01260412,0.07918834,4.23790333,2.76173398,2.54480519
-5.82591296,5.98568554,0.24765012,0.01271070,0.07677014,4.38084654,2.88728674,2.62195229
-5.81990995,6.15391927,0.25384856,0.01286195,0.07460598,4.52896538,3.01537315,2.70302544
-5.81390695,6.33018709,0.26082510,0.01305846,0.07273390,4.68082013,3.14498121,2.78715319
-5.80790395,6.51262649,0.26853739,0.01330013,0.07118454,4.83480363,3.27500696,2.87334879
-5.80190095,6.69916237,0.27693892,0.01358618,0.06998026,4.98917432,3.40427418,2.96053125
-5.79589795,6.88755651,0.28598069,0.01391518,0.06913440,5.14209537,3.53155847,3.04755044
-5.78989495,7.07546441,0.29561306,0.01428512,0.06865091,5.29167892,3.65561498,3.13321556
-5.78389195,7.26049775,0.30578753,0.01469347,0.06852429,5.43603423,3.77520898,3.21632619
-5.77788894,7.44029033,0.31645851,0.01513728,0.06873976,5.57331810,3.88914834,3.29570482
-5.77188594,7.61256546,0.32758491,0.01561325,0.06927381,5.70178590,3.99631657,3.37022992
-5.76588294,7.77520197,0.33913144,0.01611785,0.07009504,5.81984120,4.09570509,3.43886817
-5.75987994,7.92629634,0.35106966,0.01664746,0.07116520,5.92608209,4.18644336,3.50070464
-5.75387694,8.06421836,0.36337852,0.01719843,0.07244053,6.01934224,4.26782544,3.55496969
-5.74787394,8.18765784,0.37604445,0.01776720,0.07387323,6.09872476,4.33933161,3.60106147
-5.74187094,8.29566004,0.38906095,0.01835044,0.07541307,6.16362742,4.40064399,3.63856287
-5.73586793,8.38764853,0.40242760,0.01894503,0.07700901,6.21375792,4.45165531,3.66725234
-5.72986493,8.46343381,0.41614857,0.01954820,0.07861088,6.24913845,4.49247002,3.68710791
-5.72386193,8.52320768,0.43023068,0.02015750,0.08017094,6.27009913,4.52339797,3.69830422
-5.71785893,8.56752326,0.44468097,0.02077080,0.08164530,6.27726077,4.54494029,3.70120273
-5.71185593,8.59726164,0.45950413,0.02138631,0.08299518,6.27150740,4.55776858,3.69633551
-5.70585293,8.61358685,0.47469963,0.02200245,0.08418789,6.25395012,4.56269786,3.68438338
-5.69984992,8.61789124,0.49025892,0.02261782,0.08519759,6.22588373,4.56065481,3.66614940
-5.69384692,8.61173394,0.50616281,0.02323112,0.08600572,6.18873824,4.55264265,3.64252893
-5.68784392,8.59677540,0.52237911,0.02384097,0.08660115,6.14402759,4.53970427,3.61447770
-5.68184092,8.57471115,0.53886075,0.02444590,0.08698002,6.09329777,4.52288536,3.58297931
-5.67583792,8.54720786,0.55554459,0.02504417,0.08714532,6.03807676,4.50319909,3.54901348
-5.66983492,8.51584453,0.57235080,0.02563371,0.08710625,5.97982836,4.48159395,3.51352662
-5.66383192,8.48206141,0.58918309,0.02621206,0.08687732,5.91991188,4.45892606,3.47740555
-5.65782891,8.44711860,0.60592974,0.02677629,0.08647735,5.85954893,4.43593687,3.44145563
-5.65182591,8.41206567,0.62246529,0.02732304,0.08592837,5.79979857,4.41323710,3.40638376
-5.64582291,8.37772305,0.63865304,0.02784847,0.08525446,5.74154119,4.39129717,3.37278663
-5.63981991,8.34467534,0.65434804,0.02834838,0.08448061,5.68547119,4.37044423,3.34114435
