energy_ev,total_up,Ge_p_up,Ge_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,7.80248814,1.38470733,0.00000000,2.67030355,3.36394821,0.06834351,2.49935624
-5.99399700,8.16499244,1.45445886,0.00000000,2.78756377,3.52354027,0.07226026,2.61021502
-5.98799400,8.51691881,1.52635060,0.00000000,2.90564195,3.67991544,0.07644720,2.71364921
-5.98199100,8.85286501,1.59939982,0.00000000,3.02288455,3.83072169,0.08084705,2.80795622
-5.97598799,9.16746413,1.67254936,0.00000000,3.13756254,3.97361118,0.08539298,2.89152415
-5.96998499,9.45554928,1.74469942,0.00000000,3.24792534,4.10631467,0.09001026,2.96288114
-5.96398199,9.71231927,1.81474192,0.00000000,3.35225764,4.22671649,0.09461828,3.02074278
-5.95797899,9.93349855,1.88159582,0.00000000,3.44893696,4.33292676,0.09913290,3.06405570
-5.95197599,10.11548459,1.94424226,0.00000000,3.53648941,4.42334794,0.10346887,3.09203538
-5.94597299,10.25547664,2.00175772,0.00000000,3.61364130,4.49673282,0.10754255,3.10419662
-5.93996998,10.35157986,2.05334410,0.00000000,3.67936434,4.55223125,0.11127444,3.10037530
-5.93396698,10.40288021,2.09835401,0.00000000,3.73291243,4.58942354,0.11459182,3.08074030
-5.92796398,10.40948646,2.13631043,0.00000000,3.77384811,4.60833878,0.11743099,3.04579506
-5.92196098,10.37253713,2.16691961,0.00000000,3.80205780,4.60945726,0.11973936,2.99636853
-5.91595798,10.29417173,2.19007675,0.00000000,3.81775468,4.59369662,0.12147706,2.93359572
-5.90995498,10.17746726,2.20586401,0.00000000,3.82146944,4.56238219,0.12261816,2.85888876
-5.90395198,10.02634250,2.21454109,0.00000000,3.81402917,4.51720277,0.12315128,2.77389936
-5.89794897,9.84543411,2.21652882,0.00000000,3.79652539,4.46015362,0.12307975,2.68047435
-5.89194597,9.63994968,2.21238640,0.00000000,3.77027304,4.39346915,0.12242118,2.58060600
-5.88594297,9.41550416,2.20278373,0.00000000,3.73676214,4.31954815,0.12120650,2.47637900
-5.87993997,9.17794632,2.18846985,0.00000000,3.69760482,4.24087470,0.11947859,2.36991622
-5.87393697,8.93318261,2.17023933,0.00000000,3.65447992,4.15993814,0.11729039,2.26332522
-5.86793397,8.68700547,2.14889813,0.00000000,3.60907814,4.07915543,0.11470280,2.15864738
-5.86193097,8.44493269,2.12523064,0.00000000,3.56304986,4.00079879,0.11178236,2.05781128
-5.85592796,8.21206386,2.09996936,0.00000000,3.51795814,3.92693164,0.10859876,1.96259180
-5.84992496,7.99295858,2.07376880,0.00000000,3.47523862,3.85935491,0.10522241,1.87457594
-5.84392196,7.79154019,2.04718446,0.00000000,3.43616766,3.79956548,0.10172213,1.79513607
-5.83791896,7.61102711,2.02065797,0.00000000,3.40183971,3.74872780,0.09816300,1.72541083
-5.83191596,7.45389281,1.99450862,0.00000000,3.37315391,3.70765916,0.09460458,1.66629390
-5.82591296,7.32185361,1.96893156,0.00000000,3.35080989,3.67682830,0.09109937,1.61842998
-5.81990995,7.21588279,1.94400228,0.00000000,3.33531179,3.65636660,0.08769176,1.58221767
-5.81390695,7.13624810,1.91968681,0.00000000,3.32697930,3.64609051,0.08441736,1.55781812
-5.80790395,7.08256903,1.89585688,0.00000000,3.32596430,3.64553354,0.08130273,1.54516891
-5.80190095,7.05388980,1.87230881,0.00000000,3.33227131,3.65398576,0.07836548,1.54400169
-5.79589795,7.04876343,1.84878503,0.00000000,3.34578004,3.67053864,0.07561479,1.55386291
