energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,9.16572305,1.17366833,4.43574260,0.02801029,0.50431167,0.07976458,2.80627771,1.96421774,0.90218948
-5.99399700,9.17845858,1.18107937,4.46082157,0.02763941,0.50195960,0.07808560,2.80269803,1.98076253,0.90140757
-5.98799400,9.20024808,1.18955529,4.49052846,0.02724361,0.50018149,0.07642889,2.80136797,1.99789561,0.90151711
-5.98199100,9.23134887,1.19912224,4.52486781,0.02682852,0.49899388,0.07481223,2.80240416,2.01560225,0.90252796
-5.97598799,9.27177804,1.20977670,4.56373243,0.02640020,0.49839721,0.07325108,2.80586068,2.03383779,0.90443186
-5.96998499,9.32130604,1.22148402,4.60689973,0.02596500,0.49837607,0.07175854,2.81172742,2.05252752,0.90720277
-5.96398199,9.37945030,1.23417672,4.65402804,0.02552933,0.49889939,0.07034522,2.81992804,2.07156583,0.91079695
-5.95797899,9.44546944,1.24775291,4.70465345,0.02509951,0.49992082,0.06901920,2.83031754,2.09081481,0.91515259
-5.95197599,9.51835949,1.26207492,4.75818772,0.02468155,0.50137925,0.06778598,2.84267988,2.11010237,0.92018934
-5.94597299,9.59685373,1.27696839,4.81391832,0.02428090,0.50319947,0.06664846,2.85672622,2.12922050,0.92580770
-5.93996998,9.67942801,1.29222219,4.87101138,0.02390227,0.50529316,0.06560702,2.87209431,2.14792379,0.93188870
-5.93396698,9.76431358,1.30758956,4.92851855,0.02354946,0.50756022,0.06465953,2.88834979,2.16592909,0.93829391
-5.92796398,9.84951917,1.32279048,4.98538865,0.02322520,0.50989043,0.06380151,2.90498997,2.18291638,0.94486619
-5.92196098,9.93286374,1.33751586,5.04048476,0.02293106,0.51216568,0.06302631,2.92145077,2.19853171,0.95143137
-5.91595798,10.01202069,1.35143337,5.09260700,0.02266742,0.51426260,0.06232531,2.93711696,2.21239213,0.95780090
-5.90995498,10.08457362,1.36419515,5.14052107,0.02243347,0.51605572,0.06168828,2.95133605,2.22409315,0.96377581
-5.90395198,10.14808283,1.37544716,5.18299207,0.02222724,0.51742102,0.06110372,2.96343562,2.23321850,0.96915169
-5.89794897,10.20016090,1.38484006,5.21882271,0.02204577,0.51823990,0.06055927,2.97274368,2.23935207,0.97372486
-5.89194597,10.23855478,1.39204116,5.24689460,0.02188524,0.51840327,0.06004224,2.97861134,2.24209171,0.97729931
-5.88594297,10.26123109,1.39674697,5.26621104,0.02174118,0.51781583,0.05954010,2.98043697,2.24106418,0.97969423
-5.87993997,10.26646072,1.39869593,5.27593926,0.02160868,0.51640016,0.05904097,2.97769056,2.23594066,0.98075175
-5.87393697,10.25289854,1.39768048,5.27545010,0.02148266,0.51410055,0.05853419,2.96993708,2.22645193,0.98034441
-5.86793397,10.21965387,1.39355804,5.26435295,0.02135808,0.51088630,0.05801081,2.95685765,2.21240237,0.97838196
-5.86193097,10.16634758,1.38626014,5.24252392,0.02123019,0.50675436,0.05746400,2.93826702,2.19368191,0.97481705
-5.85592796,10.09315229,1.37579921,5.21012549,0.02109474,0.50173113,0.05688943,2.91412647,2.17027516,0.96964939
-5.84992496,10.00081266,1.36227265,5.16761619,0.02094816,0.49587317,0.05628553,2.88455112,2.14226711,0.96292811
-5.84392196,9.89064405,1.34586373,5.11574926,0.02078768,0.48926701,0.05565365,2.84981111,2.10984483,0.95475201
-5.83791896,9.76450855,1.32683922,5.05556013,0.02061146,0.48202765,0.05499807,2.81032626,2.07329512,0.94526775
-5.83191596,9.62476894,1.30554385,4.98834249,0.02041861,0.47429612,0.05432592,2.76665455,2.03299791,0.93466578
-5.82591296,9.47422196,1.28239160,4.91561406,0.02020917,0.46623589,0.05364693,2.71947452,1.98941576,0.92317438
-5.81990995,9.31601364,1.25785427,4.83907306,0.01998413,0.45802844,0.05297306,2.66956273,1.94307997,0.91105192
-5.81390695,9.15354008,1.23244778,4.76054716,0.01974529,0.44986798,0.05231808,2.61776707,1.89457381,0.89857774
-5.80790395,8.99033816,1.20671672,4.68193709,0.01949515,0.44195572,0.05169698,2.56497730,1.84451384,0.88604214
-5.80190095,8.82997068,1.18121787,4.60515713,0.01923680,0.43449370,0.05112538,2.51209427,1.79353014,0.87373585
-5.79589795,8.67591088,1.15650334,4.53207496,0.01897373,0.42767857,0.05061886,2.45999908,1.74224638,0.86193955
-5.78989495,8.53143129,1.13310397,4.46445330,0.01870967,0.42169550,0.05019230,2.40952374,1.69126072,0.85091394
-5.78389195,8.39950125,1.11151382,4.40389570,0.01844844,0.41671242,0.04985926,2.36142461,1.64112838,0.84089071
-5.77788894,8.28269709,1.09217606,4.35179841,0.01819376,0.41287487,0.04963137,2.31635944,1.59234646,0.83206482
-5.77188594,8.18312815,1.07547098,4.30931017,0.01794914,0.41030159,0.04951780,2.27486925,1.54534184,0.82458842
-5.76588294,8.10238112,1.06170651,4.27730119,0.01771774,0.40908106,0.04952488,2.23736518,1.50046226,0.81856650
-5.75987994,8.04148403,1.05111125,4.25634227,0.01750225,0.40926896,0.04965575,2.20412096,1.45797097,0.81405445
-5.75387694,8.00089058,1.04383053,4.24669447,0.01730484,0.41088688,0.04991018,2.17527076,1.41804489,0.81105745
-5.74787394,7.98048450,1.03992528,4.24830940,0.01712711,0.41392200,0.05028452,2.15081217,1.38077613,0.80953170
-5.74187094,7.97960289,1.03937359,4.26083983,0.01697003,0.41832801,0.05077174,2.13061408,1.34617646,0.80938718
-5.73586793,7.99707693,1.04207504,4.28365973,0.01683400,0.42402705,0.05136166,2.11442846,1.31418449,0.81049188
-5.72986493,8.03128755,1.04785724,4.31589293,0.01671880,0.43091266,0.05204122,2.10190561,1.28467490,0.81267720
-5.72386193,8.08023378,1.05648441,4.35644903,0.01662367,0.43885362,0.05279490,2.09261183,1.25746920,0.81574419
-5.71785893,8.14161064,1.06766764,4.40406516,0.01654739,0.44769858,0.05360519,2.08604882,1.23234749,0.81947045
-5.71185593,8.21289381,1.08107629,4.45735204,0.01648829,0.45728124,0.05445317,2.08167388,1.20906068,0.82361740
-5.70585293,8.29142804,1.09635033,4.51484275,0.01644439,0.46742605,0.05531907,2.07892024,1.18734255,0.82793767
-5.69984992,8.37451646,1.11311293,4.57504263,0.01641346,0.47795411,0.05618289,2.07721679,1.16692144,0.83218241
-5.69384692,8.45950800,1.13098314,4.63647863,0.01639311,0.48868917,0.05702504,2.07600667,1.14753098,0.83610834
-5.68784392,8.54388050,1.14958812,4.69774670,0.01638089,0.49946354,0.05782691,2.07476420,1.12891967,0.83948445
-5.68184092,8.62531708,1.16857464,4.75755577,0.01637439,0.51012365,0.05857143,2.07300982,1.11085917,0.84209802
-5.67583792,8.70177391,1.18761945,4.81476703,0.01637132,0.52053520,0.05924360,2.07032272,1.09315098,0.84376015
-5.66983492,8.77153757,1.20643836,4.86842749,0.01636958,0.53058758,0.05983090,2.06635100,1.07563170,0.84431044
-5.66383192,8.83327051,1.22479365,4.91779666,0.01636738,0.54019757,0.06032365,2.06081924,1.05817657,0.84362084
-5.65782891,8.88604375,1.24249981,4.96236594,0.01636326,0.54931205,0.06071529,2.05353333,1.04070157,0.84159871
-5.65182591,8.92935573,1.25942724,5.00186980,0.01635617,0.55790967,0.06100252,2.04438277,1.02316399,0.83818880
-5.64582291,8.96313717,1.27550406,5.03628884,0.01634551,0.56600146,0.06118539,2.03334017,1.00556158,0.83337428
-5.63981991,8.98774174,1.29071590,5.06584440,0.01633116,0.57363018,0.06126724,2.02045841,0.98793046,0.82717678
-5.63381691,9.00392292,1.30510373,5.09098501,0.01631351,0.58086859,0.06125458,2.00586525,0.97034180,0.81965524
-5.62781391,9.01279779,1.31875979,5.11236520,0.01629341,0.58781657,0.06115682,1.98975583,0.95289751,0.81090385
-5.62181091,9.01579894,1.33182186,5.13081724,0.01627220,0.59459721,0.06098597,1.97238319,0.93572497,0.80104887
-5.61580790,9.01461592,1.34446597,5.14731687,0.01625166,0.60135193,0.06075623,1.95404708,0.91897110,0.79024453
-5.60980490,9.01112821,1.35689783,5.16294416,0.01623394,0.60823488,0.06048348,1.93508147,0.90279573,0.77866809
-5.60380190,9.00733196,1.36934336,5.17884076,0.01622150,0.61540677,0.06018478,1.91584111,0.88736470,0.76651416
-5.59779890,9.00526289,1.38203845,5.19616516,0.01621700,0.62302832,0.05987782,1.89668758,0.87284266,0.75398852
-5.59179590,9.00691826,1.39521849,5.21604757,0.01622322,0.63125359,0.05958030,1.87797531,0.85938600,0.74130151
-5.58579290,9.01418052,1.40910786,5.23954601,0.01624294,0.64022350,0.05930940,1.86003806,0.84713591,0.72866144
-5.57978989,9.02874560,1.42390984,5.26760528,0.01627878,0.65005966,0.05908122,1.84317641,0.83621203,0.71626795
-5.57378689,9.05205851,1.43979726,5.30102047,0.01633314,0.66085887,0.05891026,1.82764656,0.82670675,0.70430590
-5.56778389,9.08525876,1.45690422,5.34040633,0.01640802,0.67268843,0.05880905,1.81365116,0.81868052,0.69293973
-5.56178089,9.12913777,1.47531909,5.38617383,0.01650492,0.68558251,0.05878772,1.80133224,0.81215825,0.68230867
-5.55577789,9.18410995,1.49507923,5.43851477,0.01662472,0.69953962,0.05885382,1.79076677,0.80712707,0.67252296
-5.54977489,9.25019868,1.51616743,5.49739519,0.01676764,0.71452147,0.05901212,1.78196485,0.80353552,0.66366111
-5.54377189,9.32703778,1.53851036,5.56255785,0.01693313,0.73045301,0.05926457,1.77487080,0.80129429,0.65576849
-5.53776888,9.41388832,1.56197907,5.63353357,0.01711986,0.74722395,0.05961038,1.76936687,0.80027850,0.64885708
-5.53176588,9.50967023,1.58639149,5.70966118,0.01732571,0.76469145,0.06004619,1.76527959,0.80033138,0.64290653
-5.52576288,9.61300717,1.61151698,5.79011509,0.01754781,0.78268407,0.06056630,1.76238842,0.80126948,0.63786631
-5.51975988,9.72228296,1.63708278,5.87393930,0.01778262,0.80100666,0.06116300,1.76043618,0.80288884,0.63365906
-5.51375688,9.83570688,1.66278206,5.96008653,0.01802601,0.81944619,0.06182700,1.75914097,0.80497228,0.63018469
-5.50775388,9.95138524,1.68828342,6.04746049,0.01827341,0.83777814,0.06254782,1.75820897,0.80729719,0.62732526
