energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.91943567,0.03269116,0.00000000,0.06347312,1.05060759,0.69590399,0.45988320
-5.99399700,1.81668706,0.03142561,0.00000000,0.06120799,0.98686990,0.65237556,0.43585440
-5.98799400,1.72552914,0.03041060,0.00000000,0.05923457,0.92921048,0.61234486,0.41444977
-5.98199100,1.64709380,0.02968959,0.00000000,0.05762244,0.87810478,0.57630664,0.39595260
-5.97598799,1.58253271,0.02930740,0.00000000,0.05643938,0.83403977,0.54476269,0.38064675
-5.96998499,1.53297471,0.02930919,0.00000000,0.05574957,0.79749202,0.51820622,0.36880541
-5.96398199,1.49948165,0.02973925,0.00000000,0.05561165,0.76890536,0.49710614,0.36067987
-5.95797899,1.48300421,0.03063983,0.00000000,0.05607700,0.74866882,0.48189177,0.35648831
-5.95197599,1.48433876,0.03204976,0.00000000,0.05718800,0.73709576,0.47293841,0.35640515
-5.94597299,1.50408658,0.03400316,0.00000000,0.05897639,0.73440469,0.47055397,0.36055125
-5.93996998,1.54261616,0.03652801,0.00000000,0.06146186,0.74070231,0.47496707,0.36898509
-5.93396698,1.60002968,0.03964482,0.00000000,0.06465081,0.75596918,0.48631671,0.38169533
-5.92796398,1.67613439,0.04336525,0.00000000,0.06853531,0.78004842,0.50464371,0.39859486
-5.92196098,1.77041987,0.04769083,0.00000000,0.07309239,0.81263768,0.52988404,0.41951668
-5.91595798,1.88204197,0.05261184,0.00000000,0.07828362,0.85328467,0.56186423,0.44421165
-5.90995498,2.00981435,0.05810629,0.00000000,0.08405507,0.90138659,0.60029885,0.47234841
-5.90395198,2.15220831,0.06413921,0.00000000,0.09033765,0.95619344,0.64479034,0.50351563
-5.89794897,2.30736184,0.07066216,0.00000000,0.09704787,1.01681556,0.69483123,0.53722657
-5.89194597,2.47309828,0.07761314,0.00000000,0.10408909,1.08223534,0.74980876,0.57292616
-5.88594297,2.64695494,0.08491684,0.00000000,0.11135316,1.15132300,0.80901208,0.61000049
-5.87993997,2.82622173,0.09248537,0.00000000,0.11872248,1.22285647,0.87164195,0.64778852
-5.87393697,3.00798940,0.10021943,0.00000000,0.12607256,1.29554469,0.93682280,0.68559592
-5.86793397,3.18920646,0.10800994,0.00000000,0.13327473,1.36805424,1.00361717,0.72271070
-5.86193097,3.36674371,0.11574010,0.00000000,0.14019932,1.43903825,1.07104207,0.75842002
-5.85592796,3.53746444,0.12328789,0.00000000,0.14671881,1.50716705,1.13808709,0.79202792
-5.84992496,3.69829837,0.13052890,0.00000000,0.15271116,1.57115945,1.20373376,0.82287318
-5.84392196,3.84631687,0.13733942,0.00000000,0.15806299,1.62981375,1.26697568,0.85034672
-5.83791896,3.97880672,0.14359971,0.00000000,0.16267263,1.68203727,1.32683892,0.87390790
-5.83191596,4.09333993,0.14919727,0.00000000,0.16645281,1.72687349,1.38240213,0.89309912
-5.82591296,4.18783687,0.15403011,0.00000000,0.16933298,1.76352569,1.43281576,0.90755802
-5.81990995,4.26062029,0.15800976,0.00000000,0.17126102,1.79137636,1.47731994,0.91702697
-5.81390695,4.31045827,0.16106392,0.00000000,0.17220455,1.81000158,1.51526050,0.92135930
-5.80790395,4.33659445,0.16313874,0.00000000,0.17215139,1.81918007,1.54610274,0.92052218
-5.80190095,4.33876451,0.16420051,0.00000000,0.17110961,1.81889646,1.56944262,0.91459608
-5.79589795,4.31719846,0.16423670,0.00000000,0.16910683,1.80933904,1.58501525,0.90377075
-5.78989495,4.27260888,0.16325643,0.00000000,0.16618896,1.79089208,1.59270038,0.88833815
