energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.06555083,0.00266511,0.00361220,0.00202026,0.00679355,0.00234198,0.03571194
-5.99399700,0.05424633,0.00220803,0.00298558,0.00167578,0.00562014,0.00193826,0.02955881
-5.98799400,0.04458237,0.00181672,0.00245056,0.00138013,0.00461905,0.00159400,0.02429552
-5.98199100,0.03639349,0.00148440,0.00199788,0.00112856,0.00377330,0.00130336,0.01983173
-5.97598799,0.02951712,0.00120443,0.00161842,0.00091635,0.00306630,0.00106069,0.01607856
-5.96998499,0.02379753,0.00097046,0.00130348,0.00073887,0.00248240,0.00086072,0.01295058
-5.96398199,0.01908897,0.00077647,0.00104495,0.00059172,0.00200720,0.00069869,0.01036742
-5.95797899,0.01525806,0.00061691,0.00083546,0.00047082,0.00162792,0.00057050,0.00825499
-5.95197599,0.01218552,0.00048672,0.00066851,0.00037240,0.00133365,0.00047279,0.00654623
-5.94597299,0.00976736,0.00038134,0.00053850,0.00029311,0.00111557,0.00040309,0.00518163
-5.93996998,0.00791565,0.00029671,0.00044084,0.00022997,0.00096718,0.00035990,0.00410942
-5.93396698,0.00655891,0.00022932,0.00037200,0.00018040,0.00088442,0.00034285,0.00328559
-5.92796398,0.00564235,0.00017608,0.00032951,0.00014223,0.00086594,0.00035283,0.00267372
-5.92196098,0.00512803,0.00013440,0.00031205,0.00011365,0.00091327,0.00039217,0.00224471
-5.91595798,0.00499494,0.00010208,0.00031949,0.00009322,0.00103107,0.00046481,0.00197651
-5.90995498,0.00523918,0.00007727,0.00035297,0.00007984,0.00122739,0.00057658,0.00185372
-5.90395198,0.00587426,0.00005849,0.00041495,0.00007272,0.00151400,0.00073542,0.00186731
-5.89794897,0.00693148,0.00004450,0.00050938,0.00007138,0.00190674,0.00095173,0.00201426
-5.89194597,0.00846047,0.00003434,0.00064174,0.00007564,0.00242586,0.00123868,0.00229732
-5.88594297,0.01052978,0.00002726,0.00081924,0.00008556,0.00309645,0.00161258,0.00272471
-5.87993997,0.01322759,0.00002268,0.00105094,0.00010151,0.00394882,0.00209328,0.00330990
-5.87393697,0.01666231,0.00002019,0.00134787,0.00012408,0.00501885,0.00270448,0.00407139
-5.86793397,0.02096309,0.00001951,0.00172321,0.00015415,0.00634833,0.00347416,0.00503245
-5.86193097,0.02628006,0.00002045,0.00219236,0.00019282,0.00798516,0.00443482,0.00622084
-5.85592796,0.03278420,0.00002297,0.00277303,0.00024146,0.00998346,0.00562372,0.00766847
-5.84992496,0.04066669,0.00002706,0.00348527,0.00030168,0.01240346,0.00708301,0.00941094
-5.84392196,0.05013755,0.00003282,0.00435139,0.00037530,0.01531128,0.00885962,0.01148696
-5.83791896,0.06142353,0.00004040,0.00539582,0.00046437,0.01877833,0.01100510,0.01393769
-5.83191596,0.07476497,0.00005002,0.00664484,0.00057114,0.02288051,0.01357508,0.01680581
-5.82591296,0.09041173,0.00006195,0.00812618,0.00069802,0.02769710,0.01662856,0.02013449
-5.81990995,0.10861794,0.00007652,0.00986853,0.00084752,0.03330922,0.02022689,0.02396619
-5.81390695,0.12963569,0.00009409,0.01190078,0.00102224,0.03979807,0.02443239,0.02834126
-5.80790395,0.15370764,0.00011507,0.01425122,0.00122480,0.04724278,0.02930675,0.03329642
-5.80190095,0.18105875,0.00013991,0.01694655,0.00145773,0.05571798,0.03490900,0.03886314
-5.79589795,0.21188716,0.00016907,0.02001076,0.00172344,0.06529117,0.04129330,0.04506592
-5.78989495,0.24635474,0.00020306,0.02346390,0.00202411,0.07601992,0.04850647,0.05192065
-5.78389195,0.28457738,0.00024237,0.02732079,0.00236158,0.08794897,0.05658535,0.05943300
-5.77788894,0.32661563,0.00028752,0.03158971,0.00273729,0.10110754,0.06555414,0.06759693
-5.77188594,0.37246608,0.00033903,0.03627114,0.00315220,0.11550665,0.07542181,0.07639356
-5.76588294,0.42205396,0.00039737,0.04135658,0.00360668,0.13113696,0.08617961,0.08579020
-5.75987994,0.47522734,0.00046303,0.04682755,0.00410045,0.14796697,0.09779902,0.09573990
-5.75387694,0.53175367,0.00053643,0.05265488,0.00463257,0.16594192,0.11023009,0.10618142
-5.74787394,0.59131874,0.00061797,0.05879821,0.00520139,0.18498333,0.12340042,0.11703972
-5.74187094,0.65352856,0.00070800,0.06520600,0.00580457,0.20498945,0.13721485,0.12822693
-5.73586793,0.71791430,0.00080679,0.07181580,0.00643912,0.22583650,0.15155599,0.13964398
-5.72986493,0.78394026,0.00091456,0.07855516,0.00710148,0.24738078,0.16628559,0.15118260
-5.72386193,0.85101484,0.00103146,0.08534281,0.00778760,0.26946160,0.18124686,0.16272788
-5.71785893,0.91850418,0.00115757,0.09209043,0.00849312,0.29190499,0.19626762,0.17416116
-5.71185593,0.98574785,0.00129287,0.09870480,0.00921349,0.31452785,0.21116429,0.18536312
-5.70585293,1.05207625,0.00143729,0.10509022,0.00994421,0.33714259,0.22574650,0.19621712
-5.69984992,1.11682875,0.00159068,0.11115132,0.01068096,0.35956193,0.23982226,0.20661241
-5.69384692,1.17937175,0.00175281,0.11679593,0.01141989,0.38160358,0.25320337,0.21644719
-5.68784392,1.23911602,0.00192337,0.12193803,0.01215776,0.40309465,0.26571097,0.22563137
-5.68184092,1.29553225,0.00210202,0.12650061,0.01289216,0.42387555,0.27718080,0.23408888
-5.67583792,1.34816419,0.00228832,0.13041824,0.01362170,0.44380309,0.28746814,0.24175940
-5.66983492,1.39663883,0.00248183,0.13363943,0.01434612,0.46275285,0.29645203,0.24859944
-5.66383192,1.44067304,0.00268203,0.13612837,0.01506642,0.48062051,0.30403863,0.25458278
-5.65782891,1.48007673,0.00288844,0.13786627,0.01578493,0.49732224,0.31016365,0.25970017
-5.65182591,1.51475227,0.00310058,0.13885197,0.01650534,0.51279433,0.31479363,0.26395845
-5.64582291,1.54469069,0.00331804,0.13910203,0.01723266,0.52699192,0.31792613,0.26737907
-5.63981991,1.56996511,0.00354050,0.13865009,0.01797321,0.53988733,0.31958878,0.26999624
-5.63381691,1.59072193,0.00376783,0.13754568,0.01873447,0.55146796,0.31983742,0.27185470
-5.62781391,1.60717078,0.00400015,0.13585250,0.01952500,0.56173432,0.31875329,0.27300745
-5.62181091,1.61957390,0.00423788,0.13364623,0.02035427,0.57069809,0.31643967,0.27351346
-5.61580790,1.62823594,0.00448191,0.13101202,0.02123246,0.57838080,0.31301792,0.27343560
-5.60980490,1.63349472,0.00473361,0.12804178,0.02217030,0.58481311,0.30862347,0.27283885
-5.60380190,1.63571375,0.00499503,0.12483137,0.02317885,0.59003480,0.30340165,0.27178895
-5.59779890,1.63527668,0.00526896,0.12147780,0.02426925,0.59409565,0.29750377,0.27035153
-5.59179590,1.63258391,0.00555905,0.11807664,0.02545252,0.59705694,0.29108358,0.26859174
-5.58579290,1.62805109,0.00586989,0.11471959,0.02673929,0.59899360,0.28429410,0.26657424
-5.57978989,1.62210922,0.00620709,0.11149241,0.02813953,0.59999654,0.27728505,0.26436365
-5.57378689,1.61520564,0.00657727,0.10847317,0.02966223,0.60017508,0.27020071,0.26202519
-5.56778389,1.60780512,0.00698809,0.10573090,0.03131515,0.59965886,0.26317840,0.25962539
-5.56178089,1.60039014,0.00744817,0.10332454,0.03310438,0.59859904,0.25634718,0.25723280
-5.55577789,1.59345956,0.00796694,0.10130236,0.03503405,0.59716831,0.24982701,0.25491833
-5.54977489,1.58752476,0.00855446,0.09970149,0.03710588,0.59555945,0.24372798,0.25275535
-5.54377189,1.58310263,0.00922112,0.09854794,0.03931880,0.59398221,0.23814958,0.25081908
-5.53776888,1.58070513,0.00997734,0.09785660,0.04166852,0.59265831,0.23317993,0.24918555
-5.53176588,1.58082519,0.01083311,0.09763156,0.04414715,0.59181481,0.22889483,0.24792982
-5.52576288,1.58391931,0.01179758,0.09786644,0.04674286,0.59167570,0.22535663,0.24712358
-5.51975988,1.59038749,0.01287848,0.09854482,0.04943961,0.59245228,0.22261286,0.24683225
-5.51375688,1.60055127,0.01408161,0.09964080,0.05221697,0.59433267,0.22069473,0.24711166
-5.50775388,1.61463134,0.01541031,0.10111949,0.05505006,0.59747093,0.21961555,0.24800455
-5.50175088,1.63272594,0.01686490,0.10293771,0.05790971,0.60197656,0.21936922,0.24953700
-5.49574787,1.65479166,0.01844225,0.10504463,0.06076276,0.60790486,0.21992891,0.25171516
-5.48974487,1.68062825,0.02013532,0.10738272,0.06357255,0.61524898,0.22124609,0.25452249
-5.48374187,1.70986870,0.02193297,0.10988865,0.06629966,0.62393415,0.22325022,0.25791772
-5.47773887,1.74197601,0.02381971,0.11249454,0.06890284,0.63381455,0.22584895,0.26183368
-5.47173587,1.77624734,0.02577578,0.11512931,0.07134014,0.64467337,0.22892930,0.26617739
-5.46573287,1.81182626,0.02777728,0.11772034,0.07357023,0.65622611,0.23235964,0.27083121
