energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.65782891,2.53860118,0.20614492,0.01867760,0.12753261,0.02131939,1.47069295,0.52523991,0.57691129
-5.65182591,2.51724001,0.19670814,0.01970804,0.13084084,0.02116583,1.46049093,0.53373268,0.56538900
-5.64582291,2.48728117,0.18690097,0.02073050,0.13398613,0.02095338,1.44545166,0.54105084,0.55138834
-5.63981991,2.44916142,0.17687250,0.02172985,0.13691264,0.02068427,1.42579396,0.54704391,0.53513099
-5.63381691,2.40336919,0.16676177,0.02268989,0.13956041,0.02036090,1.40176226,0.55156384,0.51686365
-5.62781391,2.35043305,0.15669456,0.02359374,0.14186706,0.01998579,1.37362082,0.55446855,0.49685214
-5.62181091,2.29091247,0.14678117,0.02442424,0.14376991,0.01956153,1.34164942,0.55562637,0.47537544
-5.61580790,2.22539124,0.13711502,0.02516444,0.14520835,0.01909082,1.30614071,0.55492114,0.45271996
-5.60980490,2.15447335,0.12777213,0.02579813,0.14612652,0.01857649,1.26739911,0.55225779,0.42917415
-5.60380190,2.07878113,0.11881143,0.02631033,0.14647601,0.01802158,1.22574101,0.54756811,0.40502353
-5.59779890,1.99895525,0.11027570,0.02668787,0.14621846,0.01742941,1.18149603,0.54081629,0.38054633
-5.59179590,1.91565589,0.10219317,0.02691981,0.14532803,0.01680366,1.13500891,0.53200403,0.35600977
-5.58579290,1.82956472,0.09457950,0.02699795,0.14379349,0.01614848,1.08664174,0.52117487,0.33166696
-5.57978989,1.74138681,0.08744001,0.02691710,0.14161981,0.01546851,1.03677594,0.50841730,0.30775454
-5.57378689,1.65185201,0.08077205,0.02667538,0.13882930,0.01476899,0.98581382,0.49386673,0.28449093
-5.56778389,1.56171524,0.07456734,0.02627436,0.13546201,0.01405577,0.93417918,0.47770585,0.26207527
-5.56178089,1.47175523,0.06881415,0.02571904,0.13157558,0.01333528,0.88231687,0.46016344,0.24068679
-5.55577789,1.38277146,0.06349925,0.02501778,0.12724443,0.01261457,0.83069099,0.44151166,0.22048479
-5.54977489,1.29557908,0.05860950,0.02418206,0.12255827,0.01190116,0.77978177,0.42206172,0.20160885
-5.54377189,1.21100187,0.05413308,0.02322615,0.11762014,0.01120303,0.73008098,0.40215823,0.18417940
-5.53776888,1.12986317,0.05006036,0.02216668,0.11254389,0.01052842,0.68208619,0.38217235,0.16829845
-5.53176588,1.05297522,0.04638430,0.02102213,0.10745137,0.00988576,0.63629381,0.36249391,0.15405030
-5.52576288,0.98112699,0.04310057,0.01981232,0.10246925,0.00928344,0.59319123,0.34352288,0.14150237
-5.51975988,0.91507101,0.04020730,0.01855780,0.09772578,0.00872968,0.55324835,0.32566038,0.13070574
-5.51375688,0.85550950,0.03770448,0.01727930,0.09334740,0.00823230,0.51690868,0.30929941,0.12169568
-5.50775388,0.80308026,0.03559331,0.01599717,0.08945550,0.00779858,0.48458038,0.29481582,0.11449188
-5.50175088,0.75834277,0.03387522,0.01473088,0.08616321,0.00743505,0.45662741,0.28255939,0.10909845
-5.49574787,0.72176480,0.03255091,0.01349855,0.08357254,0.00714732,0.43336113,0.27284544,0.10550370
-5.48974487,0.69371007,0.03161934,0.01231661,0.08177168,0.00693994,0.41503260,0.26594720,0.10367974
-5.48374187,0.67442720,0.03107678,0.01119947,0.08083276,0.00681625,0.40182565,0.26208879,0.10358196
-5.47773887,0.66404040,0.03091589,0.01015935,0.08080989,0.00677830,0.39385116,0.26143927,0.10514834
-5.47173587,0.66254219,0.03112499,0.00920609,0.08173774,0.00682672,0.39114246,0.26410762,0.10829895
