energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,7.50591577,-1.95830167,0.04503269,-0.01879092,1.17054056,-0.14677377,2.15068157,-0.31603757,1.47470898,-0.16980569,0.22221030,-0.04489366,2.10995431,-0.91529597,0.81415716,-0.40933183,0.42812220,-0.10594833
-5.99399700,7.53730530,-2.15247485,0.04481861,-0.02039227,1.17857318,-0.16895942,2.20375846,-0.35818348,1.47993934,-0.19041900,0.21942159,-0.05023475,2.12386855,-1.00149783,0.82726621,-0.45171465,0.42518284,-0.11125620
-5.98799400,7.54697771,-2.36567102,0.04457182,-0.02205595,1.18393027,-0.19404319,2.25144931,-0.40510200,1.48317402,-0.21317458,0.21566691,-0.05607257,2.13101210,-1.09384596,0.83829156,-0.49571768,0.42054545,-0.11800502
-5.98199100,7.53633288,-2.59628535,0.04432673,-0.02375808,1.18691432,-0.22211178,2.29351599,-0.45687136,1.48503460,-0.23800989,0.21103278,-0.06238630,2.13155507,-1.19135186,0.84717261,-0.54089588,0.41430523,-0.12605855
-5.97598799,7.50710669,-2.84245347,0.04411815,-0.02547362,1.18786854,-0.25322053,2.32980363,-0.51352764,1.48618577,-0.26483222,0.20562097,-0.06914733,2.12577398,-1.29291497,0.85387792,-0.58675351,0.40658157,-0.13527418
-5.96998499,7.46131721,-3.10206307,0.04398021,-0.02717685,1.18716453,-0.28738808,2.36024506,-0.57505947,1.48731124,-0.29351726,0.19954561,-0.07631876,2.11404659,-1.39733700,0.85840799,-0.63275308,0.39751420,-0.14550381
-5.96398199,7.40120528,-3.37277149,0.04394532,-0.02884208,1.18518914,-0.32459150,2.38486336,-0.64140298,1.48908860,-0.32390821,0.19293002,-0.08385521,2.09684498,-1.50333965,0.86079760,-0.67832632,0.38725904,-0.15659472
-5.95797899,7.32917113,-3.65202987,0.04404313,-0.03044419,1.18233107,-0.36476207,2.40377197,-0.71243729,1.49216406,-0.35581584,0.18590346,-0.09170270,2.07472674,-1.60958539,0.86111738,-0.72288677,0.37598410,-0.16839029
-5.95197599,7.24770838,-3.93711391,0.04429961,-0.03195932,1.17896763,-0.40778206,2.41717207,-0.78798061,1.49712810,-0.38901952,0.17859768,-0.09979886,2.04832419,-1.71470103,0.85947445,-0.76584358,0.36386519,-0.18073090
-5.94597299,7.15933717,-4.22516115,0.04473623,-0.03336549,1.17545198,-0.45348266,2.42534704,-0.86778720,1.50449280,-0.42326931,0.17114363,-0.10807336,2.01833164,-1.81730349,0.85601179,-0.80661617,0.35108184,-0.19345486
-5.93996998,7.06653767,-4.51321408,0.04536923,-0.03464322,1.17210148,-0.50164331,2.42865370,-0.95154520,1.51467190,-0.45828910,0.16366831,-0.11644862,1.98549058,-1.91602698,0.85090627,-0.84464894,0.33781333,-0.20639950
-5.93396698,6.97168581,-4.79826818,0.04620910,-0.03577603,1.16918731,-0.55199245,2.42751070,-1.03887542,1.52796423,-0.49378086,0.15629177,-0.12484089,1.95057311,-2.00955092,0.84436514,-0.87942577,0.32423500,-0.21940251
-5.92796398,6.87699248,-5.07732366,0.04726022,-0.03675092,1.16692585,-0.60420981,2.42238390,-1.12933127,1.54454116,-0.52942986,0.14912453,-0.13316150,1.91436372,-2.09662754,0.83662101,-0.91048341,0.31051487,-0.23230344
-5.92196098,6.78444787,-5.34743917,0.04852068,-0.03755867,1.16547202,-0.65793015,2.41376963,-1.22239968,1.56443857,-0.56491067,0.14226532,-0.14131849,1.87763990,-2.17610829,0.82792538,-0.93742343,0.29681058,-0.24494540
-5.91595798,6.69577242,-5.60578595,0.04998224,-0.03819410,1.16491479,-0.71274850,2.40217612,-1.31750322,1.58755361,-0.59989383,0.13579924,-0.14921841,1.84115196,-2.24696814,0.81854096,-0.95992212,0.28326684,-0.25717691
-5.90995498,6.61237564,-5.84970036,0.05163055,-0.03865616,1.16527508,-0.76822650,2.38810413,-1.41400316,1.61364637,-0.63405292,0.12979639,-0.15676839,1.80560281,-2.30832681,0.80873294,-0.97773789,0.27001321,-0.26885386
