energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.96018133,0.00974758,0.43042506,0.59834009,0.53210529,1.74090209,0.79210434,0.01706985,1.14021889
-5.99399700,3.01904251,0.01004781,0.43553375,0.61567687,0.54707650,1.78767286,0.80325180,0.01640031,1.16661666
-5.98799400,3.08153976,0.01031605,0.44183053,0.63290091,0.56148823,1.83708907,0.81635949,0.01584278,1.19308733
-5.98199100,3.14594149,0.01054400,0.44906556,0.64968863,0.57502696,1.88788566,0.83099525,0.01538765,1.21899429
-5.97598799,3.21045450,0.01072431,0.45697350,0.66571638,0.58738819,1.93876071,0.84669262,0.01502342,1.24369666
-5.96998499,3.27326819,0.01085077,0.46527886,0.68066796,0.59828558,1.98840480,0.86296104,0.01473729,1.26656665
-5.96398199,3.33259716,0.01091853,0.47370141,0.69424165,0.60745919,2.03553030,0.87929612,0.01451553,1.28700558
-5.95797899,3.38672141,0.01092421,0.48196153,0.70615662,0.61468246,2.07889984,0.89518989,0.01434404,1.30445839
-5.95197599,3.43402372,0.01086602,0.48978559,0.71615862,0.61976776,2.11735376,0.91014097,0.01420872,1.31842624
-5.94597299,3.47302361,0.01074375,0.49691127,0.72402494,0.62257045,2.14983599,0.92366458,0.01409595,1.32847709
-5.93996998,3.50240780,0.01055880,0.50309289,0.72956859,0.62299138,2.17541801,0.93530246,0.01399284,1.33425419
-5.93396698,3.52105699,0.01031402,0.50810665,0.73264179,0.62097794,2.19332042,0.94463245,0.01388766,1.33548250
-5.92796398,3.52806879,0.01001367,0.51175577,0.73313874,0.61652376,2.20293182,0.95127780,0.01377001,1.33197317
-5.92196098,3.52277682,0.00966319,0.51387538,0.73099771,0.60966721,2.20382443,0.95491606,0.01363103,1.32362623
-5.91595798,3.50476585,0.00926901,0.51433710,0.72620260,0.60048904,2.19576635,0.95528720,0.01346361,1.31043159
-5.90995498,3.47388274,0.00883832,0.51305314,0.71878380,0.58910911,2.17872973,0.95220097,0.01326239,1.29246857
-5.90395198,3.43024300,0.00837888,0.50997975,0.70881849,0.57568279,2.15289481,0.94554305,0.01302386,1.26990408
-5.89794897,3.37423279,0.00789869,0.50511984,0.69643033,0.56039684,2.11864942,0.93527993,0.01274630,1.24298956
-5.89194597,3.30650576,0.00740585,0.49852466,0.68178846,0.54346522,2.07658379,0.92146194,0.01242977,1.21205669
-5.88594297,3.22797482,0.00690826,0.49029427,0.66510575,0.52512479,2.02748047,0.90422457,0.01207595,1.17751196
-5.87993997,3.13979818,0.00641351,0.48057679,0.64663622,0.50563102,1.97229952,0.88378745,0.01168799,1.13983013
-5.87393697,3.04335967,0.00592866,0.46956624,0.62667165,0.48525377,1.91215891,0.86045124,0.01127037,1.09954645
-5.86793397,2.94024335,0.00546010,0.45749894,0.60553722,0.46427312,1.84831059,0.83459199,0.01082868,1.05724771
-5.86193097,2.83220241,0.00501351,0.44464855,0.58358613,0.44297526,1.78211242,0.80665331,0.01036935,1.01356216
-5.85592796,2.72112271,0.00459374,0.43131965,0.56119334,0.42164839,1.71499678,0.77713628,0.00989945,0.96914825
-5.84992496,2.60898178,0.00420478,0.41784021,0.53874839,0.40057867,1.64843625,0.74658733,0.00942642,0.92468232
-5.84392196,2.49780380,0.00384977,0.40455290,0.51664732,0.38004607,1.58390738,0.71558450,0.00895783,0.88084550
-5.83791896,2.38961187,0.00353103,0.39180564,0.49528410,0.36032031,1.52285341,0.68472248,0.00850110,0.83830984
-5.83191596,2.28637872,0.00325005,0.37994165,0.47504140,0.34165672,1.46664686,0.65459677,0.00806335,0.79772417
-5.82591296,2.18997734,0.00300759,0.36928919,0.45628132,0.32429227,1.41655310,0.62578769,0.00765114,0.75969991
-5.81990995,2.10213304,0.00280369,0.36015158,0.43933611,0.30844169,1.37369591,0.59884456,0.00727030,0.72479721
-5.81390695,2.02437853,0.00263781,0.35279755,0.42449929,0.29429387,1.33902611,0.57427090,0.00692583,0.69351204
-5.80790395,1.95801363,0.00250884,0.34745254,0.41201745,0.28200869,1.31329425,0.55251079,0.00662173,0.66626437
-5.80190095,1.90407097,0.00241521,0.34429109,0.40208314,0.27171427,1.29702822,0.53393728,0.00636102,0.64338817
-5.79589795,1.86328906,0.00235495,0.34343078,0.39482898,0.26350499,1.29051669,0.51884295,0.00614565,0.62512345
-5.78989495,1.83609385,0.00232578,0.34492776,0.39032344,0.25744016,1.29379895,0.50743309,0.00597655,0.61161067
-5.78389195,1.82258940,0.00232516,0.34877429,0.38856837,0.25354361,1.30666160,0.49982170,0.00585368,0.60288794
-5.77788894,1.82255835,0.00235035,0.35489833,0.38949847,0.25180422,1.32864259,0.49603050,0.00577609,0.59889105
-5.77188594,1.83547214,0.00239853,0.36316513,0.39298287,0.25217732,1.35904236,0.49599076,0.00574209,0.59945642
-5.76588294,1.86051082,0.00246677,0.37338103,0.39882863,0.25458708,1.39694217,0.49954812,0.00574935,0.60432701
-5.75987994,1.89659179,0.00255216,0.38529912,0.40678634,0.25892971,1.44122909,0.50646991,0.00579507,0.61316094
-5.75387694,1.94240646,0.00265185,0.39862682,0.41655745,0.26507745,1.49062700,0.51645491,0.00587617,0.62554257
-5.74787394,1.99646363,0.00276306,0.41303494,0.42780317,0.27288311,1.54373268,0.52914495,0.00598940,0.64099571
-5.74187094,2.05713778,0.00288317,0.42816795,0.44015472,0.28218498,1.59905593,0.54413794,0.00613155,0.65899843
-5.73586793,2.12272075,0.00300971,0.44365522,0.45322444,0.29281203,1.65506244,0.56100190,0.00629959,0.67899895
-5.72986493,2.19147461,0.00314046,0.45912259,0.46661739,0.30458894,1.71021783,0.57928928,0.00649077,0.70043202
-5.72386193,2.26168390,0.00327338,0.47420405,0.47994312,0.31734092,1.76303155,0.59855112,0.00670275,0.72273519
-5.71785893,2.33170517,0.00340671,0.48855291,0.49282700,0.33089808,1.81209894,0.61835045,0.00693364,0.74536429
-5.71185593,2.40001206,0.00353893,0.50185226,0.50492086,0.34509909,1.85614004,0.63827456,0.00718207,0.76780767
-5.70585293,2.46523436,0.00366877,0.51382406,0.51591243,0.35979404,1.89403377,0.65794550,0.00744714,0.78959857
-5.69984992,2.52618964,0.00379517,0.52423682,0.52553332,0.37484642,1.92484624,0.67702870,0.00772844,0.81032538
-5.69384692,2.58190669,0.00391731,0.53291140,0.53356531,0.39013423,1.94785243,0.69523942,0.00802596,0.82963925
-5.68784392,2.63164023,0.00403454,0.53972488,0.53984472,0.40555008,1.96255032,0.71234681,0.00834002,0.84725919
-5.68184092,2.67487678,0.00414633,0.54461244,0.54426480,0.42100066,1.96866750,0.72817577,0.00867115,0.86297440
-5.67583792,2.71133227,0.00425230,0.54756715,0.54677622,0.43640539,1.96616005,0.74260662,0.00901999,0.87664413
-5.66983492,2.74094194,0.00435211,0.54863792,0.54738575,0.45169479,1.95520427,0.75557289,0.00938717,0.88819518
-5.66383192,2.76384394,0.00444546,0.54792573,0.54615321,0.46680844,1.93618179,0.76705749,0.00977322,0.89761748
-5.65782891,2.78035784,0.00453204,0.54557843,0.54318718,0.48169307,1.90965920,0.77708770,0.01017841,0.90495815
-5.65182591,2.79095965,0.00461154,0.54178440,0.53863960,0.49630081,1.87636331,0.78572935,0.01060275,0.91031462
-5.64582291,2.79625508,0.00468358,0.53676542,0.53269965,0.51058783,1.83715324,0.79308067,0.01104589,0.91382712
-5.63981991,2.79695236,0.00474776,0.53076913,0.52558725,0.52451365,1.79299090,0.79926619,0.01150710,0.91567118
-5.63381691,2.79383623,0.00480360,0.52406133,0.51754652,0.53804103,1.74491097,0.80443099,0.01198528,0.91605052
-5.62781391,2.78774402,0.00485064,0.51691855,0.50883948,0.55113659,1.69399172,0.80873559,0.01247899,0.91519056
