energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,5.79852241,0.02154782,0.93410671,2.16490253,2.72742537,0.65438467,0.29844684,0.07344884,1.76728608
-5.99399700,5.83040412,0.02188803,0.93328053,2.16130053,2.73625778,0.65813099,0.30242288,0.07461648,1.78612433
-5.98799400,5.86930213,0.02223617,0.93388948,2.16226458,2.75025350,0.66204299,0.30605372,0.07580235,1.80614126
-5.98199100,5.91397304,0.02258420,0.93583985,2.16816039,2.76885532,0.66584758,0.30922459,0.07697758,1.82675491
-5.97598799,5.96329256,0.02292471,0.93905382,2.17942496,2.79152020,0.66930772,0.31183697,0.07811433,1.84743299
-5.96998499,6.01629436,0.02325115,0.94347329,2.19655851,2.81773883,0.67222982,0.31381161,0.07918662,1.86770927
-5.96398199,6.07219656,0.02355795,0.94906174,2.22011001,2.84705059,0.67446879,0.31509066,0.08017086,1.88719606
-5.95797899,6.13041479,0.02384061,0.95580387,2.25065666,2.87905295,0.67593049,0.31563881,0.08104647,1.90559248
-5.95197599,6.19056157,0.02409576,0.96370320,2.28877798,2.91340520,0.67657164,0.31544354,0.08179634,1.92268813
-5.94597299,6.25243217,0.02432118,0.97277753,2.33502566,2.94982636,0.67639734,0.31451441,0.08240717,1.93836238
-5.93996998,6.31597836,0.02451575,0.98305274,2.38989042,2.98808768,0.67545645,0.31288148,0.08286976,1.95257943
-5.93396698,6.38127179,0.02467938,0.99455508,2.45376738,3.02800045,0.67383518,0.31059298,0.08317910,1.96537967
-5.92796398,6.44845963,0.02481292,1.00730262,2.52692185,3.06939998,0.67164947,0.30771241,0.08333436,1.97686800
-5.92196098,6.51771538,0.02491796,1.02129622,2.60945712,3.11212728,0.66903649,0.30431519,0.08333881,1.98719993
-5.91595798,6.58918817,0.02499672,1.03651073,2.70128620,3.15600964,0.66614596,0.30048504,0.08319950,1.99656644
-5.90995498,6.66295399,0.02505187,1.05288700,2.80210922,3.20084174,0.66313161,0.29631042,0.08292695,2.00517845
-5.90395198,6.73897215,0.02508627,1.07032516,2.91139786,3.24636882,0.66014349,0.29188098,0.08253472,2.01325201
-5.89794897,6.81704990,0.02510286,1.08867983,3.02838811,3.29227326,0.65732126,0.28728443,0.08203889,2.02099494
-5.89194597,6.89681775,0.02510446,1.10775755,3.15208220,3.33816580,0.65478897,0.28260377,0.08145747,2.02859573
-5.88594297,6.97771723,0.02509360,1.12731671,3.28126005,3.38358228,0.65265136,0.27791512,0.08080993,2.03621529
-5.87993997,7.05900201,0.02507240,1.14707023,3.41450023,3.42798635,0.65099177,0.27328621,0.08011654,2.04398179
-5.87393697,7.13975264,0.02504247,1.16669081,3.55020978,3.47077837,0.64987175,0.26877539,0.07939790,2.05198880
-5.86793397,7.21890379,0.02500487,1.18581868,3.68666190,3.51131009,0.64933194,0.26443146,0.07867441,2.06029645
-5.86193097,7.29528261,0.02496008,1.20407146,3.82204001,3.54890435,0.64939425,0.26029387,0.07796583,2.06893543
-5.85592796,7.36765556,0.02490802,1.22105571,3.95448641,3.58287875,0.65006473,0.25639357,0.07729096,2.07791305
-5.84992496,7.43478083,0.02484810,1.23637957,4.08215326,3.61257186,0.65133707,0.25275412,0.07666724,2.08722073
-5.84392196,7.49546281,0.02477931,1.24966582,4.20325387,3.63737027,0.65319612,0.24939305,0.07611058,2.09684209
-5.83791896,7.54860518,0.02470031,1.26056477,4.31611170,3.65673487,0.65562117,0.24632339,0.07563512,2.10676080
-5.83191596,7.59325915,0.02460958,1.26876632,4.41920525,3.67022462,0.65858873,0.24355503,0.07525310,2.11696724
-5.82591296,7.62866361,0.02450549,1.27401046,4.51120661,3.67751622,0.66207442,0.24109596,0.07497470,2.12746343
-5.81990995,7.65427478,0.02438648,1.27609590,4.59101219,3.67841844,0.66605405,0.23895326,0.07480799,2.13826555
-5.81390695,7.66978343,0.02425112,1.27488622,4.65776446,3.67288008,0.67050363,0.23713368,0.07475880,2.14940370
-5.80790395,7.67511867,0.02409824,1.27031346,4.71086402,3.66099117,0.67539840,0.23564387,0.07483061,2.16091887
-5.80190095,7.67043832,0.02392695,1.26237889,4.74997183,3.64297699,0.68071110,0.23449012,0.07502450,2.17285711
-5.79589795,7.65610656,0.02373671,1.25115118,4.77500203,3.61918559,0.68640954,0.23367779,0.07533902,2.18526148
-5.78989495,7.63266064,0.02352737,1.23676192,4.78610614,3.59006938,0.69245395,0.23321040,0.07577010,2.19816211
-5.78389195,7.60076901,0.02329908,1.21939908,4.78365003,3.55616191,0.69879409,0.23308847,0.07631098,2.21156539
-5.77788894,7.56118375,0.02305233,1.19929862,4.76818514,3.51805142,0.70536684,0.23330820,0.07695217,2.22544299
-5.77188594,7.51469058,0.02278787,1.17673486,4.74041585,3.47635261,0.71209417,0.23386021,0.07768144,2.23972176
-5.76588294,7.46205984,0.02250664,1.15201014,4.70116492,3.43167846,0.71888210,0.23472835,0.07848389,2.25427532
-5.75987994,7.40400164,0.02220972,1.12544421,4.65133884,3.38461359,0.72562063,0.23588875,0.07934207,2.26891824
-5.75387694,7.34112804,0.02189827,1.09736407,4.59189485,3.33569095,0.73218484,0.23730922,0.08023623,2.28340352
-5.74787394,7.27392466,0.02157345,1.06809452,4.52381120,3.28537289,0.73843730,0.23894912,0.08114462,2.29742369
-5.74187094,7.20273339,0.02123641,1.03794990,4.44806164,3.23403772,0.74423158,0.24075965,0.08204393,2.31061596
-5.73586793,7.12774710,0.02088825,1.00722735,4.36559525,3.18197232,0.74941697,0.24268477,0.08290980,2.32257128
-5.72986493,7.04901647,0.02053003,0.97620170,4.27732170,3.12937108,0.75384394,0.24466254,0.08371736,2.33284703
-5.72386193,6.96646815,0.02016277,0.94512209,4.18410221,3.07634090,0.75737032,0.24662700,0.08444198,2.34098285
-5.71785893,6.87993298,0.01978750,0.91421029,4.08674573,3.02291183,0.75986781,0.24851047,0.08505986,2.34651887
-5.71185593,6.78918211,0.01940528,0.88366064,3.98600973,2.96905235,0.76122837,0.25024611,0.08554880,2.34901538
-5.70585293,6.69396857,0.01901731,0.85364130,3.88260477,2.91468824,0.76137032,0.25177074,0.08588882,2.34807291
-5.69984992,6.59407151,0.01862492,0.82429672,3.77720173,2.85972376,0.76024376,0.25302765,0.08606284,2.34335178
