energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,1.29277676,0.19070390,0.00000000,0.01801610,0.07703588,0.25312766,0.72562974,0.01268688,0.46155460
-5.99399700,1.22087734,0.19025950,0.00000000,0.01886056,0.07148855,0.25487785,0.66924356,0.01146554,0.44466817
-5.98799400,1.15972418,0.19209506,0.00000000,0.01986005,0.06727538,0.25952304,0.61815359,0.01031213,0.43118443
-5.98199100,1.10890990,0.19607396,0.00000000,0.02100906,0.06427195,0.26687503,0.57222700,0.00923140,0.42099950
-5.97598799,1.06789840,0.20202487,0.00000000,0.02229754,0.06235009,0.27670209,0.53127963,0.00822668,0.41395599
-5.96998499,1.03603112,0.20974260,0.00000000,0.02371081,0.06137940,0.28872931,0.49508025,0.00729990,0.40984340
-5.96398199,1.01253490,0.21898977,0.00000000,0.02522963,0.06122849,0.30263997,0.46335483,0.00645164,0.40839976
-5.95797899,0.99653202,0.22949929,0.00000000,0.02683042,0.06176614,0.31807839,0.43579107,0.00568126,0.40931456
-5.95197599,0.98705289,0.24097798,0.00000000,0.02848563,0.06286226,0.33465415,0.41204336,0.00498697,0.41223331
-5.94597299,0.98305171,0.25311116,0.00000000,0.03016437,0.06438901,0.35194804,0.39173837,0.00436604,0.41676368
-5.93996998,0.98342514,0.26556845,0.00000000,0.03183309,0.06622184,0.36951952,0.37448134,0.00381488,0.42248331
-5.93396698,0.98703394,0.27801047,0.00000000,0.03345648,0.06824070,0.38691574,0.35986309,0.00332928,0.42894916
-5.92796398,0.99272699,0.29009648,0.00000000,0.03499842,0.07033137,0.40368175,0.34746772,0.00290451,0.43570812
-5.92196098,0.99936733,0.30149263,0.00000000,0.03642310,0.07238681,0.41937176,0.33688080,0.00253554,0.44230868
-5.91595798,1.00585909,0.31188068,0.00000000,0.03769605,0.07430866,0.43356089,0.32769783,0.00221716,0.44831308
-5.90995498,1.01117467,0.32096667,0.00000000,0.03878529,0.07600867,0.44585707,0.31953279,0.00194415,0.45330967
-5.90395198,1.01438085,0.32848946,0.00000000,0.03966231,0.07741010,0.45591250,0.31202638,0.00171142,0.45692481
-5.89794897,1.01466294,0.33422855,0.00000000,0.04030307,0.07844905,0.46343428,0.30485368,0.00151409,0.45883391
-5.89194597,1.01134586,0.33801107,0.00000000,0.04068874,0.07907554,0.46819364,0.29773099,0.00134764,0.45877112
-5.88594297,1.00391135,0.33971742,0.00000000,0.04080633,0.07925434,0.47003340,0.29042144,0.00120798,0.45653718
-5.87993997,0.99201053,0.33928556,0.00000000,0.04064912,0.07896553,0.46887331,0.28273935,0.00109146,0.45200519
-5.87393697,0.97547135,0.33671360,0.00000000,0.04021682,0.07820471,0.46471308,0.27455305,0.00099503,0.44512397
-5.86793397,0.95430074,0.33206068,0.00000000,0.03951552,0.07698277,0.45763288,0.26578616,0.00091617,0.43591904
-5.86193097,0.92868141,0.32544614,0.00000000,0.03855745,0.07532543,0.44779143,0.25641734,0.00085296,0.42449103
-5.85592796,0.89896370,0.31704709,0.00000000,0.03736044,0.07327233,0.43542169,0.24647856,0.00080411,0.41101184
-5.84992496,0.86565291,0.30709444,0.00000000,0.03594730,0.07087582,0.42082453,0.23605209,0.00076892,0.39571864
-5.84392196,0.82939284,0.29586772,0.00000000,0.03434496,0.06819950,0.40436057,0.22526633,0.00074730,0.37890617
-5.83791896,0.79094645,0.28368891,0.00000000,0.03258356,0.06531660,0.38644064,0.21429086,0.00073978,0.36091762
-5.83191596,0.75117440,0.27091559,0.00000000,0.03069540,0.06230815,0.36751529,0.20333074,0.00074744,0.34213457
-5.82591296,0.71101265,0.25793370,0.00000000,0.02871396,0.05926108,0.34806388,0.19262057,0.00077197,0.32296646
-5.81990995,0.67144965,0.24515019,0.00000000,0.02667286,0.05626639,0.32858349,0.18241832,0.00081557,0.30383993
-5.81390695,0.63350427,0.23298577,0.00000000,0.02460491,0.05341730,0.30957824,0.17299926,0.00088098,0.28518858
-5.80790395,0.59820476,0.22186807,0.00000000,0.02254129,0.05080751,0.29154928,0.16465009,0.00097143,0.26744326
-5.80190095,0.56656932,0.21222514,0.00000000,0.02051080,0.04852957,0.27498558,0.15766328,0.00109058,0.25102323
-5.79589795,0.53958866,0.20447957,0.00000000,0.01853925,0.04667343,0.26035587,0.15233187,0.00124247,0.23632848
-5.78989495,0.51821022,0.19904301,0.00000000,0.01664911,0.04532512,0.24810168,0.14894447,0.00143147,0.22373300
-5.78389195,0.50332444,0.19631116,0.00000000,0.01485914,0.04456552,0.23863149,0.14778050,0.00166221,0.21357925
-5.77788894,0.49575236,0.19665911,0.00000000,0.01318433,0.04446934,0.23231591,0.14910567,0.00193941,0.20617362
-5.77188594,0.49623459,0.20043678,0.00000000,0.01163592,0.04510414,0.22948378,0.15316735,0.00226784,0.20178284
-5.76588294,0.50542103,0.20796439,0.00000000,0.01022150,0.04652938,0.23041899,0.16018998,0.00265213,0.20063109
-5.75987994,0.52386108,0.21952775,0.00000000,0.00894526,0.04879562,0.23535783,0.17037022,0.00309664,0.20289776
-5.75387694,0.55199407,0.23537339,0.00000000,0.00780834,0.05194370,0.24448683,0.18387190,0.00360524,0.20871562
-5.74787394,0.59013964,0.25570321,0.00000000,0.00680914,0.05600385,0.25794067,0.20082077,0.00418117,0.21816936
-5.74187094,0.63848808,0.28066891,0.00000000,0.00594379,0.06099497,0.27580039,0.22129897,0.00482682,0.23129430
-5.73586793,0.69709081,0.31036609,0.00000000,0.00520648,0.06692381,0.29809162,0.24533956,0.00554351,0.24807536
-5.72986493,0.76585115,0.34482829,0.00000000,0.00458993,0.07378424,0.32478289,0.27292112,0.00633129,0.26844622
-5.72386193,0.84451599,0.38402106,0.00000000,0.00408573,0.08155661,0.35578414,0.30396279,0.00718881,0.29228879
-5.71785893,0.93266879,0.42783655,0.00000000,0.00368468,0.09020721,0.39094550,0.33831999,0.00811308,0.31943306
-5.71185593,1.02972483,0.47608878,0.00000000,0.00337712,0.09968787,0.43005642,0.37578124,0.00909939,0.34965744
-5.70585293,1.13492909,0.52851003,0.00000000,0.00315320,0.10993584,0.47284545,0.41606633,0.01014123,0.38268990
-5.69984992,1.24735788,0.58474885,0.00000000,0.00300305,0.12087384,0.51898079,0.45882629,0.01123022,0.41820985
-5.69384692,1.36592456,0.64436989,0.00000000,0.00291701,0.13241049,0.56807171,0.50364541,0.01235618,0.45585108
-5.68784392,1.48939002,0.70685598,0.00000000,0.00288576,0.14444100,0.61967123,0.55004550,0.01350720,0.49520578
-5.68184092,1.61637821,0.77161269,0.00000000,0.00290043,0.15684822,0.67327984,0.59749260,0.01466982,0.53582976
-5.67583792,1.74539690,0.83797556,0.00000000,0.00295272,0.16950415,0.72835077,0.64540616,0.01582921,0.57724886
-5.66983492,1.87486342,0.90521999,0.00000000,0.00303493,0.18227161,0.78429643,0.69317058,0.01696956,0.61896647
-5.66383192,2.00313509,0.97257373,0.00000000,0.00314006,0.19500644,0.84049631,0.74014882,0.01807435,0.66047214
-5.65782891,2.12854356,1.03923181,0.00000000,0.00326185,0.20755984,0.89630616,0.78569787,0.01912678,0.70125110
