energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.92215588,0.01402572,1.77347831,0.15543936,0.00044603,2.00580746,0.89504058
-5.99399700,2.87275182,0.01336850,1.75555682,0.15122228,0.00043856,1.97601889,0.89101047
-5.98799400,2.82822270,0.01270153,1.74127859,0.14728500,0.00043100,1.94712711,0.88943382
-5.98199100,2.78939131,0.01203019,1.73110893,0.14366790,0.00042346,1.91984436,0.89053400
-5.97598799,2.75700819,0.01136016,1.72546025,0.14040861,0.00041608,1.89486360,0.89450050
-5.96998499,2.73171051,0.01069723,1.72466576,0.13753962,0.00040898,1.87282582,0.90147455
-5.96398199,2.71398397,0.01004715,1.72895536,0.13508602,0.00040227,1.85428913,0.91153601
-5.95797899,2.70413009,0.00941541,1.73843511,0.13306349,0.00039604,1.83970147,0.92469232
-5.95197599,2.70224083,0.00880704,1.75307164,0.13147659,0.00039036,1.82937841,0.94087037
-5.94597299,2.70818214,0.00822645,1.77268258,0.13031760,0.00038530,1.82348719,0.95991174
-5.93996998,2.72158754,0.00767732,1.79693357,0.12956590,0.00038088,1.82203789,0.98157182
-5.93396698,2.74186228,0.00716245,1.82534239,0.12918799,0.00037709,1.82488205,1.00552300
-5.92796398,2.76819792,0.00668375,1.85728989,0.12913809,0.00037393,1.83171878,1.03136174
-5.92196098,2.79959661,0.00624219,1.89203749,0.12935944,0.00037136,1.84210788,1.05861948
-5.91595798,2.83490393,0.00583780,1.92875009,0.12978606,0.00036931,1.85548909,1.08677661
-5.90995498,2.87284847,0.00546976,1.96652356,0.13034510,0.00036770,1.87120628,1.11527907
-5.90395198,2.91208614,0.00513648,2.00441511,0.13095946,0.00036647,1.88853526,1.14355651
-5.89794897,2.95124691,0.00483570,2.04147511,0.13155066,0.00036551,1.90671351,1.17104125
-5.89194597,2.98898160,0.00456467,2.07677880,0.13204183,0.00036475,1.92497032,1.19718699
-5.88594297,3.02400642,0.00432021,2.10945613,0.13236062,0.00036408,1.94255562,1.22148629
-5.87993997,3.05514323,0.00409898,2.13871854,0.13244186,0.00036343,1.95876633,1.24348605
-5.87393697,3.08135361,0.00389754,2.16388118,0.13223002,0.00036272,1.97296871,1.26280012
-5.86793397,3.10176557,0.00371252,2.18437994,0.13168112,0.00036190,1.98461604,1.27911862
-5.86193097,3.11569183,0.00354079,2.19978253,0.13076420,0.00036091,1.99326106,1.29221353
-5.85592796,3.12263955,0.00337951,2.20979346,0.12946226,0.00035971,1.99856270,1.30194046
-5.84992496,3.12231145,0.00322625,2.21425304,0.12777262,0.00035827,2.00028760,1.30823673
-5.84392196,3.11459916,0.00307906,2.21313099,0.12570675,0.00035659,1.99830655,1.31111610
-5.83791896,3.09956972,0.00293649,2.20651524,0.12328958,0.00035466,1.99258677,1.31066057
-5.83191596,3.07744668,0.00279766,2.19459721,0.12055845,0.00035247,1.98318087,1.30701007
-5.82591296,3.04858735,0.00266221,2.17765450,0.11756162,0.00035003,1.97021359,1.30035072
-5.81990995,3.01345793,0.00253030,2.15603235,0.11435663,0.00034736,1.95386746,1.29090242
-5.81390695,2.97260815,0.00240258,2.13012504,0.11100843,0.00034447,1.93436846,1.27890669
-5.80790395,2.92664693,0.00228014,2.10035842,0.10758751,0.00034138,1.91197269,1.26461538
-5.80190095,2.87622042,0.00216449,2.06717437,0.10416797,0.00033810,1.88695486,1.24828100
-5.79589795,2.82199335,0.00205741,2.03101810,0.10082578,0.00033464,1.85959921,1.23014894
-5.78989495,2.76463439,0.00196100,1.99232856,0.09763710,0.00033103,1.83019334,1.21045209
-5.78389195,2.70480566,0.00187750,1.95153228,0.09467675,0.00032728,1.79902483,1.18940779
-5.77788894,2.64315640,0.00180930,1.90904044,0.09201697,0.00032342,1.76638067,1.16721710
-5.77188594,2.58032026,0.00175882,1.86524880,0.08972614,0.00031947,1.73254911,1.14406613
-5.76588294,2.51691551,0.00172848,1.82053998,0.08786786,0.00031546,1.69782313,1.12012895
-5.75987994,2.45354711,0.00172060,1.77528724,0.08649994,0.00031144,1.66250507,1.09557166
-5.75387694,2.39080969,0.00173734,1.72985905,0.08567354,0.00030746,1.62691136,1.07055701
-5.74787394,2.32929031,0.00178062,1.68462347,0.08543237,0.00030358,1.59137669,1.04524885
-5.74187094,2.26956985,0.00185208,1.63995154,0.08581174,0.00029988,1.55625675,1.01981613
-5.73586793,2.21222234,0.00195300,1.59621913,0.08683775,0.00029644,1.52192880,0.99443561
-5.72986493,2.15781144,0.00208421,1.55380643,0.08852633,0.00029336,1.48878977,0.96929319
-5.72386193,2.10688374,0.00224607,1.51309505,0.09088230,0.00029075,1.45725141,0.94458348
-5.71785893,2.05995892,0.00243839,1.47446247,0.09389846,0.00028872,1.42773244,0.92050752
-5.71185593,2.01751697,0.00266039,1.43827394,0.09755475,0.00028738,1.40064802,0.89726881
-5.70585293,1.97998303,0.00291065,1.40487245,0.10181748,0.00028685,1.37639680,0.87506784
-5.69984992,1.94771089,0.00318709,1.37456704,0.10663889,0.00028724,1.35534622,0.85409535
-5.69384692,1.92096599,0.00348697,1.34762050,0.11195692,0.00028865,1.33781689,0.83452508
-5.68784392,1.89990931,0.00380688,1.32423702,0.11769536,0.00029115,1.32406695,0.81650621
-5.68184092,1.88458332,0.00414279,1.30455096,0.12376447,0.00029482,1.31427733,0.80015627
-5.67583792,1.87490118,0.00449007,1.28861742,0.13006208,0.00029968,1.30853894,0.78555498
-5.66983492,1.87064027,0.00484361,1.27640547,0.13647522,0.00030574,1.30684272,0.77273950
-5.66383192,1.87144091,0.00519786,1.26779468,0.14288227,0.00031298,1.30907324,0.76170157
-5.65782891,1.87681081,0.00554700,1.26257548,0.14915559,0.00032134,1.31500645,0.75238664
-5.65182591,1.88613548,0.00588505,1.26045339,0.15516461,0.00033072,1.32431207,0.74469537
-5.64582291,1.89869438,0.00620602,1.26105729,0.16077927,0.00034099,1.33656053,0.73848729
-5.63981991,1.91368246,0.00650409,1.26395140,0.16587361,0.00035201,1.35123453,0.73358654
-5.63381691,1.93023610,0.00677373,1.26865041,0.17032950,0.00036357,1.36774459,0.72978940
-5.62781391,1.94746237,0.00700993,1.27463713,0.17404027,0.00037550,1.38544810,0.72687319
-5.62181091,1.96447022,0.00720828,1.28138170,0.17691411,0.00038755,1.40367095,0.72460599
-5.61580790,1.98040208,0.00736517,1.28836146,0.17887699,0.00039950,1.42173069,0.72275673
-5.60980490,1.99446429,0.00747784,1.29508039,0.17987519,0.00041113,1.43896021,0.72110489
-5.60380190,2.00595485,0.00754453,1.30108713,0.17987697,0.00042222,1.45473067,0.71944951
-5.59779890,2.01428703,0.00756448,1.30599061,0.17887368,0.00043255,1.46847269,0.71761676
-5.59179590,2.01900774,0.00753799,1.30947251,0.17687992,0.00044194,1.47969475,0.71546584
-5.58579290,2.01980965,0.00746637,1.31129596,0.17393292,0.00045022,1.48799791,0.71289280
-5.57978989,2.01653674,0.00735194,1.31131007,0.17009123,0.00045728,1.49308632,0.70983218
-5.57378689,2.00918285,0.00719789,1.30945012,0.16543252,0.00046302,1.49477302,0.70625644
-5.56778389,1.99788364,0.00700819,1.30573354,0.16005094,0.00046738,1.49298094,0.70217326
-5.56178089,1.98290259,0.00678747,1.30025211,0.15405387,0.00047034,1.48773929,0.69762098
-5.55577789,1.96461178,0.00654087,1.29316080,0.14755844,0.00047192,1.47917566,0.69266249
-5.54977489,1.94346884,0.00627381,1.28466409,0.14068786,0.00047217,1.46750444,0.68737807
-5.54377189,1.91999137,0.00599191,1.27500070,0.13356778,0.00047117,1.45301243,0.68185765
-5.53776888,1.89473039,0.00570076,1.26442762,0.12632283,0.00046902,1.43604256,0.67619296
-5.53176588,1.86824423,0.00540580,1.25320434,0.11907352,0.00046585,1.41697662,0.67047018
-5.52576288,1.84107443,0.00511213,1.24157845,0.11193351,0.00046179,1.39621813,0.66476347
-5.51975988,1.81372486,0.00482445,1.22977309,0.10500758,0.00045701,1.37417619,0.65912981
-5.51375688,1.78664499,0.00454692,1.21797726,0.09839004,0.00045164,1.35125125,0.65360543
-5.50775388,1.76021817,0.00428308,1.20633916,0.09216388,0.00044584,1.32782325,0.64820413
-5.50175088,1.73475524,0.00403586,1.19496301,0.08640051,0.00043975,1.30424285,0.64291733
-5.49574787,1.71049348,0.00380749,1.18390929,0.08116005,0.00043352,1.28082576,0.63771606
-5.48974487,1.68760054,0.00359956,1.17319815,0.07649211,0.00042727,1.25785022,0.63255450
-5.48374187,1.66618272,0.00341303,1.16281567,0.07243699,0.00042111,1.23555745,0.62737492
-5.47773887,1.64629674,0.00324829,1.15272224,0.06902711,0.00041516,1.21415458,0.62211349
-5.47173587,1.62796365,0.00310518,1.14286243,0.06628856,0.00040951,1.19381944,0.61670676
-5.46573287,1.61118394,0.00298313,1.13317541,0.06424271,0.00040424,1.17470657,0.61109811
-5.45972986,1.59595216,0.00288119,1.12360526,0.06290755,0.00039943,1.15695366,0.60524378
-5.45372686,1.58227016,0.00279811,1.11411009,0.06229896,0.00039515,1.14068759,0.59911806
-5.44772386,1.57015759,0.00273245,1.10466954,0.06243141,0.00039145,1.12602945,0.59271728
-5.44172086,1.55965887,0.00268263,1.09528976,0.06331841,0.00038840,1.11309792,0.58606210
-5.43571786,1.55084596,0.00264696,1.08600578,0.06497234,0.00038603,1.10201057,0.57919815
-5.42971486,1.54381666,0.00262377,1.07688081,0.06740385,0.00038441,1.09288277,0.57219476
-5.42371186,1.53868847,0.00261138,1.06800260,0.07062074,0.00038356,1.08582429,0.56514181
-5.41770885,1.53558828,0.00260813,1.05947709,0.07462648,0.00038351,1.08093366,0.55814503
-5.41170585,1.53463870,0.00261245,1.05141974,0.07941826,0.00038429,1.07829062,0.55131970
-5.40570285,1.53594193,0.00262283,1.04394521,0.08498497,0.00038591,1.07794729,0.54478347
-5.39969985,1.53956227,0.00263783,1.03715600,0.09130493,0.00038835,1.07991865,0.53864847
-5.39369685,1.54550857,0.00265606,1.03113096,0.09834377,0.00039161,1.08417307,0.53301330
-5.38769385,1.55371801,0.00267620,1.02591449,0.10605249,0.00039564,1.09062365,0.52795536
-5.38169085,1.56404234,0.00269699,1.02150711,0.11436593,0.00040038,1.09912118,0.52352411
-5.37568784,1.57623780,0.00271719,1.01785827,0.12320169,0.00040575,1.10944931,0.51973556
-5.36968484,1.58995969,0.00273560,1.01486186,0.13245976,0.00041167,1.12132255,0.51656841
-5.36368184,1.60476214,0.00275109,1.01235478,0.14202287,0.00041800,1.13438742,0.51396214
