energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,6.60686626,1.88516674,4.01127994,0.00822897,0.53569588,0.00932624,1.40787411,0.87420689,0.29414289
-5.99399700,6.61480893,1.89348412,4.01724172,0.00801948,0.54061541,0.00940557,1.40201950,0.88026704,0.29316205
-5.98799400,6.60911558,1.89990297,4.01257351,0.00787423,0.54364923,0.00946326,1.39585513,0.88700347,0.29181301
-5.98199100,6.58879693,1.90422545,3.99668732,0.00778379,0.54471286,0.00949750,1.38917891,0.89417938,0.29005576
-5.97598799,6.55311434,1.90625625,3.96918482,0.00773924,0.54375039,0.00950719,1.38180268,0.90155852,0.28786189
-5.96998499,6.50160477,1.90580692,3.92987351,0.00773239,0.54073637,0.00949194,1.37355762,0.90891046,0.28521531
-5.96398199,6.43409698,1.90270065,3.87877665,0.00775590,0.53567705,0.00945207,1.36429870,0.91601539,0.28211254
-5.95797899,6.35071895,1.89677740,3.81613658,0.00780342,0.52861077,0.00938861,1.35390820,0.92266858,0.27856249
-5.95197599,6.25189644,1.88789943,3.74241146,0.00786965,0.51960759,0.00930324,1.34229835,0.92868444,0.27458586
-5.94597299,6.13834325,1.87595705,3.65826556,0.00795026,0.50876801,0.00919823,1.32941320,0.93390020,0.27021420
-5.93996998,6.01104385,1.86087451,3.56455370,0.00804194,0.49622101,0.00907638,1.31522979,0.93817926,0.26548871
-5.93396698,5.87122943,1.84261581,3.46230053,0.00814221,0.48212131,0.00894091,1.29975874,0.94141409,0.26045879
-5.92796398,5.72034848,1.82119038,3.35267557,0.00824941,0.46664605,0.00879537,1.28304431,0.94352886,0.25518058
-5.92196098,5.56003318,1.79665801,3.23696500,0.00836244,0.44999094,0.00864357,1.26516397,0.94448143,0.24971539
-5.91595798,5.39206276,1.76913314,3.11654132,0.00848071,0.43236605,0.00848945,1.24622746,0.94426489,0.24412813
-5.90995498,5.21832508,1.73878782,2.99283188,0.00860390,0.41399134,0.00833701,1.22637538,0.94290840,0.23848585
-5.90395198,5.04077740,1.70585321,2.86728748,0.00873185,0.39509206,0.00819021,1.20577710,0.94047717,0.23285629
-5.89794897,4.86140727,1.67061922,2.74135176,0.00886439,0.37589419,0.00805292,1.18462812,0.93707153,0.22730661
-5.89194597,4.68219432,1.63343206,2.61643226,0.00900119,0.35661999,0.00792881,1.16314652,0.93282489,0.22190206
-5.88594297,4.50507346,1.59468935,2.49387385,0.00914167,0.33748375,0.00782131,1.14156867,0.92790055,0.21670488
-5.87993997,4.33189991,1.55483300,2.37493489,0.00928488,0.31868787,0.00773355,1.12014390,0.92248723,0.21177316
-5.87393697,4.16441649,1.51433947,2.26076647,0.00942947,0.30041939,0.00766829,1.09912839,0.91679333,0.20715976
-5.86793397,4.00422327,1.47370798,2.15239496,0.00957363,0.28284687,0.00762788,1.07877810,0.91104005,0.20291128
-5.86193097,3.85274999,1.43344666,2.05070781,0.00971510,0.26611785,0.00761417,1.05934099,0.90545344,0.19906704
-5.85592796,3.71123127,1.39405727,1.95644261,0.00985116,0.25035675,0.00762850,1.04104871,0.90025558,0.19565815
-5.84992496,3.58068518,1.35601903,1.87017937,0.00997873,0.23566340,0.00767165,1.02410806,0.89565532,0.19270655
-5.84392196,3.46189528,1.31977220,1.79233569,0.01009440,0.22211208,0.00774373,1.00869256,0.89183880,0.19022423
-5.83791896,3.35539666,1.28570226,1.72316497,0.01019456,0.20975111,0.00784421,0.99493444,0.88896031,0.18821252
-5.83191596,3.26146659,1.25412533,1.66275723,0.01027546,0.19860306,0.00797184,0.98291765,0.88713379,0.18666167
-5.82591296,3.18012001,1.22527581,1.61104269,0.01033340,0.18866541,0.00812464,0.97267220,0.88642567,0.18555053
-5.81990995,3.11111069,1.19929675,1.56779787,0.01036480,0.17991185,0.00829989,0.96417015,0.88684919,0.18484668
-5.81390695,3.05393826,1.17623367,1.53265428,0.01036635,0.17229399,0.00849413,0.95732385,0.88836089,0.18450683
-5.80790395,3.00786167,1.15603223,1.50510967,0.01033514,0.16574359,0.00870321,0.95198639,0.89085939,0.18447755
