energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,0.45400274,0.00027168,0.00034855,0.13177054,0.16432760,0.00386409,0.23106347
-5.99399700,0.47477408,0.00027611,0.00036712,0.13736297,0.17181853,0.00402414,0.24145297
-5.98799400,0.49314132,0.00028062,0.00038408,0.14223225,0.17843004,0.00416288,0.25060318
-5.98199100,0.50872965,0.00028462,0.00039914,0.14627011,0.18402791,0.00427715,0.25832455
-5.97598799,0.52121664,0.00028766,0.00041201,0.14938595,0.18849686,0.00436427,0.26445501
-5.96998499,0.53034136,0.00028938,0.00042245,0.15150912,0.19174386,0.00442220,0.26886464
-5.96398199,0.53591203,0.00028955,0.00043026,0.15259081,0.19370093,0.00444956,0.27145934
-5.95797899,0.53781144,0.00028799,0.00043529,0.15260523,0.19432709,0.00444565,0.27218354
-5.95197599,0.53600022,0.00028463,0.00043743,0.15155018,0.19360955,0.00441047,0.27102161
-5.94597299,0.53051739,0.00027946,0.00043666,0.14944678,0.19156387,0.00434470,0.26799808
-5.93996998,0.52147849,0.00027252,0.00043299,0.14633852,0.18823328,0.00424971,0.26317642
-5.93396698,0.50907107,0.00026393,0.00042649,0.14228950,0.18368701,0.00412744,0.25665659
-5.92796398,0.49354795,0.00025382,0.00041730,0.13738213,0.17801778,0.00398039,0.24857148
-5.92196098,0.47521839,0.00024237,0.00040561,0.13171420,0.17133862,0.00381147,0.23908223
-5.91595798,0.45443779,0.00022981,0.00039163,0.12539554,0.16377909,0.00362396,0.22837283
-5.90995498,0.43159608,0.00021634,0.00037563,0.11854448,0.15548104,0.00342137,0.21664415
-5.90395198,0.40710563,0.00020221,0.00035790,0.11128413,0.14659423,0.00320733,0.20410770
-5.89794897,0.38138894,0.00018765,0.00033876,0.10373873,0.13727187,0.00298551,0.19097930
-5.89194597,0.35486681,0.00017289,0.00031853,0.09603019,0.12766633,0.00275946,0.17747305
