energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,1.54950129,0.04287633,0.09982319,0.62077060,0.52093614,0.41682236,0.00000000
-5.99399700,1.66543998,0.04654300,0.10603950,0.65993648,0.56216037,0.44792111,0.00000000
-5.98799400,1.78608303,0.05039771,0.11255182,0.70115223,0.60490675,0.48031719,0.00000000
-5.98199100,1.90971800,0.05438848,0.11926397,0.74380630,0.64857934,0.51354580,0.00000000
-5.97598799,2.03439591,0.05845619,0.12606408,0.78719032,0.69250378,0.54707873,0.00000000
-5.96998499,2.15797497,0.06253583,0.13282730,0.83051567,0.73594226,0.58033608,0.00000000
-5.96398199,2.27817534,0.06655797,0.13941916,0.87293458,0.77811225,0.61270103,0.00000000
-5.95797899,2.39264342,0.07045065,0.14569953,0.91356492,0.81820845,0.64353710,0.00000000
-5.95197599,2.49902306,0.07414141,0.15152703,0.95151786,0.85542710,0.67220732,0.00000000
-5.94597299,2.59503112,0.07755961,0.15676366,0.98592731,0.88899167,0.69809459,0.00000000
-5.93996998,2.67853413,0.08063874,0.16127947,1.01597993,0.91817900,0.72062230,0.00000000
-5.93396698,2.74762274,0.08331881,0.16495710,1.04094432,0.94234455,0.73927449,0.00000000
-5.92796398,2.80068054,0.08554856,0.16769599,1.06019827,0.96094572,0.75361441,0.00000000
-5.92196098,2.83644426,0.08728746,0.16941597,1.07325270,0.97356223,0.76330093,0.00000000
-5.91595798,2.85405240,0.08850746,0.17006024,1.07977121,0.97991242,0.76810170,0.00000000
-5.90995498,2.85308008,0.08919425,0.16959740,1.07958446,0.97986486,0.76790282,0.00000000
-5.90395198,2.83355833,0.08934812,0.16802262,1.07269852,0.97344457,0.76271425,0.00000000
-5.89794897,2.79597716,0.08898424,0.16535785,1.05929703,0.96083363,0.75267087,0.00000000
-5.89194597,2.74127196,0.08813247,0.16165094,1.03973687,0.94236614,0.73802916,0.00000000
-5.88594297,2.67079412,0.08683652,0.15697398,1.01453773,0.91851764,0.71915954,0.00000000
-5.87993997,2.58626715,0.08515266,0.15142070,0.98436588,0.88988963,0.69653486,0.00000000
-5.87393697,2.48973030,0.08314793,0.14510320,0.95001304,0.85718976,0.67071544,0.00000000
-5.86793397,2.38347231,0.08089794,0.13814813,0.91237118,0.82120868,0.64233145,0.00000000
-5.86193097,2.26995799,0.07848435,0.13069257,0.87240425,0.78279445,0.61206325,0.00000000
-5.85592796,2.15175100,0.07599209,0.12287958,0.83111819,0.74282568,0.58062064,0.00000000
-5.84992496,2.03143565,0.07350653,0.11485393,0.78953016,0.70218441,0.54872163,0.00000000
-5.84392196,1.91154091,0.07111059,0.10675792,0.74863831,0.66172985,0.51707180,0.00000000
-5.83791896,1.79446931,0.06888198,0.09872753,0.70939307,0.62227385,0.48634467,0.00000000
-5.83191596,1.68243292,0.06689062,0.09088907,0.67267079,0.58455897,0.45716383,0.00000000
-5.82591296,1.57739853,0.06519642,0.08335642,0.63925076,0.54923985,0.43008741,0.00000000
-5.81990995,1.48104320,0.06384734,0.07622881,0.60979588,0.51686825,0.40559510,0.00000000
-5.81390695,1.39472118,0.06287801,0.06958940,0.58483776,0.48788218,0.38407805,0.00000000
-5.80790395,1.31944251,0.06230874,0.06350437,0.56476623,0.46259920,0.36583177,0.00000000
-5.80190095,1.25586332,0.06214510,0.05802281,0.54982355,0.44121384,0.35105214,0.00000000
-5.79589795,1.20428724,0.06237797,0.05317706,0.54010315,0.42379901,0.33983422,0.00000000
