energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,W_p_up,W_d_up
4.68534267,0.41916925,0.03010834,0.05855372,0.00988903,0.07289979,0.11909297,0.28229126
4.69134567,0.36027165,0.02643531,0.04980121,0.00831042,0.06311424,0.10012153,0.24269882
4.69734867,0.30787073,0.02304448,0.04213219,0.00694606,0.05430335,0.08373961,0.20745766
4.70335168,0.26155865,0.01994491,0.03545245,0.00577421,0.04642983,0.06967553,0.17629828
4.70935468,0.22090116,0.01713870,0.02966912,0.00477396,0.03944692,0.05767100,0.14893255
4.71535768,0.18544800,0.01462186,0.02469204,0.00392541,0.03330048,0.04748348,0.12506088
4.72136068,0.15474258,0.01238527,0.02043479,0.00320998,0.02793099,0.03888783,0.10437875
4.72736368,0.12833070,0.01041560,0.01681557,0.00261045,0.02327551,0.03167729,0.08658272
4.73336668,0.10576824,0.00869639,0.01375776,0.00211111,0.01926942,0.02566379,0.07137562
4.73936968,0.08662758,0.00720889,0.01119042,0.00169774,0.01584804,0.02067789,0.05847100
4.74537269,0.07050287,0.00593297,0.00904848,0.00135763,0.01294798,0.01656830,0.04759668
4.75137569,0.05701408,0.00484785,0.00727284,0.00107950,0.01050826,0.01320105,0.03849758
4.75737869,0.04580979,0.00393278,0.00581033,0.00085344,0.00847122,0.01045850,0.03093763
4.76338169,0.03656898,0.00316754,0.00461356,0.00067084,0.00678318,0.00823821,0.02470104
4.76938469,0.02900178,0.00253290,0.00364067,0.00052424,0.00539483,0.00645165,0.01959282
4.77538769,0.02284935,0.00201087,0.00285503,0.00040727,0.00426154,0.00502289,0.01543876
4.78139070,0.01788304,0.00158498,0.00222482,0.00031453,0.00334339,0.00388735,0.01208489
4.78739370,0.01390305,0.00124032,0.00172270,0.00024146,0.00260513,0.00299049,0.00939659
4.79339670,0.01073650,0.00096364,0.00132536,0.00018425,0.00201595,0.00228662,0.00725737
4.79939970,0.00823540,0.00074331,0.00101307,0.00013974,0.00154929,0.00173772,0.00556742
4.80540270,0.00627424,0.00056924,0.00076933,0.00010533,0.00118243,0.00131243,0.00424209
4.81140570,0.00474765,0.00043280,0.00058040,0.00007891,0.00089619,0.00098504,0.00321029
4.81740870,0.00356800,0.00032670,0.00043497,0.00005874,0.00067452,0.00073467,0.00241287
4.82341171,0.00266310,0.00024484,0.00032382,0.00004346,0.00050415,0.00054446,0.00180110
4.82941471,0.00197404,0.00018218,0.00023946,0.00003195,0.00037418,0.00040091,0.00133520
4.83541771,0.00145318,0.00013458,0.00017589,0.00002333,0.00027578,0.00029331,0.00098299
4.84142071,0.00106236,0.00009870,0.00012832,0.00001693,0.00020183,0.00021320,0.00071867
4.84742371,0.00077126,0.00007187,0.00009299,0.00001221,0.00014667,0.00015395,0.00052179
4.85342671,0.00055603,0.00005196,0.00006692,0.00000875,0.00010584,0.00011044,0.00037620
4.85942971,0.00039807,0.00003729,0.00004783,0.00000622,0.00007583,0.00007870,0.00026934
4.86543272,0.00028299,0.00002657,0.00003395,0.00000440,0.00005395,0.00005571,0.00019149
4.87143572,0.00019977,0.00001880,0.00002394,0.00000309,0.00003811,0.00003917,0.00013519
4.87743872,0.00014004,0.00001320,0.00001676,0.00000216,0.00002674,0.00002735,0.00009477
4.88344172,0.00009747,0.00000921,0.00001165,0.00000149,0.00001862,0.00001897,0.00006597
4.88944472,0.00006737,0.00000637,0.00000804,0.00000103,0.00001288,0.00001307,0.00004560
4.89544772,0.00004623,0.00000438,0.00000551,0.00000070,0.00000884,0.00000895,0.00003129
4.90145073,0.00003151,0.00000299,0.00000375,0.00000048,0.00000603,0.00000608,0.00002132
4.90745373,0.00002132,0.00000203,0.00000254,0.00000032,0.00000408,0.00000410,0.00001443
4.91345673,0.00001432,0.00000136,0.00000170,0.00000022,0.00000274,0.00000275,0.00000969
