energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-5.86193097,4.63445000,0.10401913,0.58292194,1.11377634,1.12185948,0.37816597,0.00000000,0.03781713,1.39393006
-5.85592796,4.82336201,0.10856285,0.60610378,1.16168127,1.17107064,0.39709485,0.00000000,0.03834123,1.45027684
-5.84992496,5.00717550,0.11291188,0.62849189,1.20731077,1.21886712,0.41524827,0.00000000,0.03878428,1.50519373
-5.84392196,5.18248606,0.11698305,0.64961550,1.24984332,1.26435665,0.43230285,0.00000000,0.03912444,1.55774264
-5.83791896,5.34604272,0.12069846,0.66903950,1.28851156,1.30668704,0.44794702,0.00000000,0.03934451,1.60701039
-5.83191596,5.49483168,0.12398797,0.68637445,1.32262214,1.34506879,0.46188935,0.00000000,0.03943234,1.65213384
-5.82591296,5.62615461,0.12679142,0.70128516,1.35157360,1.37879631,0.47386653,0.00000000,0.03938116,1.69232448
-5.81990995,5.73769872,0.12906065,0.71349763,1.37487151,1.40726695,0.48365079,0.00000000,0.03918970,1.72689132
-5.81390695,5.82759640,0.13076103,0.72280404,1.39214070,1.42999721,0.49105645,0.00000000,0.03886213,1.75526149
-5.80790395,5.89447236,0.13187256,0.72906592,1.40313403,1.44663552,0.49594543,0.00000000,0.03840792,1.77699760
-5.80190095,5.93747697,0.13239045,0.73221520,1.40773762,1.45697114,0.49823144,0.00000000,0.03784152,1.79181150
-5.79589795,5.95630477,0.13232518,0.73225337,1.40597256,1.46093899,0.49788277,0.00000000,0.03718187,1.79957378
-5.78989495,5.95119823,0.13170195,0.72924890,1.39799323,1.45862011,0.49492352,0.00000000,0.03645186,1.80031896
-5.78389195,5.92293687,0.13055961,0.72333300,1.38408253,1.45023802,0.48943332,0.00000000,0.03567769,1.79424618
-5.77788894,5.87281277,0.12894915,0.71469400,1.36464436,1.43615100,0.48154548,0.00000000,0.03488819,1.78171557
-5.77188594,5.80259409,0.12693168,0.70357081,1.34019393,1.41684085,0.47144366,0.00000000,0.03411407,1.76324059
-5.76588294,5.71447810,0.12457611,0.69024552,1.31134633,1.39289847,0.45935733,0.00000000,0.03338725,1.73947678
