energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,3.01607205,2.14286177,0.56134318,0.80721057,0.00825133,0.21768819,0.62408449
-5.99399700,2.93647989,2.04481830,0.54481122,0.78679279,0.00832263,0.21206856,0.59205331
-5.98799400,2.85596730,1.94628405,0.52825376,0.76563360,0.00838037,0.20720783,0.56074628
-5.98199100,2.77585789,1.84844432,0.51200856,0.74382468,0.00842483,0.20333151,0.53072818
-5.97598799,2.69735179,1.75239006,0.49638116,0.72145439,0.00845626,0.20063663,0.50250847
-5.96998499,2.62149977,1.65909695,0.48163719,0.69860924,0.00847492,0.19928492,0.47652821
-5.96398199,2.54918271,1.56940881,0.46799613,0.67537544,0.00848104,0.19939718,0.45314930
-5.95797899,2.48109663,1.48402567,0.45562666,0.65184028,0.00847484,0.20104878,0.43264630
-5.95197599,2.41774352,1.40349666,0.44464371,0.62809333,0.00845655,0.20426660,0.41520118
-5.94597299,2.35942780,1.32821748,0.43510714,0.60422717,0.00842634,0.20902746,0.40090095
-5.93996998,2.30625837,1.25843252,0.42702216,0.58033792,0.00838439,0.21525816,0.38973829
-5.93396698,2.25815592,1.19424102,0.42034133,0.55652515,0.00833083,0.22283722,0.38161491
-5.92796398,2.21486529,1.13560693,0.41496810,0.53289157,0.00826576,0.23159813,0.37634773
-5.92196098,2.17597232,1.08237197,0.41076166,0.50954225,0.00818925,0.24133426,0.37367735
-5.91595798,2.14092506,1.03427132,0.40754314,0.48658362,0.00810130,0.25180513,0.37327866
-5.90995498,2.10905856,0.99095132,0.40510275,0.46412237,0.00800190,0.26274396,0.37477314
-5.90395198,2.07962283,0.95198865,0.40320778,0.44226421,0.00789100,0.27386617,0.37774252
-5.89794897,2.05181324,0.91691032,0.40161125,0.42111289,0.00776853,0.28487868,0.38174318
-5.89194597,2.02480259,0.88521402,0.40006085,0.40076927,0.00763445,0.29548956,0.38632108
-5.88594297,1.99777401,0.85638815,0.39830794,0.38133075,0.00748875,0.30541775,0.39102646
-5.87993997,1.96995354,0.82993105,0.39611639,0.36289109,0.00733152,0.31440250,0.39542803
-5.87393697,1.94064152,0.80536888,0.39327089,0.34554043,0.00716299,0.32221206,0.39912619
-5.86793397,1.90924149,0.78227179,0.38958444,0.32936571,0.00698357,0.32865143,0.40176478
-5.86193097,1.87528560,0.76026771,0.38490487,0.31445130,0.00679390,0.33356868,0.40304106
-5.85592796,1.83845543,0.73905368,0.37912002,0.30087965,0.00659488,0.33685970,0.40271365
-5.84992496,1.79859728,0.71840420,0.37216150,0.28873202,0.00638775,0.33847112,0.40060816
-5.84392196,1.75573129,0.69817652,0.36400679,0.27808891,0.00617404,0.33840125,0.39662038
-5.83791896,1.71005371,0.67831271,0.35467976,0.26903029,0.00595567,0.33669909,0.39071712
-5.83191596,1.66193237,0.65883850,0.34424945,0.26163521,0.00573486,0.33346132,0.38293449
-5.82591296,1.61189519,0.63985906,0.33282728,0.25598108,0.00551417,0.32882756,0.37337411
-5.81990995,1.56061232,0.62155192,0.32056277,0.25214215,0.00529641,0.32297403,0.36219718
-5.81390695,1.50887253,0.60415726,0.30763799,0.25018750,0.00508462,0.31610586,0.34961688
