energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,0.81947442,-0.81946424,0.00153915,-0.00153874,0.13505512,-0.13505667,0.36531536,-0.36530672,0.32452702,-0.32453336,0.35221832,-0.35220697,0.00000000,-0.00000000,0.15324746,-0.15324112,0.04119845,-0.04119723
-5.99399700,0.85170380,-0.85169438,0.00125559,-0.00125524,0.14708465,-0.14708659,0.36518652,-0.36517624,0.35943192,-0.35943937,0.35215067,-0.35213904,0.00000000,-0.00000000,0.14926007,-0.14925348,0.04037900,-0.04037777
-5.98799400,0.89048380,-0.89047478,0.00101723,-0.00101694,0.16098521,-0.16098749,0.36628448,-0.36627249,0.39850155,-0.39851001,0.35344603,-0.35343394,0.00000000,-0.00000000,0.14574500,-0.14573809,0.03970352,-0.03970226
-5.98199100,0.93522569,-0.93521680,0.00081845,-0.00081821,0.17666980,-0.17667238,0.36846768,-0.36845400,0.44149264,-0.44150198,0.35585372,-0.35584107,0.00000000,-0.00000000,0.14259741,-0.14259014,0.03914074,-0.03913943
-5.97598799,0.98533154,-0.98532260,0.00065397,-0.00065377,0.19403734,-0.19404020,0.37163771,-0.37162245,0.48810778,-0.48811789,0.35914731,-0.35913405,0.00000000,-0.00000000,0.13973149,-0.13972385,0.03866329,-0.03866192
-5.96998499,1.04018003,-1.04017092,0.00051893,-0.00051877,0.21296764,-0.21297074,0.37572980,-0.37571311,0.53798757,-0.53799833,0.36312239,-0.36310853,0.00000000,-0.00000000,0.13707955,-0.13707155,0.03824762,-0.03824619
-5.96398199,1.09911255,-1.09910323,0.00040893,-0.00040880,0.23331671,-0.23332003,0.38070211,-0.38068422,0.59070450,-0.59071577,0.36759363,-0.36757921,0.00000000,-0.00000000,0.13459041,-0.13458208,0.03787385,-0.03787237
-5.95797899,1.16142099,-1.16141147,0.00032002,-0.00031992,0.25491289,-0.25491638,0.38652479,-0.38650596,0.64575918,-0.64577081,0.37239144,-0.37237655,0.00000000,-0.00000000,0.13222739,-0.13221881,0.03752541,-0.03752390
-5.95197599,1.22633837,-1.22632868,0.00024872,-0.00024863,0.27755399,-0.27755763,0.39316910,-0.39314960,0.70257941,-0.70259123,0.37735874,-0.37734351,0.00000000,-0.00000000,0.12996608,-0.12995732,0.03718868,-0.03718714
-5.94597299,1.29303342,-1.29302362,0.00019197,-0.00019190,0.30100581,-0.30100957,0.40059753,-0.40057769,0.76052244,-0.76053430,0.38234816,-0.38233272,0.00000000,-0.00000000,0.12779204,-0.12778320,0.03685257,-0.03685103
