energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.69183586,0.03596284,0.08589727,1.24839804,0.22627901,0.07515119,2.68988856,0.72992242,0.26197088
-5.99399700,4.54843775,0.03527468,0.08359567,1.22980568,0.22582846,0.07133541,2.61041362,0.69871002,0.25219068
-5.98799400,4.41061853,0.03462403,0.08156858,1.20976222,0.22556624,0.06780541,2.53330988,0.66863110,0.24297366
-5.98199100,4.27832490,0.03399172,0.07980078,1.18834076,0.22546938,0.06454822,2.45859133,0.63979749,0.23431726
-5.97598799,4.15149117,0.03336055,0.07827126,1.16563818,0.22552396,0.06154737,2.38627776,0.61231691,0.22621372
-5.96998499,4.03006503,0.03271575,0.07695429,1.14177870,0.22572616,0.05878375,2.31640802,0.58629431,0.21865219
-5.96398199,3.91403086,0.03204545,0.07582056,1.11691644,0.22608286,0.05623643,2.24905160,0.56183282,0.21162077
-5.95797899,3.80342915,0.03134094,0.07483843,1.09123660,0.22661190,0.05388359,2.18431767,0.53903428,0.20510834
-5.95197599,3.69837081,0.03059691,0.07397525,1.06495518,0.22734174,0.05170340,2.12236097,0.51799906,0.19910596
-5.94597299,3.59904538,0.02981150,0.07319869,1.03831720,0.22831074,0.04967490,2.06338399,0.49882512,0.19360793
-5.93996998,3.50572253,0.02898625,0.07247797,1.01159324,0.22956574,0.04777872,2.00763536,0.48160629,0.18861233
-5.93396698,3.41874666,0.02812601,0.07178508,0.98507459,0.23116029,0.04599775,1.95540405,0.46642967,0.18412116
-5.92796398,3.33852471,0.02723861,0.07109588,0.95906686,0.23315226,0.04431767,1.90700996,0.45337235,0.18013986
-5.92196098,3.26550768,0.02633453,0.07039094,0.93388249,0.23560109,0.04272733,1.86279099,0.44249754,0.17667650
-5.91595798,3.20016683,0.02542652,0.06965628,0.90983233,0.23856467,0.04121896,1.82308731,0.43385028,0.17374052
-5.90995498,3.14296569,0.02452904,0.06888381,0.88721660,0.24209602,0.03978821,1.78822359,0.42745308,0.17134119
-5.90395198,3.09432931,0.02365776,0.06807151,0.86631564,0.24623984,0.03843408,1.75849010,0.42330168,0.16948579
-5.89794897,3.05461234,0.02282894,0.06722338,0.84738081,0.25102910,0.03715864,1.73412358,0.42136120,0.16817776
-5.89194597,3.02406771,0.02205889,0.06634911,0.83062596,0.25648188,0.03596662,1.71528889,0.42156304,0.16741484
-5.88594297,3.00281736,0.02136334,0.06546344,0.81621976,0.26259848,0.03486494,1.70206252,0.42380281,0.16718730
-5.87993997,2.99082686,0.02075688,0.06458538,0.80427933,0.26935907,0.03386205,1.69441868,0.42793932,0.16747643
-5.87393697,2.98788509,0.02025238,0.06373714,0.79486539,0.27672201,0.03296725,1.69221884,0.43379500,0.16825336
-5.86793397,2.99359031,0.01986053,0.06294295,0.78797913,0.28462281,0.03218997,1.69520537,0.44115770,0.16947830
-5.86193097,3.00734330,0.01958937,0.06222778,0.78356099,0.29297404,0.03153902,1.70299950,0.44978391,0.17110017
-5.85592796,3.02834819,0.01944390,0.06161598,0.78149137,0.30166605,0.03102186,1.71510403,0.45940332,0.17305691
-5.84992496,3.05562110,0.01942584,0.06112997,0.78159324,0.31056856,0.03064390,1.73091060,0.46972459,0.17527606
-5.84392196,3.08800621,0.01953340,0.06078895,0.78363656,0.31953319,0.03040794,1.74971129,0.48044203,0.17767610
-5.83791896,3.12419880,0.01976118,0.06060776,0.78734423,0.32839675,0.03031360,1.77071415,0.49124303,0.18016801
-5.83191596,3.16277429,0.02010023,0.06059593,0.79239953,0.33698513,0.03035705,1.79306196,0.50181578,0.18265739
-5.82591296,3.20222198,0.02053818,0.06075691,0.79845442,0.34511791,0.03053070,1.81585345,0.51185710,0.18504682
-5.81990995,3.24098221,0.02105946,0.06108758,0.80513869,0.35261314,0.03082317,1.83816612,0.52107979,0.18723838
-5.81390695,3.27748540,0.02164573,0.06157801,0.81206938,0.35929248,0.03121940,1.85907970,0.52921954,0.18913637
-5.80790395,3.31019128,0.02227629,0.06221156,0.81886026,0.36498619,0.03170088,1.87769936,0.53604074,0.19064989
-5.80190095,3.33762702,0.02292870,0.06296511,0.82513094,0.36953800,0.03224610,1.89317771,0.54134119,0.19169540
-5.79589795,3.35842266,0.02357938,0.06380976,0.83051545,0.37280954,0.03283108,1.90473493,0.54495558,0.19219897
-5.78989495,3.37134275,0.02420434,0.06471160,0.83466997,0.37468422,0.03343006,1.91167619,0.54675742,0.19209825
-5.78389195,3.37531323,0.02477987,0.06563280,0.83727954,0.37507037,0.03401623,1.91340606,0.54665977,0.19134399
-5.77788894,3.36944281,0.02528331,0.06653273,0.83806365,0.37390364,0.03456256,1.90943942,0.54461450,0.18990119
-5.77188594,3.35303850,0.02569372,0.06736937,0.83678075,0.37114845,0.03504263,1.89940888,0.54061046,0.18774968
-5.76588294,3.32561516,0.02599254,0.06810061,0.83323147,0.36679861,0.03543148,1.88306849,0.53467067,0.18488434
-5.75987994,3.28689915,0.02616417,0.06868567,0.82726086,0.36087697,0.03570634,1.86029422,0.52684871,0.18131472
-5.75387694,3.23682656,0.02619641,0.06908643,0.81875947,0.35343428,0.03584738,1.83108120,0.51722471,0.17706435
-5.74787394,3.17553643,0.02608080,0.06926864,0.80766362,0.34454731,0.03583827,1.79553838,0.50590099,0.17216960
-5.74187094,3.10335969,0.02581287,0.06920305,0.79395479,0.33431621,0.03566664,1.75388080,0.49299778,0.16667825
-5.73586793,3.02080456,0.02539213,0.06886633,0.77765833,0.32286149,0.03532443,1.70642017,0.47864907,0.16064785
-5.72986493,2.92853910,0.02482205,0.06824176,0.75884158,0.31032047,0.03480803,1.65355404,0.46299884,0.15414393
-5.72386193,2.82737169,0.02410980,0.06731976,0.73761146,0.29684354,0.03411827,1.59575415,0.44619777,0.14723803
-5.71785893,2.71823009,0.02326591,0.06609810,0.71411163,0.28259035,0.03326033,1.53355420,0.42840040,0.14000586
-5.71185593,2.60213973,0.02230385,0.06458194,0.68851926,0.26772587,0.03224342,1.46753754,0.40976290,0.13252542
-5.70585293,2.48020158,0.02123945,0.06278360,0.66104137,0.25241678,0.03108037,1.39832483,0.39044130,0.12487526
-5.69984992,2.35357028,0.02009035,0.06072215,0.63191094,0.23682791,0.02978716,1.32656207,0.37059008,0.11713290
-5.69384692,2.22343266,0.01887535,0.05842278,0.60138255,0.22111915,0.02838230,1.25290906,0.35036115,0.10937340
-5.68784392,2.09098703,0.01761381,0.05591604,0.56972783,0.20544263,0.02688625,1.17802839,0.32990307,0.10166821
-5.68184092,1.95742355,0.01632504,0.05323692,0.53723064,0.18994038,0.02532071,1.10257508,0.30936029,0.09408414
-5.67583792,1.82390571,0.01502774,0.05042391,0.50418198,0.17474245,0.02370806,1.02718693,0.28887255,0.08668261
-5.66983492,1.69155334,0.01373953,0.04751793,0.47087487,0.15996548,0.02207068,0.95247569,0.26857409,0.07951910
-5.66383192,1.56142719,0.01247657,0.04456134,0.43759912,0.14571171,0.02043040,0.87901904,0.24859293,0.07264279
-5.65782891,1.43451531,0.01125318,0.04159691,0.40463626,0.13206849,0.01880805,0.80735351,0.22904992,0.06609636
-5.65182591,1.31172148,0.01008171,0.03866684,0.37225466,0.11910816,0.01722301,0.73796849,0.21005779,0.05991596
-5.64582291,1.19385578,0.00897235,0.03581197,0.34070500,0.10688838,0.01569288,0.67130127,0.19172012,0.05413135
