energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,7.11646064,0.01221393,1.00717682,3.00908187,1.58656949,1.16626273,0.33349512,0.11398003,2.64988220
-5.99399700,7.12290629,0.01229276,0.99576293,2.98364721,1.59119868,1.15947154,0.33365510,0.12000541,2.66253789
-5.98799400,7.12909323,0.01247100,0.98470961,2.95259467,1.59685873,1.14808559,0.33402932,0.12675080,2.67424517
-5.98199100,7.13559839,0.01274824,0.97421309,2.91641400,1.60365399,1.13236072,0.33464280,0.13417180,2.68517628
-5.97598799,7.14275752,0.01312171,0.96442125,2.87562440,1.61160242,1.11262286,0.33550777,0.14220151,2.69543545
-5.96998499,7.15064175,0.01358625,0.95542930,2.83076186,1.62063151,1.08925912,0.33662282,0.15075065,2.70504860
-5.96398199,7.15904161,0.01413444,0.94727696,2.78236526,1.63057702,1.06270726,0.33797217,0.15970854,2.71395546
-5.95797899,7.16746041,0.01475673,0.93994735,2.73096205,1.64118485,1.03344373,0.33952552,0.16894472,2.72200481
-5.95197599,7.17511890,0.01544166,0.93336771,2.67705437,1.65211640,1.00197096,0.34123829,0.17831154,2.72895376
-5.94597299,7.18097261,0.01617608,0.92741233,2.62110649,1.66295754,0.96880432,0.34305250,0.18764733,2.73447161
-5.93996998,7.18374283,0.01694552,0.92190747,2.56353456,1.67323127,0.93445948,0.34489828,0.19678043,2.73814887
-5.93396698,7.18196143,0.01773449,0.91663847,2.50469938,1.68241378,0.89944060,0.34669615,0.20553377,2.73951148
-5.92796398,7.17402873,0.01852691,0.91135879,2.44490278,1.68995375,0.86422982,0.34835983,0.21372995,2.73804017
-5.92196098,7.15828285,0.01930655,0.90580073,2.38438804,1.69529403,0.82927855,0.34979975,0.22119655,2.73319418
-5.91595798,7.13307785,0.02005748,0.89968746,2.32334422,1.69789516,0.79500060,0.35092697,0.22777164,2.72443865
-5.90995498,7.09686738,0.02076453,0.89274587,2.26191426,1.69725947,0.76176757,0.35165739,0.23330906,2.71127413
-5.90395198,7.04828943,0.02141370,0.88471964,2.20020626,1.69295491,0.72990620,0.35191611,0.23768340,2.69326690
-5.89794897,6.98624788,0.02199262,0.87538190,2.13830698,1.68463730,0.69969773,0.35164148,0.24079432,2.67007819
-5.89194597,6.90998600,0.02249090,0.86454686,2.07629672,1.67206971,0.67137892,0.35078887,0.24257009,2.64149060
-5.88594297,6.81914743,0.02290039,0.85207977,2.01426417,1.65513813,0.64514445,0.34933373,0.24297023,2.60742999
-5.87993997,6.71382052,0.02321541,0.83790468,1.95232033,1.63386218,0.62115024,0.34727377,0.24198684,2.56798129
-5.87393697,6.59456306,0.02343290,0.82200950,1.89061018,1.60840041,0.59951729,0.34463007,0.23964495,2.52339701
-5.86793397,6.46240505,0.02355238,0.80444812,1.82932122,1.57904952,0.58033567,0.34144708,0.23600150,2.47409764
-5.86193097,6.31882876,0.02357587,0.78533948,1.76868827,1.54623752,0.56366819,0.33779136,0.23114314,2.42066369
-5.85592796,6.16572667,0.02350777,0.76486348,1.70899400,1.51051108,0.54955358,0.33374919,0.22518307,2.36381941
-5.84992496,6.00533892,0.02335449,0.74325416,1.65056516,1.47251746,0.53800879,0.32942302,0.21825675,2.30440896
-5.84392196,5.84017352,0.02312416,0.72079034,1.59376481,1.43298211,0.52903053,0.32492714,0.21051704,2.24336629
-5.83791896,5.67291344,0.02282624,0.69778437,1.53898109,1.39268286,0.52259577,0.32038256,0.20212874,2.18168002
-5.83191596,5.50631549,0.02247100,0.67456959,1.48661332,1.35242226,0.51866155,0.31591163,0.19326290,2.12035555
-5.82591296,5.34310636,0.02206913,0.65148718,1.43705656,1.31299916,0.51716401,0.31163250,0.18409112,2.06037601
-5.81990995,5.18588148,0.02163127,0.62887316,1.39068573,1.27518139,0.51801706,0.30765384,0.17478012,2.00266454
-5.81390695,5.03701198,0.02116759,0.60704624,1.34784048,1.23968054,0.52111092,0.30407011,0.16548676,1.94804951
-5.80790395,4.89856441,0.02068744,0.58629712,1.30881195,1.20713042,0.52631069,0.30095765,0.15635374,1.89723474
-5.80190095,4.77223746,0.02019902,0.56687988,1.27383242,1.17807002,0.53345542,0.29837172,0.14750612,1.85077599
-5.79589795,4.65931839,0.01970921,0.54900572,1.24306872,1.15293185,0.54235784,0.29634478,0.13904876,1.80906487
-5.78989495,4.56066102,0.01922341,0.53283946,1.21661988,1.13203607,0.55280489,0.29488601,0.13106470,1.77232087
-5.78389195,4.47668589,0.01874547,0.51849878,1.19451927,1.11559068,0.56455940,0.29398204,0.12361455,1.74059149
-5.77788894,4.40740182,0.01827780,0.50605616,1.17674140,1.10369745,0.57736278,0.29359893,0.11673675,1.71376042
-5.77188594,4.35244710,0.01782140,0.49554339,1.16321278,1.09636322,0.59093889,0.29368516,0.11044872,1.69156297
-5.76588294,4.31114760,0.01737610,0.48695807,1.15382658,1.09351583,0.60499901,0.29417551,0.10474862,1.67360770
-5.75987994,4.28258819,0.01694076,0.48027190,1.14846005,1.09502372,0.61924774,0.29499561,0.09961778,1.65940315
-5.75387694,4.26569338,0.01651355,0.47543995,1.14699386,1.10071808,0.63338973,0.29606678,0.09502345,1.64838791
-5.74787394,4.25931279,0.01609224,0.47241056,1.14933217,1.11041630,0.64713692,0.29731104,0.09092185,1.63996270
-5.74187094,4.26230693,0.01567443,0.47113496,1.15542236,1.12394559,0.66021622,0.29865600,0.08726127,1.63352284
-5.73586793,4.27362888,0.01525792,0.47157626,1.16527301,1.14116528,0.67237710,0.30003923,0.08398513,1.62848948
-5.72986493,4.29239798,0.01484087,0.47371708,1.17896922,1.16198680,0.68339902,0.30141213,0.08103481,1.62433839
-5.72386193,4.31796178,0.01442205,0.47756537,1.19668400,1.18639027,0.69309831,0.30274292,0.07835228,1.62062505
-5.71785893,4.34994360,0.01400105,0.48315803,1.21868492,1.21443658,0.70133418,0.30401880,0.07588231,1.61700512
-5.71185593,4.38827332,0.01357833,0.49056199,1.24533516,1.24627450,0.70801374,0.30524708,0.07357426,1.61324951
-5.70585293,4.43320006,0.01315535,0.49987262,1.27708854,1.28214210,0.71309561,0.30645528,0.07138346,1.60925381
-5.69984992,4.48528629,0.01273457,0.51120949,1.31447806,1.32236228,0.71659206,0.30769032,0.06927216,1.60504169
-5.69384692,4.54538333,0.01231946,0.52470940,1.35809815,1.36733245,0.71856956,0.30901679,0.06721005,1.60076244
-5.68784392,4.61458948,0.01191437,0.54051722,1.40858076,1.41750838,0.71914745,0.31051442,0.06517440,1.59668293
-5.68184092,4.69419248,0.01152450,0.55877462,1.46656584,1.47338298,0.71849498,0.31227491,0.06314988,1.59317449
-5.67583792,4.78559853,0.01115570,0.57960744,1.53266725,1.53546045,0.71682653,0.31439834,0.06112810,1.59069526
-5.66983492,4.89025107,0.01081432,0.60311217,1.60743512,1.60422694,0.71439518,0.31698923,0.05910697,1.58976907
-5.66383192,5.00954274,0.01050703,0.62934232,1.69131612,1.68011875,0.71148489,0.32015252,0.05708983,1.59096135
