energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,5.54355727,1.27735827,0.01721762,2.44018174,4.50881807,0.24287786,0.00000000
-5.99399700,5.47737416,1.26857905,0.01711717,2.42220295,4.44998170,0.23619508,0.00000000
-5.98799400,5.40991776,1.26279082,0.01699835,2.41071068,4.38706708,0.23005634,0.00000000
-5.98199100,5.34267868,1.25989780,0.01686769,2.40613902,4.32153969,0.22448243,0.00000000
-5.97598799,5.27719675,1.25977423,0.01673201,2.40881437,4.25495193,0.21948569,0.00000000
-5.96998499,5.21500796,1.26226924,0.01659815,2.41894234,4.18888976,0.21507009,0.00000000
-5.96398199,5.15758760,1.26721083,0.01647268,2.43659542,4.12491593,0.21123132,0.00000000
-5.95797899,5.10629286,1.27440887,0.01636166,2.46170224,4.06451276,0.20795675,0.00000000
-5.95197599,5.06230794,1.28365728,0.01627034,2.49403952,4.00902724,0.20522539,0.00000000
-5.94597299,5.02659478,1.29473564,0.01620298,2.53322762,3.95962147,0.20300808,0.00000000
-5.93996998,4.99985209,1.30741034,0.01616264,2.57873056,3.91723066,0.20126767,0.00000000
-5.93396698,4.98248501,1.32143547,0.01615106,2.62986110,3.88253085,0.19995957,0.00000000
-5.92796398,4.97458688,1.33655376,0.01616857,2.68579126,3.85591778,0.19903250,0.00000000
-5.92196098,4.97593424,1.35249770,0.01621408,2.74556838,3.83749783,0.19842949,0.00000000
-5.91595798,4.98599537,1.36899092,0.01628513,2.80813644,3.82709123,0.19808927,0.00000000
-5.90995498,5.00395171,1.38575022,0.01637797,2.87236209,3.82424712,0.19794780,0.00000000
-5.90395198,5.02873132,1.40248798,0.01648777,2.93706452,3.82826965,0.19794005,0.00000000
-5.89794897,5.05905255,1.41891532,0.01660875,3.00104798,3.83825349,0.19800193,0.00000000
-5.89194597,5.09347584,1.43474581,0.01673450,3.06313571,3.85312706,0.19807223,0.00000000
-5.88594297,5.13046105,1.44969971,0.01685821,3.12220363,3.87170111,0.19809454,0.00000000
-5.87993997,5.16842775,1.46350871,0.01697294,3.17721253,3.89272048,0.19801902,0.00000000
