energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.51190935,0.03866246,0.46528512,1.61427576,1.29638243,1.12086522,0.00000000,0.60620549,0.05854281
-5.99399700,3.31689025,0.03795939,0.43732111,1.49008467,1.24665718,1.05583749,0.00000000,0.56936316,0.05343815
-5.98799400,3.13618196,0.03753026,0.41120604,1.37078071,1.20295070,0.99481666,0.00000000,0.53492770,0.04865326
-5.98199100,2.97235589,0.03740497,0.38728189,1.25746116,1.16635578,0.93862125,0.00000000,0.50334906,0.04420131
-5.97598799,2.82758644,0.03760724,0.36583601,1.15105362,1.13779838,0.88795000,0.00000000,0.47500578,0.04009184
-5.96998499,2.70360221,0.03815347,0.34709551,1.05230826,1.11801020,0.84336721,0.00000000,0.45019841,0.03633077
-5.96398199,2.60164851,0.03905192,0.33122328,0.96179468,1.10750599,0.80529166,0.00000000,0.42914495,0.03292038
-5.95797899,2.52246216,0.04030194,0.31831547,0.87990310,1.10656683,0.77398927,0.00000000,0.41197841,0.02985938
-5.95197599,2.46625935,0.04189353,0.30840073,0.80684960,1.11522955,0.74956987,0.00000000,0.39874643,0.02714307
-5.94597299,2.43273724,0.04380709,0.30144106,0.74268509,1.13328305,0.73198802,0.00000000,0.38941306,0.02476354
-5.93996998,2.42108927,0.04601348,0.29733436,0.68730760,1.16027176,0.72104805,0.00000000,0.38386257,0.02270997
-5.93396698,2.43003412,0.04847435,0.29591856,0.64047749,1.19550614,0.71641306,0.00000000,0.38190534,0.02096892
-5.92796398,2.45785759,0.05114286,0.29697731,0.60183500,1.23808039,0.71761788,0.00000000,0.38328547,0.01952481
-5.92196098,2.50246654,0.05396456,0.30024689,0.57091970,1.28689662,0.72408555,0.00000000,0.38769026,0.01836028
-5.91595798,2.56145343,0.05687871,0.30542446,0.54719137,1.34069532,0.73514692,0.00000000,0.39476099,0.01745674
-5.90995498,2.63216984,0.05981972,0.31217707,0.53005168,1.39809087,0.75006292,0.00000000,0.40410501,0.01679482
-5.90395198,2.71180676,0.06271895,0.32015151,0.51886622,1.45761139,0.76804878,0.00000000,0.41530867,0.01635493
-5.89794897,2.79747946,0.06550654,0.32898449,0.51298647,1.51774150,0.78829967,0.00000000,0.42795085,0.01611771
-5.89194597,2.88631418,0.06811344,0.33831297,0.51177101,1.57696669,0.81001674,0.00000000,0.44161658,0.01606458
-5.88594297,2.97553414,0.07047342,0.34778426,0.51460577,1.63381775,0.83243303,0.00000000,0.45591050,0.01617818
-5.87993997,3.06254192,0.07252510,0.35706566,0.52092267,1.68691386,0.85483822,0.00000000,0.47046963,0.01644276
-5.87393697,3.14499560,0.07421377,0.36585331,0.53021638,1.73500261,0.87660154,0.00000000,0.48497512,0.01684460
-5.86793397,3.22087615,0.07549315,0.37387995,0.54205880,1.77699573,0.89719188,0.00000000,0.49916255,0.01737233
-5.86193097,3.28854370,0.07632673,0.38092144,0.55611086,1.81199911,0.91619472,0.00000000,0.51283043,0.01801713
-5.85592796,3.34678095,0.07668896,0.38680177,0.57213150,1.83933611,0.93332488,0.00000000,0.52584660,0.01877300
-5.84992496,3.39482208,0.07656594,0.39139646,0.58998335,1.85856336,0.94843494,0.00000000,0.53815227,0.01963680
-5.84392196,3.43236650,0.07595578,0.39463428,0.60963520,1.86947856,0.96151882,0.00000000,0.54976353,0.02060836
-5.83791896,3.45957673,0.07486855,0.39649729,0.63116078,1.87212009,0.97271037,0.00000000,0.56077017,0.02169039
-5.83191596,3.47706085,0.07332581,0.39701917,0.65473407,1.86675867,0.98227696,0.00000000,0.57133179,0.02288838
-5.82591296,3.48584015,0.07135976,0.39628209,0.68062095,1.85388149,0.99060820,0.00000000,0.58167135,0.02421038
-5.81990995,3.48730306,0.06901205,0.39441207,0.70916721,1.83416963,0.99820016,0.00000000,0.59206606,0.02566674
-5.81390695,3.48314719,0.06633228,0.39157322,0.74078325,1.80846982,1.00563537,0.00000000,0.60283612,0.02726964
-5.80790395,3.47531145,0.06337636,0.38796104,0.77592550,1.77776167,1.01355935,0.00000000,0.61433126,0.02903267
-5.80190095,3.46590040,0.06020458,0.38379488,0.81507503,1.74312171,1.02265432,0.00000000,0.62691578,0.03097018
-5.79589795,3.45710354,0.05687971,0.37931011,0.85871380,1.70568568,1.03361083,0.00000000,0.64095221,0.03309665
-5.78989495,3.45111197,0.05346509,0.37474995,0.90729912,1.66661038,1.04709822,0.00000000,0.65678425,0.03542591
-5.78389195,3.45003515,0.05002276,0.37035746,0.96123693,1.62703638,1.06373491,0.00000000,0.67471949,0.03797028
-5.77788894,3.45582036,0.04661176,0.36636776,1.02085499,1.58805285,1.08405944,0.00000000,0.69501251,0.04073972
-5.77188594,3.47017741,0.04328660,0.36300079,1.08637656,1.55066548,1.10850326,0.00000000,0.71784883,0.04374091
-5.76588294,3.49451093,0.04009603,0.36045469,1.15789590,1.51576846,1.13736628,0.00000000,0.74333061,0.04697633
-5.75987994,3.52986246,0.03708200,0.35890012,1.23535642,1.48412112,1.17079621,0.00000000,0.77146448,0.05044342
-5.75387694,3.57686435,0.03427902,0.35847544,1.31853270,1.45632985,1.20877246,0.00000000,0.80215223,0.05413382
-5.74787394,3.63570704,0.03171370,0.35928297,1.40701735,1.43283556,1.25109555,0.00000000,0.83518490,0.05803275
-5.74187094,3.70612104,0.02940467,0.36138643,1.50021362,1.41390686,1.29738258,0.00000000,0.87024075,0.06211856
-5.73586793,3.78737470,0.02736271,0.36480947,1.59733462,1.39963898,1.34706935,0.00000000,0.90688738,0.06636253
-5.72986493,3.87828794,0.02559121,0.36953541,1.69740955,1.38995819,1.39941931,0.00000000,0.94458843,0.07072890
-5.72386193,3.97726219,0.02408672,0.37550814,1.79929741,1.38463159,1.45353944,0.00000000,0.98271464,0.07517528
-5.71785893,4.08232579,0.02283979,0.38263415,1.90170795,1.38328161,1.50840284,0.00000000,1.02055933,0.07965326
-5.71185593,4.19119364,0.02183585,0.39078562,2.00322972,1.38540489,1.56287733,0.00000000,1.05735784,0.08410943
-5.70585293,4.30133955,0.02105626,0.39980449,2.10236418,1.39039472,1.61575941,0.00000000,1.09231041,0.08848663
-5.69984992,4.41007867,0.02047932,0.40950738,2.19756508,1.39756639,1.66581234,0.00000000,1.12460770,0.09272551
-5.69384692,4.51465745,0.02008132,0.41969121,2.28728156,1.40618455,1.71180692,0.00000000,1.15345799,0.09676628
-5.68784392,4.61234767,0.01983761,0.43013942,2.37000339,1.41549166,1.75256353,0.00000000,1.17811502,0.10055058
-5.68184092,4.70054107,0.01972347,0.44062856,2.44430650,1.42473664,1.78699362,0.00000000,1.19790527,0.10402347
