energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.00517045,-1.00517044,0.00079484,-0.00079483,0.10076314,-0.10076317,0.41724234,-0.41724234,0.47136992,-0.47136992,0.46505602,-0.46505600,0.00000000,-0.00000000,0.25700812,-0.25700812,0.08782237,-0.08782237
-5.99399700,1.02547570,-1.02547570,0.00071508,-0.00071507,0.10748039,-0.10748042,0.42035078,-0.42035080,0.48827513,-0.48827513,0.46844626,-0.46844624,0.00000000,-0.00000000,0.25732335,-0.25732334,0.08792746,-0.08792746
-5.98799400,1.05096034,-1.05096034,0.00064517,-0.00064516,0.11589217,-0.11589221,0.42551365,-0.42551368,0.50887735,-0.50887736,0.47244146,-0.47244143,0.00000000,-0.00000000,0.25755142,-0.25755141,0.08798986,-0.08798985
-5.98199100,1.08115483,-1.08115483,0.00058338,-0.00058338,0.12589014,-0.12589020,0.43242966,-0.43242969,0.53294217,-0.53294218,0.47689712,-0.47689708,0.00000000,-0.00000000,0.25764322,-0.25764320,0.08800288,-0.08800287
-5.97598799,1.11559391,-1.11559391,0.00052828,-0.00052828,0.13735898,-0.13735904,0.44080654,-0.44080658,0.56022058,-0.56022059,0.48168126,-0.48168121,0.00000000,-0.00000000,0.25756271,-0.25756269,0.08796560,-0.08796558
-5.96998499,1.15381572,-1.15381572,0.00047874,-0.00047874,0.15017759,-0.15017766,0.45036440,-0.45036444,0.59044749,-0.59044750,0.48667298,-0.48667292,0.00000000,-0.00000000,0.25728568,-0.25728565,0.08788203,-0.08788201
-5.96398199,1.19536163,-1.19536163,0.00043385,-0.00043385,0.16422071,-0.16422078,0.46083893,-0.46083897,0.62334098,-0.62334100,0.49176088,-0.49176081,0.00000000,-0.00000000,0.25679838,-0.25679834,0.08776025,-0.08776023
-5.95797899,1.23977741,-1.23977740,0.00039292,-0.00039292,0.17936077,-0.17936085,0.47198465,-0.47198469,0.65860299,-0.65860301,0.49684201,-0.49684193,0.00000000,-0.00000000,0.25609624,-0.25609620,0.08761150,-0.08761148
-5.95197599,1.28661629,-1.28661628,0.00035545,-0.00035545,0.19547017,-0.19547025,0.48357824,-0.48357827,0.69592159,-0.69592161,0.50182114,-0.50182104,0.00000000,-0.00000000,0.25518264,-0.25518259,0.08744930,-0.08744928
-5.94597299,1.33544406,-1.33544404,0.00032109,-0.00032109,0.21242389,-0.21242397,0.49542190,-0.49542192,0.73497500,-0.73497503,0.50661084,-0.50661074,0.00000000,-0.00000000,0.25406795,-0.25406789,0.08728875,-0.08728873
-5.93996998,1.38584609,-1.38584606,0.00028960,-0.00028960,0.23010227,-0.23010235,0.50734676,-0.50734677,0.77543750,-0.77543753,0.51113218,-0.51113207,0.00000000,-0.00000000,0.25276880,-0.25276873,0.08714587,-0.08714584
-5.93396698,1.43743599,-1.43743595,0.00026084,-0.00026084,0.24839400,-0.24839409,0.51921616,-0.51921616,0.81698669,-0.81698672,0.51531607,-0.51531595,0.00000000,-0.00000000,0.25130757,-0.25130750,0.08703708,-0.08703705
-5.92796398,1.48986525,-1.48986521,0.00023473,-0.00023473,0.26719892,-0.26719901,0.53092843,-0.53092843,0.85931199,-0.85931202,0.51910504,-0.51910492,0.00000000,-0.00000000,0.24971205,-0.24971198,0.08697890,-0.08697888
-5.92196098,1.54283298,-1.54283293,0.00021126,-0.00021126,0.28643061,-0.28643070,0.54241912,-0.54241910,0.90212365,-0.90212368,0.52245535,-0.52245522,0.00000000,-0.00000000,0.24801518,-0.24801510,0.08698767,-0.08698765
-5.91595798,1.59609478,-1.59609472,0.00019042,-0.00019042,0.30601846,-0.30601855,0.55366219,-0.55366215,0.94516167,-0.94516171,0.52533895,-0.52533881,0.00000000,-0.00000000,0.24625475,-0.24625467,0.08707936,-0.08707934
