energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.02961853,0.00390416,0.00005132,0.00130786,0.00606972,0.01416466,0.00518315
-5.99399700,0.02370645,0.00311179,0.00004097,0.00104702,0.00489882,0.01137922,0.00416556
-5.98799400,0.01890241,0.00246281,0.00003252,0.00083513,0.00396334,0.00913206,0.00334532
-5.98199100,0.01505340,0.00193575,0.00002569,0.00066545,0.00323609,0.00735417,0.00269740
-5.97598799,0.01202622,0.00151136,0.00002023,0.00053211,0.00269510,0.00598708,0.00220064
-5.96998499,0.00970834,0.00117269,0.00001595,0.00043014,0.00232410,0.00498362,0.00183816
-5.96398199,0.00800850,0.00090498,0.00001264,0.00035552,0.00211303,0.00430852,0.00159751
-5.95797899,0.00685689,0.00069563,0.00001017,0.00030516,0.00205855,0.00393891,0.00147093
-5.95197599,0.00620540,0.00053400,0.00000841,0.00027691,0.00216461,0.00386488,0.00145560
-5.94597299,0.00602773,0.00041130,0.00000728,0.00026959,0.00244313,0.00409009,0.00155390
-5.93996998,0.00631976,0.00032037,0.00000670,0.00028294,0.00291473,0.00463243,0.00177370
-5.93396698,0.00709998,0.00025560,0.00000664,0.00031768,0.00360965,0.00552495,0.00212883
-5.92796398,0.00841021,0.00021269,0.00000709,0.00037549,0.00456876,0.00681672,0.00263942
-5.92196098,0.01031654,0.00018859,0.00000805,0.00045904,0.00584467,0.00857402,0.00333247
-5.91595798,0.01291045,0.00018133,0.00000957,0.00057203,0.00750298,0.01088141,0.00424236
-5.90995498,0.01631009,0.00019002,0.00001168,0.00071919,0.00962351,0.01384299,0.00541143
-5.90395198,0.02066165,0.00021469,0.00001448,0.00090631,0.01230160,0.01758341,0.00689055
-5.89794897,0.02614064,0.00025636,0.00001806,0.00114025,0.01564927,0.02224892,0.00873960
-5.89194597,0.03295302,0.00031696,0.00002253,0.00142895,0.01979632,0.02800793,0.01102789
-5.88594297,0.04133603,0.00039941,0.00002804,0.00178137,0.02489112,0.03505130,0.01383447
-5.87993997,0.05155841,0.00050762,0.00003474,0.00220745,0.03110111,0.04359201,0.01724816
-5.87393697,0.06392007,0.00064658,0.00004280,0.00271805,0.03861283,0.05386419,0.02136741
-5.86793397,0.07875084,0.00082247,0.00005242,0.00332475,0.04763145,0.06612127,0.02629979
-5.86193097,0.09640824,0.00104271,0.00006380,0.00403975,0.05837959,0.08063332,0.03216118
-5.85592796,0.11727417,0.00131609,0.00007714,0.00487558,0.07109552,0.09768328,0.03907451
-5.84992496,0.14175032,0.00165290,0.00009266,0.00584487,0.08603043,0.11756228,0.04716815
-5.84392196,0.17025234,0.00206507,0.00011058,0.00696004,0.10344501,0.14056383,0.05657380
-5.83791896,0.20320286,0.00256624,0.00013111,0.00823292,0.12360510,0.16697712,0.06742402
-5.83191596,0.24102328,0.00317196,0.00015445,0.00967442,0.14677656,0.19707946,0.07984937
-5.82591296,0.28412463,0.00389975,0.00018079,0.01129412,0.17321943,0.23112806,0.09397529
-5.81990995,0.33289774,0.00476927,0.00021029,0.01309989,0.20318150,0.26935143,0.10991862
-5.81390695,0.38770295,0.00580241,0.00024311,0.01509755,0.23689143,0.31194064,0.12778422
-5.80790395,0.44885990,0.00702341,0.00027935,0.01729055,0.27455165,0.35904083,0.14766143
-5.80190095,0.51663768,0.00845900,0.00031910,0.01967972,0.31633137,0.41074329,0.16962086
-5.79589795,0.59124593,0.01013846,0.00036243,0.02226311,0.36235983,0.46707849,0.19371140
-5.78989495,0.67282736,0.01209379,0.00040937,0.02503594,0.41272021,0.52801048,0.21995787
-5.78389195,0.76145202,0.01435983,0.00045994,0.02799064,0.46744449,0.59343283,0.24835923
-5.77788894,0.85711405,0.01697439,0.00051413,0.03111703,0.52650943,0.66316657,0.27888765
-5.77188594,0.95973084,0.01997838,0.00057194,0.03440261,0.58983416,0.73696009,0.31148846
-5.76588294,1.06914519,0.02341600,0.00063339,0.03783298,0.65727926,0.81449131,0.34608116
-5.75987994,1.18513040,0.02733490,0.00069852,0.04139235,0.72864783,0.89537193,0.38256135
-5.75387694,1.30739819,0.03178630,0.00076739,0.04506412,0.80368834,0.97915378,0.42080371
-5.74787394,1.43560942,0.03682510,0.00084017,0.04883155,0.88209945,1.06533689,0.46066594
-5.74187094,1.56938704,0.04251001,0.00091707,0.05267841,0.96353651,1.15337917,0.50199338
-5.73586793,1.70833083,0.04890348,0.00099843,0.05658962,1.04761979,1.24270717,0.54462442
-5.72986493,1.85203327,0.05607158,0.00108467,0.06055186,1.13394395,1.33272757,0.58839612
-5.72386193,2.00009566,0.06408370,0.00117638,0.06455404,1.22208847,1.42283891,0.63315015
-5.71785893,2.15214378,0.07301207,0.00127425,0.06858772,1.31162875,1.51244322,0.67873846
-5.71185593,2.30784199,0.08293093,0.00137913,0.07264726,1.40214729,1.60095699,0.72502868
-5.70585293,2.46690512,0.09391555,0.00149199,0.07672997,1.49324446,1.68782131,0.77190870
-5.69984992,2.62910716,0.10604076,0.00161391,0.08083588,1.58454862,1.77251081,0.81929038
-5.69384692,2.79428626,0.11937924,0.00174608,0.08496753,1.67572484,1.85454127,0.86711213
-5.68784392,2.96234523,0.13399937,0.00188976,0.08912946,1.76648208,1.93347573,0.91534003
-5.68184092,3.13324764,0.14996274,0.00204622,0.09332763,1.85657836,2.00892920,0.96396767
-5.67583792,3.30700893,0.16732137,0.00221671,0.09756870,1.94582371,2.08057195,1.01301429
-5.66983492,3.48368316,0.18611461,0.00240242,0.10185926,2.03408085,2.14813148,1.06252161
-5.66383192,3.66334541,0.20636590,0.00260439,0.10620501,2.12126332,2.21139338,1.11254907
-5.65782891,3.84607074,0.22807946,0.00282347,0.11060998,2.20733137,2.27020114,1.16316797
-5.65182591,4.03191026,0.25123704,0.00306023,0.11507581,2.29228562,2.32445503,1.21445433
-5.64582291,4.22086564,0.27579486,0.00331495,0.11960106,2.37615874,2.37411030,1.26648115
-5.63981991,4.41286282,0.30168098,0.00358748,0.12418074,2.45900550,2.41917451,1.31930988
