energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.65256239,0.00760560,0.40772136,0.82777248,0.31657864,0.60761707,1.00659817,0.01319107,1.03506918
-5.99399700,2.63731155,0.00731230,0.40990212,0.79956286,0.31819789,0.59732372,1.00776530,0.01395969,1.02103063
-5.98799400,2.61658079,0.00701893,0.41124443,0.77009929,0.31920897,0.58584379,1.00659677,0.01470704,1.00495970
-5.98199100,2.59042569,0.00673514,0.41158581,0.73985130,0.31962660,0.57339451,1.00283976,0.01542216,0.98714689
-5.97598799,2.55901028,0.00647066,0.41078560,0.70931563,0.31947502,0.56021851,0.99629723,0.01609382,0.96791631
-5.96998499,2.52261161,0.00623506,0.40873030,0.67900687,0.31878810,0.54657883,0.98683687,0.01671080,0.94762063
-5.96398199,2.48162287,0.00603755,0.40533782,0.64944863,0.31760969,0.53275404,0.97439809,0.01726230,0.92663657
-5.95797899,2.43655480,0.00588675,0.40056086,0.62116549,0.31599385,0.51903354,0.95899697,0.01773824,0.90536090
-5.95197599,2.38803507,0.00579056,0.39438898,0.59467591,0.31400517,0.50571325,0.94072880,0.01812969,0.88420699
-5.94597299,2.33680521,0.00575595,0.38684960,0.57048601,0.31171891,0.49309145,0.91976814,0.01842914,0.86360171
-5.93996998,2.28371485,0.00578886,0.37800759,0.54908445,0.30922097,0.48146507,0.89636647,0.01863083,0.84398258
-5.93396698,2.22971282,0.00589413,0.36796382,0.53093796,0.30660752,0.47112604,0.87084723,0.01873099,0.82579481
-5.92796398,2.17583497,0.00607536,0.35685237,0.51648769,0.30398421,0.46235803,0.84359861,0.01872802,0.80948815
-5.92196098,2.12318865,0.00633494,0.34483688,0.50614596,0.30146501,0.45543312,0.81506425,0.01862258,0.79551308
-5.91595798,2.07293387,0.00667399,0.33210590,0.50029332,0.29917044,0.45060875,0.78573205,0.01841760,0.78431643
-5.90995498,2.02626150,0.00709241,0.31886758,0.49927567,0.29722545,0.44812459,0.75612157,0.01811823,0.77633603
-5.90395198,1.98436884,0.00758887,0.30534391,0.50340137,0.29575674,0.44819956,0.72677050,0.01773166,0.77199453
-5.89794897,1.94843336,0.00816093,0.29176464,0.51293815,0.29488976,0.45102887,0.69822046,0.01726693,0.77169235
-5.89194597,1.91958512,0.00880506,0.27836118,0.52810968,0.29474544,0.45678117,0.67100282,0.01673461,0.77579984
-5.88594297,1.89887894,0.00951679,0.26536060,0.54909202,0.29543673,0.46559581,0.64562493,0.01614648,0.78464895
-5.87993997,1.88726710,0.01029080,0.25298007,0.57600967,0.29706520,0.47758031,0.62255711,0.01551513,0.79852452
