energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-2.71035518,3.46366037,0.24897068,1.12105146,0.00791377,0.20517018,0.58225760,1.80256402,0.01341103,0.33355397
-2.70435218,3.53811004,0.25079965,1.14790253,0.00846534,0.20768466,0.59643273,1.84026202,0.01378876,0.33599105
-2.69834917,3.61369967,0.25295010,1.17694017,0.00903970,0.20973670,0.61044238,1.87810845,0.01417409,0.33805911
-2.69234617,3.69046220,0.25546828,1.20823860,0.00963346,0.21134578,0.62427117,1.91607167,0.01456348,0.33979453
-2.68634317,3.76835924,0.25838835,1.24181357,0.01024275,0.21253953,0.63789871,1.95408913,0.01495321,0.34123567
-2.68034017,3.84727219,0.26173039,1.27761695,0.01086330,0.21335302,0.65129867,1.99206428,0.01533953,0.34242187
-2.67433717,3.92699581,0.26549901,1.31553335,0.01149049,0.21382781,0.66443797,2.02986448,0.01571871,0.34339229
-2.66833417,4.00723436,0.26968251,1.35537884,0.01211948,0.21401088,0.67727630,2.06731998,0.01608710,0.34418477
-2.66233117,4.08760054,0.27425270,1.39690194,0.01274529,0.21395335,0.68976589,2.10422392,0.01644125,0.34483460
-2.65632816,4.16761737,0.27916542,1.43978673,0.01336289,0.21370911,0.70185153,2.14033364,0.01677788,0.34537329
-2.65032516,4.24672308,0.28436153,1.48365814,0.01396735,0.21333329,0.71347105,2.17537326,0.01709395,0.34582737
-2.64432216,4.32427924,0.28976858,1.52808913,0.01455395,0.21288075,0.72455601,2.20903774,0.01738666,0.34621730
-2.63831916,4.39958204,0.29530290,1.57260961,0.01511822,0.21240446,0.73503292,2.24099842,0.01765348,0.34655651
-2.63231616,4.47187681,0.30087208,1.61671686,0.01565612,0.21195399,0.74482485,2.27091020,0.01789207,0.34685069
-2.62631316,4.54037577,0.30637775,1.65988712,0.01616406,0.21157408,0.75385341,2.29842042,0.01810036,0.34709746
-2.62031016,4.60427871,0.31171859,1.70158800,0.01663901,0.21130340,0.76204127,2.32317928,0.01827645,0.34728625
-2.61430715,4.66279636,0.31679340,1.74129144,0.01707848,0.21117354,0.76931500,2.34485181,0.01841866,0.34739886
-2.60830415,4.71517610,0.32150422,1.77848678,0.01748063,0.21120827,0.77560833,2.36313111,0.01852548,0.34741028
-2.60230115,4.76072921,0.32575936,1.81269361,0.01784423,0.21142318,0.78086569,2.37775260,0.01859560,0.34729011
-2.59629815,4.79885901,0.32947628,1.84347408,0.01816864,0.21182565,0.78504598,2.38850869,0.01862792,0.34700444
-2.59029515,4.82908893,0.33258425,1.87044429,0.01845383,0.21241518,0.78812640,2.39526360,0.01862155,0.34651813
-2.58429215,4.85108943,0.33502678,1.89328444,0.01870032,0.21318417,0.79010619,2.39796736,0.01857589,0.34579737
-2.57828914,4.86470264,0.33676368,1.91174747,0.01890911,0.21411890,0.79101021,2.39666854,0.01849063,0.34481257
-2.57228614,4.86996342,0.33777275,1.92566603,0.01908165,0.21520093,0.79089201,2.39152494,0.01836585,0.34354120
-2.56628314,4.86711584,0.33805113,1.93495739,0.01921977,0.21640864,0.78983632,2.38281140,0.01820206,0.34197063
-2.56028014,4.85662370,0.33761616,1.93962630,0.01932561,0.21771894,0.78796076,2.37092412,0.01800023,0.34010069
-2.55427714,4.83917443,0.33650576,1.93976570,0.01940159,0.21910896,0.78541647,2.35638103,0.01776192,0.33794586
-2.54827414,4.81567533,0.33477832,1.93555509,0.01945030,0.22055778,0.78238772,2.33981751,0.01748922,0.33553685
-2.54227114,4.78724195,0.33251207,1.92725679,0.01947452,0.22204789,0.77909013,2.32197746,0.01718488,0.33292148
-2.53626813,4.75517824,0.32980384,1.91521004,0.01947712,0.22356652,0.77576763,2.30369951,0.01685228,0.33016485
-2.53026513,4.72094874,0.32676735,1.89982306,0.01946107,0.22510652,0.77268802,2.28589852,0.01649542,0.32734861
-2.52426213,4.68614349,0.32353080,1.88156335,0.01942941,0.22666695,0.77013720,2.26954287,0.01611891,0.32456932
-2.51825913,4.65243631,0.32023398,1.86094645,0.01938522,0.22825324,0.76841218,2.25562812,0.01572793,0.32193603
-2.51225613,4.62153801,0.31702483,1.83852338,0.01933163,0.22987686,0.76781300,2.24514778,0.01532815,0.31956711
-2.50625313,4.59514579,0.31405548,1.81486719,0.01927182,0.23155468,0.76863385,2.23906242,0.01492565,0.31758640
-2.50025013,4.57489087,0.31147801,1.79055884,0.01920901,0.23330784,0.77115358,2.23826795,0.01452685,0.31611886
-2.49424712,4.56228609,0.30943978,1.76617294,0.01914646,0.23516046,0.77562600,2.24356469,0.01413835,0.31528598
-2.48824412,4.55867551,0.30807870,1.74226366,0.01908745,0.23713799,0.78227032,2.25562811,0.01376685,0.31520106
-2.48224112,4.56518815,0.30751847,1.71935120,0.01903530,0.23926554,0.79126212,2.27498277,0.01341901,0.31596463
-2.47623812,4.58269761,0.30786399,1.69790928,0.01899334,0.24156615,0.80272511,2.30198038,0.01310133,0.31766018
-2.47023512,4.61178929,0.30919717,1.67835399,0.01896486,0.24405919,0.81672433,2.33678307,0.01282004,0.32035053
-2.46423212,4.65273672,0.31157322,1.66103438,0.01895309,0.24675889,0.83326081,2.37935269,0.01258098,0.32407482
-2.45822911,4.70548798,0.31501773,1.64622506,0.01896114,0.24967321,0.85226818,2.42944652,0.01238950,0.32884644
-2.45222611,4.76966292,0.31952461,1.63412123,0.01899195,0.25280296,0.87361141,2.48661983,0.01225036,0.33465187
-2.44622311,4.84456143,0.32505513,1.62483617,0.01904818,0.25614142,0.89708773,2.55023512,0.01216767,0.34145060
-2.44022011,4.92918256,0.33153796,1.61840143,0.01913219,0.25967420,0.92242994,2.61947786,0.01214481,0.34917603
