energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,W_p_up,W_d_up
-6.00000000,7.09449010,0.07458707,4.40324463,0.72148254,0.01025160,3.95989447,2.59032579
-5.99399700,6.97345064,0.07410162,4.32622850,0.70719291,0.01003741,3.85195385,2.54322778
-5.98799400,6.85797148,0.07376785,4.25780709,0.69040488,0.00982177,3.74665099,2.49978828
-5.98199100,6.75150438,0.07358585,4.20031778,0.67150412,0.00961006,3.64642762,2.46140318
-5.97598799,6.65753204,0.07354979,4.15603953,0.65093416,0.00940806,3.55375708,2.42945234
-5.96998499,6.57947839,0.07364869,4.12713660,0.62918286,0.00922180,3.47108142,2.40526475
-5.96398199,6.52061152,0.07386738,4.11559814,0.60676756,0.00905738,3.40074371,2.39008114
-5.95797899,6.48394224,0.07418766,4.12317521,0.58421927,0.00892076,3.34491784,2.38501503
-5.95197599,6.47212126,0.07458949,4.15131702,0.56206659,0.00881758,3.30553787,2.39101356
-5.94597299,6.48733857,0.07505224,4.20110869,0.54081994,0.00875292,3.28422964,2.40881935
-5.93996998,6.53122861,0.07555588,4.27321277,0.52095650,0.00873112,3.28224697,2.43893483
-5.93396698,6.60478503,0.07608204,4.36781717,0.50290644,0.00875555,3.30041526,2.48159064
-5.92796398,6.70828856,0.07661494,4.48459203,0.48704075,0.00882851,3.33908471,2.53671948
-5.92196098,6.84125159,0.07714203,4.62265801,0.47366101,0.00895102,3.39809538,2.60393690
-5.91595798,7.00238238,0.07765445,4.78056825,0.46299136,0.00912276,3.47675621,2.68253017
-5.90995498,7.18957171,0.07814715,4.95630608,0.45517283,0.00934200,3.57383918,2.77145646
-5.90395198,7.39990386,0.07861873,5.14730000,0.45026011,0.00960558,3.68758993,2.86935095
-5.89794897,7.62969334,0.07907103,5.35045685,0.44822083,0.00990892,3.81575521,2.97454544
-5.89194597,7.87454785,0.07950846,5.56221372,0.44893736,0.01024616,3.95562715,3.08509756
-5.88594297,8.12945702,0.07993716,5.77860809,0.45221095,0.01061020,4.10410371,3.19883034
-5.87993997,8.38890572,0.08036398,5.99536524,0.45776825,0.01099297,4.25776391,3.31338131
-5.87393697,8.64700948,0.08079549,6.20800099,0.46526987,0.01138557,4.41295628,3.42626018
-5.86793397,8.89766863,0.08123692,6.41193722,0.47432096,0.01177855,4.56589777,3.53491359
-5.86193097,9.13473718,0.08169127,6.60262676,0.48448330,0.01216222,4.71278037,3.63679483
-5.85592796,9.35220100,0.08215851,6.77568379,0.49528883,0.01252688,4.84988220,3.72943668
-5.84992496,9.54435977,0.08263516,6.92701536,0.50625400,0.01286322,4.97367917,3.81052464
-5.84392196,9.70600642,0.08311398,7.05294933,0.51689476,0.01316256,5.08095360,3.87796818
-5.83791896,9.83259746,0.08358410,7.15035395,0.52674153,0.01341718,5.16889582,3.92996726
-5.83191596,9.92040774,0.08403147,7.21674432,0.53535377,0.01362059,5.23519503,3.96507163
-5.82591296,9.96666345,0.08443950,7.25037143,0.54233367,0.01376777,5.27811584,3.98223048
-5.81990995,9.96964777,0.08479014,7.25028985,0.54733838,0.01385536,5.29655758,3.98083041
-5.81390695,9.92877426,0.08506508,7.21640093,0.55009043,0.01388180,5.29009365,3.96071992
-5.80790395,9.84462442,0.08524707,7.14946924,0.55038589,0.01384743,5.25898923,3.92221932
-5.80190095,9.71894702,0.08532142,7.05111097,0.54809991,0.01375448,5.20419623,3.86611526
-5.79589795,9.55461817,0.08527728,6.92375398,0.54318950,0.01360703,5.12732528,3.79363991
-5.78989495,9.35556286,0.08510898,6.77057051,0.53569338,0.01341091,5.03059540,3.70643519
-5.78389195,9.12663997,0.08481699,6.59538454,0.52572890,0.01317349,4.91676286,3.60650324
-5.77788894,8.87349443,0.08440869,6.40255660,0.51348622,0.01290347,4.78903165,3.49614476
-5.77188594,8.60238147,0.08389868,6.19685014,0.49921996,0.01261059,4.65094845,3.37788737
-5.76588294,8.31996911,0.08330874,5.98328402,0.48323871,0.01230527,4.50628601,3.25440650
-5.75987994,8.03312593,0.08266735,5.76697623,0.46589286,0.01199832,4.35891890,3.12844174
-5.75387694,7.74870182,0.08200877,5.55298457,0.44756135,0.01170051,4.21269624,3.00271161
-5.74787394,7.47330981,0.08137174,5.34614989,0.42863776,0.01142226,4.07131606,2.87982988
-5.74187094,7.21311696,0.08079783,5.15094756,0.40951653,0.01117326,3.93820568,2.76222646
-5.73586793,6.97365221,0.08032956,4.97135255,0.39057978,0.01096214,3.81641283,2.65207570
-5.72986493,6.75963816,0.08000833,4.81072286,0.37218528,0.01079622,3.70851119,2.55123478
-5.72386193,6.57485331,0.07987232,4.67170573,0.35465610,0.01068123,3.61652401,2.46119411
-5.71785893,6.42202967,0.07995444,4.55616973,0.33827215,0.01062119,3.54186849,2.38304184
-5.71185593,6.30278975,0.08028042,4.46516534,0.32326416,0.01061829,3.48532307,2.31744324
-5.70585293,6.21762503,0.08086726,4.39891528,0.30980998,0.01067281,3.44701853,2.26463597
-5.69984992,6.16591686,0.08172193,4.35683497,0.29803340,0.01078323,3.42645339,2.22444089
-5.69384692,6.14599869,0.08284067,4.33758207,0.28800536,0.01094629,3.42253264,2.19628806
-5.68784392,6.15525710,0.08420867,4.33913340,0.27974735,0.01115719,3.43362837,2.17925674
-5.68184092,6.19026764,0.08580032,4.35888591,0.27323676,0.01140978,3.45765960,2.17212753
-5.67583792,6.24695981,0.08758004,4.39377800,0.26841375,0.01169691,3.49218816,2.17344473
-5.66983492,6.32080465,0.08950354,4.44042620,0.26518932,0.01201066,3.53452662,2.18158604
-5.66383192,6.40701706,0.09151960,4.49527193,0.26345403,0.01234274,3.58185387,2.19483715
-5.65782891,6.50076473,0.09357216,4.55473234,0.26308697,0.01268483,3.63133355,2.21146768
-5.65182591,6.59737486,0.09560271,4.61534924,0.26396446,0.01302886,3.68023045,2.22980585
-5.64582291,6.69253013,0.09755290,4.67393001,0.26596817,0.01336742,3.72602022,2.24830846
-5.63981991,6.78244562,0.09936705,4.72767477,0.26899208,0.01369395,3.76648768,2.26562353
-5.63381691,6.86401936,0.10099465,4.77428454,0.27294825,0.01400303,3.79980995,2.28064296
-5.62781391,6.93494982,0.10239268,4.81204601,0.27777083,0.01429053,3.82462086,2.29254318
-5.62181091,6.99381568,0.10352743,4.83988927,0.28341841,0.01455372,3.84005435,2.30081200
-5.61580790,7.04011418,0.10437609,4.85741627,0.28987456,0.01479134,3.84576514,2.30526082
-5.60980490,7.07425658,0.10492762,4.86489884,0.29714645,0.01500353,3.84192611,2.30602165
-5.60380190,7.09752088,0.10518319,4.86324635,0.30526191,0.01519173,3.82920289,2.30352928
-5.59779890,7.11196400,0.10515592,4.85394469,0.31426482,0.01535859,3.80870709,2.29848940
-5.59179590,7.12029721,0.10487015,4.83896911,0.32420926,0.01550766,3.78193048,2.29183431
-5.58579290,7.12573046,0.10436001,4.82067494,0.33515270,0.01564321,3.75066332,2.28466809
-5.57978989,7.13179241,0.10366762,4.80167092,0.34714848,0.01576988,3.71690058,2.27820380
-5.57378689,7.14213425,0.10284080,4.78468087,0.36023801,0.01589245,3.68274036,2.27369554
-5.56778389,7.16032617,0.10193059,4.77239970,0.37444307,0.01601545,3.65027901,2.27236840
-5.56178089,7.18965545,0.10098855,4.76735024,0.38975865,0.01614292,3.62150749,2.27534948
