energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.22219603,0.02612368,0.04573412,1.05644187,0.23676470,0.04785784,1.90613102,0.46746605,0.13205442
-5.99399700,3.10215986,0.02545968,0.04447498,1.02389713,0.22663518,0.04656979,1.83631355,0.45421319,0.12520462
-5.98799400,2.97748649,0.02469850,0.04314255,0.98922199,0.21603287,0.04518518,1.76367480,0.44008555,0.11831877
-5.98199100,2.84853740,0.02384202,0.04172738,0.95252318,0.20505574,0.04369407,1.68842506,0.42509549,0.11142256
-5.97598799,2.71582123,0.02289540,0.04022447,0.91395456,0.19380557,0.04209256,1.61086072,0.40927809,0.10454606
-5.96998499,2.57997247,0.02186681,0.03863320,0.87371235,0.18238548,0.04038249,1.53135202,0.39268950,0.09772241
-5.96398199,2.44172904,0.02076684,0.03695714,0.83202976,0.17089780,0.03857079,1.45033010,0.37540512,0.09098645
-5.95797899,2.30190966,0.01960808,0.03520373,0.78917127,0.15944215,0.03666894,1.36827406,0.35751766,0.08437351
-5.95197599,2.16139143,0.01840447,0.03338379,0.74542653,0.14811387,0.03469215,1.28569811,0.33913512,0.07791824
-5.94597299,2.02108806,0.01717081,0.03151101,0.70110419,0.13700273,0.03265860,1.20313906,0.32037853,0.07165363
-5.93996998,1.88192934,0.01592215,0.02960140,0.65652538,0.12619198,0.03058862,1.12114452,0.30137959,0.06561016
-5.93396698,1.74484188,0.01467333,0.02767264,0.61201734,0.11575778,0.02850394,1.04026171,0.28227822,0.05981520
-5.92796398,1.61073168,0.01343849,0.02574350,0.56790705,0.10576883,0.02642693,0.96102730,0.26321988,0.05429244
-5.92196098,1.48046847,0.01223070,0.02383329,0.52451508,0.09628639,0.02437995,0.88395817,0.24435295,0.04906163
-5.91595798,1.35487222,0.01106166,0.02196129,0.48214973,0.08736443,0.02238478,0.80954333,0.22582598,0.04413839
-5.90995498,1.23470180,0.00994149,0.02014627,0.44110178,0.07905001,0.02046211,0.73823704,0.20778509,0.03953422
-5.90395198,1.12064604,0.00887854,0.01840616,0.40163965,0.07138391,0.01863124,0.67045321,0.19037141,0.03525654
-5.89794897,1.01331698,0.00787938,0.01675766,0.36400547,0.06440120,0.01690973,0.60656112,0.17371880,0.03130897
-5.89194597,0.91324563,0.00694879,0.01521607,0.32841185,0.05813204,0.01531330,0.54688253,0.15795176,0.02769152
-5.88594297,0.82087977,0.00608984,0.01379505,0.29503957,0.05260240,0.01385573,0.49168996,0.14318377,0.02440104
-5.87993997,0.73658390,0.00530399,0.01250664,0.26403618,0.04783479,0.01254884,0.44120634,0.12951584,0.02143152
-5.87393697,0.66064096,0.00459129,0.01136112,0.23551551,0.04384892,0.01140261,0.39560562,0.11703557,0.01877457
-5.86793397,0.59325551,0.00395055,0.01036712,0.20955805,0.04066226,0.01042519,0.35501446,0.10581645,0.01641982
-5.86193097,0.53455805,0.00337959,0.00953161,0.18621205,0.03829047,0.00962312,0.31951453,0.09591765,0.01435534
-5.85592796,0.48461013,0.00287541,0.00886004,0.16549532,0.03674759,0.00900141,0.28914540,0.08738390,0.01256808
-5.84992496,0.44340971,0.00243447,0.00835637,0.14739756,0.03604613,0.00856367,0.26390771,0.08024578,0.01104420
-5.84392196,0.41089656,0.00205288,0.00802316,0.13188306,0.03619688,0.00831225,0.24376643,0.07452007,0.00976946
-5.83791896,0.38695735,0.00172660,0.00786166,0.11889358,0.03720859,0.00824829,0.22865396,0.07021026,0.00872955
-5.83191596,0.37143013,0.00145168,0.00787184,0.10835138,0.03908745,0.00837178,0.21847302,0.06730703,0.00791029
-5.82591296,0.36410810,0.00122438,0.00805240,0.10016221,0.04183637,0.00868157,0.21309918,0.06578881,0.00729796
-5.81990995,0.36474276,0.00104138,0.00840081,0.09421810,0.04545425,0.00917534,0.21238298,0.06562224,0.00687942
-5.81390695,0.37304637,0.00089991,0.00891327,0.09040004,0.04993513,0.00984960,0.21615172,0.06676261,0.00664234
-5.80790395,0.38869403,0.00079784,0.00958472,0.08858038,0.05526748,0.01069958,0.22421101,0.06915429,0.00657530
-5.80190095,0.41132566,0.00073386,0.01040882,0.08862499,0.06143345,0.01171925,0.23634626,0.07273114,0.00666792
-5.79589795,0.44054833,0.00070751,0.01137796,0.09039522,0.06840851,0.01290125,0.25232424,0.07741697,0.00691101
-5.78989495,0.47593918,0.00071930,0.01248333,0.09374971,0.07616117,0.01423691,0.27189501,0.08312613,0.00729665
-5.78389195,0.51704942,0.00077076,0.01371499,0.09854606,0.08465320,0.01571630,0.29479440,0.08976426,0.00781829
-5.77788894,0.56340975,0.00086447,0.01506201,0.10464244,0.09384010,0.01732836,0.32074714,0.09722927,0.00847092
-5.77188594,0.61453735,0.00100415,0.01651273,0.11189922,0.10367211,0.01906107,0.34947089,0.10541264,0.00925115
-5.76588294,0.66994447,0.00119458,0.01805500,0.12018066,0.11409552,0.02090170,0.38068113,0.11420096,0.01015736
-5.75987994,0.72914863,0.00144165,0.01967655,0.12935655,0.12505442,0.02283714,0.41409686,0.12347786,0.01118980
-5.75387694,0.79168397,0.00175228,0.02136539,0.13930395,0.13649265,0.02485425,0.44944683,0.13312612,0.01235075
-5.74787394,0.85711328,0.00213433,0.02311027,0.14990887,0.14835602,0.02694031,0.48647629,0.14303008,0.01364458
-5.74187094,0.92504008,0.00259651,0.02490112,0.16106784,0.16059452,0.02908335,0.52495354,0.15307816,0.01507776
-5.73586793,0.99511976,0.00314815,0.02672951,0.17268924,0.17316436,0.03127266,0.56467601,0.16316532,0.01665891
-5.72986493,1.06706892,0.00379904,0.02858910,0.18469435,0.18602981,0.03349906,0.60547533,0.17319546,0.01839861
-5.72386193,1.14067198,0.00455912,0.03047594,0.19701782,0.19916442,0.03575522,0.64722074,0.18308346,0.02030926
-5.71785893,1.21578398,0.00543817,0.03238876,0.20960760,0.21255171,0.03803581,0.68982051,0.19275688,0.02240470
-5.71185593,1.29232897,0.00644546,0.03432902,0.22242422,0.22618496,0.04033755,0.73322079,0.20215696,0.02469973
-5.70585293,1.37029332,0.00758929,0.03630091,0.23543921,0.24006618,0.04265906,0.77740162,0.21123904,0.02720955
-5.69984992,1.44971365,0.00887657,0.03831108,0.24863276,0.25420413,0.04500058,0.82237009,0.21997222,0.02994895
-5.69384692,1.53065967,0.01031238,0.04036825,0.26199070,0.26861139,0.04736351,0.86815054,0.22833820,0.03293147
-5.68784392,1.61321206,0.01189942,0.04248258,0.27550072,0.28330066,0.04974984,0.91477220,0.23632943,0.03616839
-5.68184092,1.69743665,0.01363762,0.04466492,0.28914817,0.29828034,0.05216137,0.96225473,0.24394657,0.03966765
-5.67583792,1.78335582,0.01552367,0.04692589,0.30291160,0.31354975,0.05459890,1.01059239,0.25119547,0.04343273
-5.66983492,1.87091897,0.01755064,0.04927486,0.31675823,0.32909406,0.05706140,1.05973780,0.25808385,0.04746162
-5.66383192,1.95997361,0.01970772,0.05171893,0.33063974,0.34487953,0.05954510,1.10958609,0.26461775,0.05174569
-5.65782891,2.05023932,0.02198001,0.05426182,0.34448868,0.36084915,0.06204275,1.15996092,0.27079830,0.05626890
-5.65182591,2.14128629,0.02434845,0.05690290,0.35821574,0.37691918,0.06454295,1.21060301,0.27661876,0.06100701
-5.64582291,2.23252045,0.02678990,0.05963638,0.37170819,0.39297683,0.06702969,1.26116262,0.28206223,0.06592721
-5.63981991,2.32317676,0.02927734,0.06245061,0.38482977,0.40887939,0.06948207,1.31119651,0.28710023,0.07098789
-5.63381691,2.41232172,0.03178033,0.06532772,0.39742202,0.42445498,0.07187441,1.36017024,0.29169221,0.07613893
-5.62781391,2.49886615,0.03426546,0.06824349,0.40930727,0.43950506,0.07417646,1.40746609,0.29578625,0.08132222
-5.62181091,2.58158801,0.03669709,0.07116759,0.42029316,0.45380868,0.07635411,1.45239657,0.29932079,0.08647268
-5.61580790,2.65916510,0.03903820,0.07406420,0.43017863,0.46712841,0.07837025,1.49422342,0.30222760,0.09151960
-5.60980490,2.73021656,0.04125126,0.07689289,0.43876098,0.47921777,0.08018590,1.53218123,0.30443556,0.09638833
-5.60380190,2.79335145,0.04329929,0.07960987,0.44584401,0.48982973,0.08176159,1.56550493,0.30587532,0.10100237
-5.59779890,2.84722246,0.04514694,0.08216957,0.45124643,0.49872614,0.08305883,1.59345987,0.30648458,0.10528559
-5.59179590,2.89058231,0.04676147,0.08452638,0.45481056,0.50568746,0.08404173,1.61537308,0.30621351,0.10916473
-5.58579290,2.92234002,0.04811385,0.08663658,0.45641049,0.51052238,0.08467850,1.63066422,0.30503024,0.11257190
-5.57978989,2.94161455,0.04917965,0.08846035,0.45595960,0.51307687,0.08494297,1.63887477,0.30292602,0.11544707
-5.57378689,2.94778297,0.04993988,0.08996380,0.45341677,0.51324224,0.08481593,1.63969379,0.29991971,0.11774050
