energy_ev,total_up,Au_p_up,Au_d_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up
-6.00000000,3.78386580,0.27436502,3.66359267,0.07267553,0.00000000,0.01243033,0.07185601
-5.99399700,3.73740956,0.26806494,3.62106530,0.07078614,0.00000000,0.01208721,0.06923288
-5.98799400,3.67865770,0.26098278,3.56669447,0.06860886,0.00000000,0.01167809,0.06639625
-5.98199100,3.60885012,0.25316084,3.50168833,0.06616775,0.00000000,0.01121095,0.06338092
-5.97598799,3.52950145,0.24466328,3.42751971,0.06349265,0.00000000,0.01069470,0.06022529
-5.96998499,3.44237402,0.23557455,3.34590038,0.06061841,0.00000000,0.01013894,0.05697033
-5.96398199,3.34944317,0.22599690,3.25874796,0.05758403,0.00000000,0.00955374,0.05365856
-5.95797899,3.25285579,0.21604744,3.16814638,0.05443159,0.00000000,0.00894932,0.05033290
-5.95197599,3.15488341,0.20585463,3.07630081,0.05120528,0.00000000,0.00833589,0.04703560
-5.94597299,3.05787092,0.19555443,2.98548847,0.04795032,0.00000000,0.00772335,0.04380730
-5.93996998,2.96418277,0.18528635,2.89800669,0.04471192,0.00000000,0.00712112,0.04068602
-5.93396698,2.87614794,0.17518944,2.81611979,0.04153430,0.00000000,0.00653797,0.03770647
-5.92796398,2.79600552,0.16539837,2.74200618,0.03845984,0.00000000,0.00598188,0.03489931
-5.92196098,2.72585224,0.15603984,2.67770740,0.03552826,0.00000000,0.00545989,0.03229073
-5.91595798,2.66759359,0.14722934,2.62508028,0.03277596,0.00000000,0.00497808,0.02990204
-5.90995498,2.62289970,0.13906844,2.58575365,0.03023552,0.00000000,0.00454150,0.02774955
-5.90395198,2.59316702,0.13164254,2.56109050,0.02793525,0.00000000,0.00415413,0.02584450
-5.89794897,2.57948679,0.12501938,2.55215665,0.02589892,0.00000000,0.00381897,0.02419319
-5.89194597,2.58262086,0.11924801,2.55969639,0.02414560,0.00000000,0.00353796,0.02279723
-5.88594297,2.60298517,0.11435854,2.58411557,0.02268955,0.00000000,0.00331214,0.02165386
-5.87993997,2.64064122,0.11036242,2.62547240,0.02154029,0.00000000,0.00314164,0.02075642
-5.87393697,2.69529538,0.10725332,2.68347588,0.02070269,0.00000000,0.00302580,0.02009490
-5.86793397,2.76630587,0.10500848,2.75749171,0.02017713,0.00000000,0.00296323,0.01965644
-5.86193097,2.85269704,0.10359059,2.84655541,0.01995969,0.00000000,0.00295192,0.01942605
-5.85592796,2.95318058,0.10294985,2.94939230,0.02004252,0.00000000,0.00298931,0.01938714
-5.84992496,3.06618303,0.10302649,3.06444368,0.02041406,0.00000000,0.00307247,0.01952227
-5.84392196,3.18987896,0.10375329,3.18989880,0.02105945,0.00000000,0.00319813,0.01981370
-5.83791896,3.32222941,0.10505828,3.32373205,0.02196096,0.00000000,0.00336286,0.02024408
-5.83191596,3.46102462,0.10686742,3.46374462,0.02309838,0.00000000,0.00356320,0.02079699
-5.82591296,3.60393062,0.10910716,3.60761005,0.02444952,0.00000000,0.00379580,0.02145750
-5.81990995,3.74853879,0.11170694,3.75292301,0.02599076,0.00000000,0.00405759,0.02221269
-5.81390695,3.89241775,0.11460142,3.89725044,0.02769764,0.00000000,0.00434594,0.02305209
-5.80790395,4.03316667,0.11773249,4.03818442,0.02954538,0.00000000,0.00465885,0.02396806
-5.80190095,4.16846910,0.12105107,4.17339569,0.03150962,0.00000000,0.00499511,0.02495614
-5.79589795,4.29614652,0.12451853,4.30068703,0.03356702,0.00000000,0.00535450,0.02601527
