energy_ev,total_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.80813795,0.17795548,0.11324925,0.35021924,0.05705606,0.00188884,0.10451357,0.00115511,0.32098229
-5.99399700,0.77835217,0.17234293,0.10656311,0.33235011,0.05747079,0.00186191,0.10096124,0.00122787,0.30898593
-5.98799400,0.74936578,0.16696339,0.09985622,0.31453015,0.05807530,0.00184021,0.09752326,0.00131046,0.29730093
-5.98199100,0.72173632,0.16192973,0.09322927,0.29705312,0.05888641,0.00182439,0.09427004,0.00140208,0.28614981
-5.97598799,0.69593160,0.15733444,0.08677354,0.28017849,0.05991145,0.00181487,0.09125973,0.00150177,0.27571996
-5.96998499,0.67231400,0.15324614,0.08056850,0.26412442,0.06114738,0.00181182,0.08853621,0.00160838,0.26615734
-5.96398199,0.65113042,0.14970752,0.07468005,0.24906292,0.06258045,0.00181512,0.08612784,0.00172053,0.25756247
-5.95797899,0.63250799,0.14673452,0.06915953,0.23511725,0.06418629,0.00182435,0.08404701,0.00183667,0.24998875
-5.95197599,0.61645565,0.14431689,0.06404342,0.22236158,0.06593058,0.00183878,0.08229032,0.00195506,0.24344306
-5.94597299,0.60287113,0.14242004,0.05935372,0.21082278,0.06777018,0.00185745,0.08083960,0.00207384,0.23788855
-5.93996998,0.59155296,0.14098801,0.05509891,0.20048411,0.06965473,0.00187913,0.07966346,0.00219105,0.23324947
-5.93396698,0.58221676,0.13994748,0.05127548,0.19129049,0.07152862,0.00190243,0.07871947,0.00230473,0.22941764
-5.92796398,0.57451485,0.13921251,0.04786982,0.18315508,0.07333329,0.00192580,0.07795668,0.00241296,0.22626035
-5.92196098,0.56805834,0.13868992,0.04486041,0.17596674,0.07500976,0.00194765,0.07731856,0.00251400,0.22362916
-5.91595798,0.56244055,0.13828495,0.04222030,0.16959803,0.07650121,0.00196637,0.07674596,0.00260634,0.22136935
-5.90995498,0.55726078,0.13790698,0.03991957,0.16391330,0.07775565,0.00198044,0.07618025,0.00268881,0.21932947
-5.90395198,0.55214742,0.13747511,0.03792782,0.15877662,0.07872841,0.00198846,0.07556617,0.00276067,0.21737065
-5.89794897,0.54677942,0.13692335,0.03621662,0.15405916,0.07938444,0.00198920,0.07485466,0.00282172,0.21537537
-5.89194597,0.54090543,0.13620517,0.03476172,0.14964573,0.07970029,0.00198171,0.07400513,0.00287235,0.21325518
-5.88594297,0.53435982,0.13529734,0.03354510,0.14544042,0.07966569,0.00196530,0.07298750,0.00291365,0.21095735
-5.87993997,0.52707515,0.13420279,0.03255670,0.14137094,0.07928471,0.00193960,0.07178360,0.00294742,0.20847004
-5.87393697,0.51909076,0.13295254,0.03179591,0.13739179,0.07857637,0.00190456,0.07038815,0.00297627,0.20582595
-5.86793397,0.51055731,0.13160657,0.03127276,0.13348618,0.07757474,0.00186049,0.06880915,0.00300360,0.20310435
-5.86193097,0.50173722,0.13025351,0.03100876,0.12966657,0.07632857,0.00180800,0.06706772,0.00303361,0.20043153
-5.85592796,0.49300133,0.12900947,0.03103753,0.12597413,0.07490030,0.00174805,0.06519751,0.00307132,0.19797959
-5.84992496,0.48482176,0.12801564,0.03140502,0.12247711,0.07336476,0.00168184,0.06324357,0.00312251,0.19596382
-5.84392196,0.47776167,0.12743519,0.03216959,0.11926817,0.07180729,0.00161087,0.06126088,0.00319365,0.19463863
-5.83791896,0.47246211,0.12744917,0.03340175,0.11646105,0.07032163,0.00153681,0.05931257,0.00329185,0.19429235
-5.83191596,0.46962659,0.12825183,0.03518371,0.11418653,0.06900751,0.00146151,0.05746785,0.00342477,0.19524099
-5.82591296,0.47000381,0.13004536,0.03760858,0.11258800,0.06796795,0.00138693,0.05579985,0.00360048,0.19782109
-5.81990995,0.47436904,0.13303416,0.04077952,0.11181677,0.06730658,0.00131510,0.05438328,0.00382734,0.20238199
-5.81390695,0.48350475,0.13741892,0.04480845,0.11202718,0.06712477,0.00124806,0.05329218,0.00411387,0.20927760
-5.80790395,0.49818083,0.14339058,0.04981465,0.11337182,0.06751890,0.00118783,0.05259769,0.00446852,0.21885785
-5.80190095,0.51913481,0.15112429,0.05592303,0.11599691,0.06857763,0.00113636,0.05236592,0.00489954,0.23146005
-5.79589795,0.54705266,0.16077369,0.06326217,0.12003790,0.07037940,0.00109548,0.05265599,0.00541480,0.24740028
-5.78989495,0.58255029,0.17246542,0.07196208,0.12561547,0.07299008,0.00106688,0.05351833,0.00602150,0.26696498
-5.78389195,0.62615622,0.18629426,0.08215161,0.13283199,0.07646092,0.00105207,0.05499314,0.00672605,0.29040289
