energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,4.35872200,0.00768428,0.70648522,0.50878635,0.40281963,0.71631637,0.49815823,0.05148027,1.83337037
-5.99399700,4.39615361,0.00770482,0.70972135,0.52676440,0.40058706,0.72553824,0.49960970,0.05210928,1.85401207
-5.98799400,4.43504659,0.00774285,0.71285572,0.54595584,0.39860106,0.73488099,0.50099874,0.05285838,1.87580680
-5.98199100,4.47655209,0.00779678,0.71611488,0.56646183,0.39699823,0.74453548,0.50247895,0.05375573,1.89920650
-5.97598799,4.52185777,0.00786478,0.71973652,0.58837327,0.39591320,0.75471074,0.50421652,0.05482876,1.92467190
-5.96998499,4.57214837,0.00794483,0.72396345,0.61176546,0.39547427,0.76562771,0.50638719,0.05610333,1.95265478
-5.96398199,4.62856414,0.00803473,0.72903756,0.63669279,0.39579873,0.77751221,0.50917309,0.05760278,1.98357898
-5.95797899,4.69215860,0.00813219,0.73519393,0.66318347,0.39698829,0.79058758,0.51275958,0.05934707,2.01782077
-5.95197599,4.76385765,0.00823485,0.74265547,0.69123464,0.39912470,0.80506725,0.51733219,0.06135188,2.05568939
-5.94597299,4.84442150,0.00834033,0.75162818,0.72080800,0.40226589,0.82114770,0.52307372,0.06362787,2.09740877
-5.93996998,4.93441108,0.00844627,0.76229729,0.75182624,0.40644263,0.83900199,0.53016170,0.06618003,2.14310100
-5.93396698,5.03416022,0.00855036,0.77482423,0.78417031,0.41165611,0.85877403,0.53876603,0.06900713,2.19277244
-5.92796398,5.14375448,0.00865041,0.78934461,0.81767779,0.41787641,0.88057406,0.54904697,0.07210136,2.24630299
-5.92196098,5.26301744,0.00874435,0.80596696,0.85214241,0.42504198,0.90447500,0.56115322,0.07544818,2.30343916
-5.91595798,5.39150479,0.00883024,0.82477231,0.88731478,0.43306023,0.93051015,0.57522022,0.07902629,2.36379113
-5.90995498,5.52850610,0.00890634,0.84581421,0.92290439,0.44180924,0.95867179,0.59136826,0.08280787,2.42683414
-5.90395198,5.67305421,0.00897113,0.86911919,0.95858284,0.45114046,0.98891082,0.60970062,0.08675897,2.49191431
-5.89794897,5.82394139,0.00902326,0.89468722,0.99398825,0.46088241,1.02113731,0.63030128,0.09084014,2.55825863
-5.89194597,5.97974184,0.00906164,0.92249209,1.02873076,0.47084522,1.05522154,0.65323231,0.09500719,2.62498910
-5.88594297,6.13883940,0.00908536,0.95248141,1.06239911,0.48082589,1.09099569,0.67853076,0.09921212,2.69114057
-5.87993997,6.29945953,0.00909378,0.98457607,1.09456801,0.49061398,1.12825575,0.70620516,0.10340426,2.75568180
-5.87393697,6.45970463,0.00908643,1.01866916,1.12480626,0.49999773,1.16676371,0.73623148,0.10753137,2.81753922
-5.86793397,6.61759161,0.00906306,1.05462417,1.15268540,0.50877016,1.20624987,0.76854885,0.11154095,2.87562285
-5.86193097,6.77109084,0.00902361,1.09227281,1.17778880,0.51673518,1.24641524,0.80305515,0.11538147,2.92885340
-5.85592796,6.91816567,0.00896819,1.13141237,1.19972084,0.52371332,1.28693414,0.83960271,0.11900369,2.97619015
-5.84992496,7.05681172,0.00889704,1.17180307,1.21811614,0.52954699,1.32745702,0.87799448,0.12236181,3.01665858
-5.84392196,7.18509541,0.00881057,1.21316567,1.23264855,0.53410514,1.36761367,0.91798104,0.12541464,3.04937711
-5.83791896,7.30119116,0.00870929,1.25517979,1.24303971,0.53728699,1.40701696,0.95925881,0.12812655,3.07358213
-5.83191596,7.40341687,0.00859381,1.29748329,1.24906697,0.53902502,1.44526732,1.00146974,0.13046835,3.08865051
-5.82591296,7.49026723,0.00846483,1.33967318,1.25057046,0.53928680,1.48195811,1.04420312,0.13241786,3.09411916
-5.81990995,7.56044462,0.00832314,1.38130846,1.24745904,0.53807595,1.51668188,1.08699938,0.13396043,3.08970062
-5.81390695,7.61288706,0.00816961,1.42191499,1.23971511,0.53543195,1.54903778,1.12935643,0.13508905,3.07529454
-5.80790395,7.64679303,0.00800514,1.46099286,1.22739782,0.53142899,1.57863997,1.17073840,0.13580443,3.05099442
-5.80190095,7.66164254,0.00783074,1.49802594,1.21064478,0.52617384,1.60512689,1.21058680,0.13611472,3.01708935
-5.79589795,7.65721411,0.00764745,1.53249386,1.18967198,0.51980293,1.62817130,1.24833382,0.13603504,2.97406071
-5.78989495,7.63359704,0.00745641,1.56388574,1.16477186,0.51247857,1.64749071,1.28341746,0.13558696,2.92257373
