energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.69022978,0.01063890,0.07254473,0.05908791,2.03587306,0.73068780,0.19299785,1.34721450,0.20149732
-5.99399700,3.72918207,0.01135388,0.07036842,0.06046728,2.05887564,0.74089182,0.19580708,1.35797341,0.20620165
-5.98799400,3.75870684,0.01212089,0.06810711,0.06185909,2.07637240,0.74879283,0.19818483,1.36501888,0.21036842
-5.98199100,3.77786023,0.01292747,0.06576791,0.06323083,2.08787220,0.75422399,0.20005593,1.36812516,0.21389772
-5.97598799,3.78576361,0.01375938,0.06335837,0.06454818,2.09292090,0.75703657,0.20134782,1.36708679,0.21669651
-5.96998499,3.78163297,0.01460097,0.06088663,0.06577582,2.09111646,0.75710472,0.20199316,1.36172599,0.21868136
-5.96398199,3.76480732,0.01543549,0.05836150,0.06687821,2.08212370,0.75433016,0.20193223,1.35190016,0.21978090
-5.95797899,3.73477546,0.01624553,0.05579253,0.06782053,2.06568839,0.74864651,0.20111527,1.33750938,0.21993798
-5.95197599,3.69119960,0.01701351,0.05318992,0.06856950,2.04164983,0.74002319,0.19950449,1.31850342,0.21911141
-5.94597299,3.63393518,0.01772211,0.05056451,0.06909428,2.00995155,0.72846852,0.19707576,1.29488792,0.21727729
-5.93996998,3.56304573,0.01835480,0.04792760,0.06936734,1.97064940,0.71403191,0.19381983,1.26672935,0.21442984
-5.93396698,3.47881208,0.01889633,0.04529085,0.06936525,1.92391672,0.69680506,0.18974313,1.23415847,0.21058166
-5.92796398,3.38173538,0.01933319,0.04266606,0.06906939,1.87004608,0.67692189,0.18486799,1.19737202,0.20576358
-5.92196098,3.27253347,0.01965405,0.04006503,0.06846664,1.80944754,0.65455731,0.17923241,1.15663238,0.20002387
-5.91595798,3.15213067,0.01985005,0.03749940,0.06754980,1.74264316,0.62992473,0.17288917,1.11226510,0.19342706
-5.90995498,3.02164102,0.01991514,0.03498046,0.06631792,1.67025800,0.60327227,0.16590464,1.06465438,0.18605220
-5.90395198,2.88234570,0.01984624,0.03251907,0.06477648,1.59300780,0.57487806,0.15835700,1.01423646,0.17799088
-5.89794897,2.73566517,0.01964330,0.03012549,0.06293733,1.51168374,0.54504441,0.15033422,0.96149126,0.16934476
-5.89194597,2.58312709,0.01930928,0.02780937,0.06081838,1.42713484,0.51409139,0.14193166,0.90693241,0.16022304
-5.88594297,2.42633137,0.01885005,0.02557967,0.05844324,1.34024867,0.48234981,0.13324965,0.85109620,0.15073966
-5.87993997,2.26691337,0.01827413,0.02344465,0.05584049,1.25193106,0.45015409,0.12439085,0.79452975,0.14101051
-5.87393697,2.10650694,0.01759236,0.02141191,0.05304299,1.16308561,0.41783501,0.11545780,0.73777895,0.13115071
-5.86793397,1.94670847,0.01681757,0.01948845,0.05008687,1.07459381,0.38571289,0.10655049,0.68137656,0.12127201
-5.86193097,1.78904338,0.01596410,0.01768073,0.04701058,0.98729636,0.35409126,0.09776425,0.62583098,0.11148039
-5.85592796,1.63493617,0.01504734,0.01599487,0.04385380,0.90197661,0.32325133,0.08918788,0.57161615,0.10187401
