energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,1.46141169,0.00919509,0.04617047,0.34739051,0.14945959,0.55798768,0.64397107,0.88943549,0.00000000
-5.99399700,1.49317536,0.00875301,0.04732607,0.34885965,0.15416769,0.57397993,0.66023017,0.90923904,0.00000000
-5.98799400,1.52325431,0.00837822,0.04827208,0.35111248,0.15866169,0.58931256,0.67620314,0.92815849,0.00000000
-5.98199100,1.55129515,0.00807212,0.04899968,0.35406856,0.16287806,0.60380322,0.69174517,0.94594897,0.00000000
-5.97598799,1.57698027,0.00783591,0.04950382,0.35764285,0.16675480,0.61727993,0.70671810,0.96238353,0.00000000
-5.96998499,1.60002950,0.00767064,0.04978314,0.36174789,0.17023235,0.62958394,0.72098963,0.97725569,0.00000000
-5.96398199,1.62020026,0.00757723,0.04983971,0.36629529,0.17325452,0.64057212,0.73443211,0.99038115,0.00000000
-5.95797899,1.63728647,0.00755653,0.04967876,0.37119689,0.17576939,0.65011892,0.74692135,1.00159885,0.00000000
-5.95197599,1.65111703,0.00760917,0.04930833,0.37636541,0.17773024,0.65811816,0.75833562,1.01077166,0.00000000
-5.94597299,1.66155421,0.00773556,0.04873886,0.38171493,0.17909650,0.66448449,0.76855546,1.01778684,0.00000000
-5.93996998,1.66849279,0.00793570,0.04798280,0.38716111,0.17983467,0.66915482,0.77746438,1.02255674,0.00000000
-5.93396698,1.67186011,0.00820910,0.04705420,0.39262149,0.17991926,0.67208954,0.78495083,1.02501977,0.00000000
-5.92796398,1.67161759,0.00855461,0.04596833,0.39801584,0.17933368,0.67327386,0.79091143,1.02514190,0.00000000
-5.92196098,1.66776373,0.00897032,0.04474141,0.40326675,0.17807106,0.67271893,0.79525553,1.02291860,0.00000000
-5.91595798,1.66033850,0.00945344,0.04339024,0.40830045,0.17613502,0.67046300,0.79791084,1.01837737,0.00000000
-5.90995498,1.64942891,0.01000025,0.04193209,0.41304805,0.17354017,0.66657244,0.79882987,1.01158055,0.00000000
-5.90395198,1.63517533,0.01060604,0.04038445,0.41744693,0.17031255,0.66114244,0.79799682,1.00262830,0.00000000
-5.89794897,1.61777793,0.01126516,0.03876494,0.42144259,0.16648976,0.65429748,0.79543425,0.99166136,0.00000000
-5.89194597,1.59750249,0.01197107,0.03709125,0.42499056,0.16212081,0.64619134,0.79120914,0.97886345,0.00000000
-5.88594297,1.57468501,0.01271648,0.03538106,0.42805842,0.15726567,0.63700646,0.78543770,0.96446267,0.00000000
-5.87993997,1.54973422,0.01349348,0.03365200,0.43062785,0.15199458,0.62695277,0.77828827,0.94873183,0.00000000
-5.87393697,1.52313147,0.01429375,0.03192162,0.43269635,0.14638689,0.61626560,0.76998209,0.93198725,0.00000000
-5.86793397,1.49542733,0.01510880,0.03020732,0.43427873,0.14052978,0.60520283,0.76079131,0.91458581,0.00000000
-5.86193097,1.46723476,0.01593017,0.02852625,0.43540800,0.13451656,0.59404115,0.75103428,0.89692019,0.00000000
-5.85592796,1.43921848,0.01674966,0.02689521,0.43613563,0.12844487,0.58307138,0.74106785,0.87941211,0.00000000
-5.84992496,1.41208073,0.01755955,0.02533052,0.43653109,0.12241470,0.57259297,0.73127701,0.86250368,0.00000000
-5.84392196,1.38654380,0.01835279,0.02384780,0.43668045,0.11652623,0.56290766,0.72206213,0.84664706,0.00000000
-5.83791896,1.36332969,0.01912308,0.02246175,0.43668416,0.11087782,0.55431251,0.71382424,0.83229272,0.00000000
-5.83191596,1.34313780,0.01986501,0.02118598,0.43665392,0.10556395,0.54709236,0.70694906,0.81987653,0.00000000
-5.82591296,1.32662152,0.02057402,0.02003270,0.43670877,0.10067337,0.54151200,0.70179052,0.80980639,0.00000000
-5.81990995,1.31436468,0.02124640,0.01901248,0.43697038,0.09628736,0.53780823,0.69865450,0.80244872,0.00000000
-5.81390695,1.30685906,0.02187919,0.01813408,0.43755794,0.09247840,0.53618210,0.69778382,0.79811550,0.00000000
-5.80790395,1.30448399,0.02247000,0.01740418,0.43858260,0.08930903,0.53679165,0.69934501,0.79705242,0.00000000
-5.80190095,1.30748915,0.02301687,0.01682724,0.44014195,0.08683106,0.53974545,0.70341798,0.79942864,0.00000000
-5.79589795,1.31598151,0.02351806,0.01640540,0.44231465,0.08508520,0.54509719,0.70998878,0.80532888,0.00000000
-5.78989495,1.32991704,0.02397181,0.01613840,0.44515561,0.08410091,0.55284167,0.71894632,0.81474802,0.00000000
-5.78389195,1.34909807,0.02437617,0.01602364,0.44869193,0.08389666,0.56291253,0.73008303,0.82758880,0.00000000
-5.77788894,1.37317619,0.02472886,0.01605620,0.45291987,0.08448045,0.57518171,0.74309974,0.84366259,0.00000000
-5.77188594,1.40166102,0.02502710,0.01622899,0.45780314,0.08585046,0.58946098,0.75761450,0.86269359,0.00000000
-5.76588294,1.43393447,0.02526756,0.01653301,0.46327248,0.08799599,0.60550560,0.77317509,0.88432604,0.00000000
-5.75987994,1.46926983,0.02544640,0.01695753,0.46922685,0.09089841,0.62301982,0.78927466,0.90813444,0.00000000
-5.75387694,1.50685502,0.02555929,0.01749042,0.47553600,0.09453212,0.64166443,0.80536975,0.93363622,0.00000000
-5.74787394,1.54581885,0.02560160,0.01811848,0.48204445,0.09886547,0.66106587,0.82089995,0.96030638,0.00000000
-5.74187094,1.58525910,0.02556856,0.01882778,0.48857666,0.10386159,0.68082655,0.83530820,0.98759346,0.00000000
-5.73586793,1.62427114,0.02545551,0.01960400,0.49494319,0.10947897,0.70053616,0.84806087,1.01493599,0.00000000
-5.72986493,1.66197564,0.02525821,0.02043277,0.50094742,0.11567188,0.71978330,0.85866670,1.04177880,0.00000000
-5.72386193,1.69754431,0.02497310,0.02129996,0.50639269,0.12239053,0.73816693,0.86669363,1.06758836,0.00000000
-5.71785893,1.73022230,0.02459759,0.02219200,0.51108919,0.12958105,0.75530728,0.87178302,1.09186651,0.00000000
-5.71185593,1.75934647,0.02413039,0.02309609,0.51486061,0.13718520,0.77085555,0.87366048,1.11416192,0.00000000
-5.70585293,1.78435893,0.02357162,0.02400042,0.51754988,0.14513999,0.78450219,0.87214308,1.13407893,0.00000000
-5.69984992,1.80481531,0.02292309,0.02489432,0.51902397,0.15337724,0.79598321,0.86714271,1.15128352,0.00000000
-5.69384692,1.82038798,0.02218833,0.02576837,0.51917742,0.16182314,0.80508456,0.85866561,1.16550619,0.00000000
-5.68784392,1.83086440,0.02137261,0.02661453,0.51793464,0.17039798,0.81164435,0.84680842,1.17654213,0.00000000
-5.68184092,1.83614118,0.02048294,0.02742622,0.51525071,0.17901609,0.81555304,0.83175100,1.18424875,0.00000000
-5.67583792,1.83621483,0.01952786,0.02819837,0.51111101,0.18758620,0.81675176,0.81374680,1.18854117,0.00000000
-5.66983492,1.83117016,0.01851729,0.02892756,0.50552970,0.19601216,0.81522904,0.79311125,1.18938622,0.00000000
-5.66383192,1.82116739,0.01746223,0.02961206,0.49854722,0.20419431,0.81101639,0.77020907,1.18679560,0.00000000
-5.65782891,1.80642919,0.01637449,0.03025201,0.49022722,0.21203128,0.80418310,0.74544113,1.18081883,0.00000000
-5.65182591,1.78722868,0.01526631,0.03084961,0.48065298,0.21942246,0.79483066,0.71923163,1.17153671,0.00000000
-5.64582291,1.76387916,0.01415007,0.03140925,0.46992385,0.22627089,0.78308730,0.69201618,1.15905575,0.00000000
-5.63981991,1.73672631,0.01303788,0.03193779,0.45815168,0.23248666,0.76910305,0.66423133,1.14350398,0.00000000
