energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,0.22924159,-0.37206966,0.00141053,-0.00060480,0.02113343,-0.05483755,0.16498697,-0.31747016,0.02374916,-0.04488897,0.00255210,-0.00377054,0.08349941,-0.10783587,0.07597764,-0.07629915,0.02528791,-0.04436999
-5.99399700,0.24716425,-0.34267030,0.00165258,-0.00069781,0.02204110,-0.04933368,0.17585273,-0.28995804,0.02500035,-0.04035788,0.00288978,-0.00351746,0.09182680,-0.10140494,0.08761566,-0.07428877,0.02616174,-0.04043165
-5.98799400,0.26983930,-0.31899122,0.00192280,-0.00081328,0.02339317,-0.04461241,0.19020704,-0.26711836,0.02677875,-0.03646021,0.00328318,-0.00333895,0.10189029,-0.09678159,0.10099692,-0.07386273,0.02750968,-0.03709550
-5.98199100,0.29723476,-0.30121606,0.00222162,-0.00095276,0.02517097,-0.04068561,0.20798591,-0.24909446,0.02908122,-0.03320427,0.00373102,-0.00323574,0.11370191,-0.09404237,0.11615030,-0.07510010,0.02932306,-0.03438220
-5.97598799,0.32926471,-0.28945946,0.00254890,-0.00111779,0.02735235,-0.03755448,0.22909154,-0.23596576,0.03190112,-0.03059032,0.00423130,-0.00320815,0.12725116,-0.09324490,0.13308261,-0.07806649,0.03158749,-0.03230375
-5.96998499,0.36578001,-0.28376890,0.00290389,-0.00130981,0.02991093,-0.03521054,0.25338590,-0.22775144,0.03522753,-0.02861125,0.00478111,-0.00325596,0.14250122,-0.09442720,0.15177379,-0.08281256,0.03428225,-0.03086401
-5.96398199,0.40656013,-0.28412610,0.00328510,-0.00153005,0.03281555,-0.03363656,0.28068489,-0.22441367,0.03904440,-0.02725333,0.00537655,-0.00337844,0.15938550,-0.09760679,0.17217244,-0.08937214,0.03737976,-0.03005904
-5.95797899,0.45130658,-0.29044764,0.00369031,-0.00177948,0.03602978,-0.03280734,0.31075360,-0.22586033,0.04332988,-0.02649683,0.00601260,-0.00357427,0.17780488,-0.10277944,0.19419205,-0.09775992,0.04084523,-0.02987754
-5.95197599,0.49963844,-0.30258476,0.00411650,-0.00205867,0.03951173,-0.03269043,0.34330302,-0.23194684,0.04805578,-0.02631653,0.00668304,-0.00384143,0.19762570,-0.10991782,0.21770804,-0.10796897,0.04463650,-0.03030112
-5.94597299,0.55109068,-0.32032247,0.00455989,-0.00236768,0.04321406,-0.03324660,0.37798864,-0.24247737,0.05318731,-0.02668225,0.00738047,-0.00417716,0.21867886,-0.11896989,0.24255595,-0.11996808,0.04870414,-0.03130454
-5.93996998,0.60511558,-0.34337821,0.00501595,-0.00270600,0.04708432,-0.03443033,0.41441122,-0.25720542,0.05868301,-0.02755915,0.00809631,-0.00457784,0.24076007,-0.12985737,0.26853099,-0.13369917,0.05299179,-0.03285586
-5.93396698,0.66108764,-0.37140050,0.00547946,-0.00307245,0.05106559,-0.03619002,0.45211993,-0.27583410,0.06449511,-0.02890806,0.00882089,-0.00503894,0.26363147,-0.14247425,0.29538909,-0.14907492,0.05743687,-0.03491658
-5.92796398,0.71831204,-0.40396791,0.00594463,-0.00346511,0.05509746,-0.03846825,0.49061805,-0.29801646,0.07057012,-0.03068575,0.00954364,-0.00555492,0.28702459,-0.15668580,0.32284944,-0.16597695,0.06197150,-0.03744179
-5.92196098,0.77603676,-0.44058918,0.00640519,-0.00388126,0.05911734,-0.04120200,0.52937111,-0.32335622,0.07684981,-0.03284518,0.01025322,-0.00611918,0.31064482,-0.17232800,0.35059879,-0.18425469,0.06652381,-0.04038033
-5.91595798,0.83346802,-0.48070469,0.00685460,-0.00431739,0.06306204,-0.04432290,0.56781745,-0.35140944,0.08327262,-0.03533578,0.01093785,-0.00672408,0.33417714,-0.18920786,0.37829719,-0.20372527,0.07101942,-0.04367510
-5.90995498,0.88978879,-0.52369014,0.00728616,-0.00476917,0.06686959,-0.04775763,0.60538078,-0.38168741,0.08977525,-0.03810390,0.01158557,-0.00736091,0.35729307,-0.20710463,0.40558522,-0.22417457,0.07538324,-0.04726345
-5.90395198,0.94417954,-0.56886263,0.00769327,-0.00523152,0.07048129,-0.05142842,0.64148440,-0.41366121,0.09629464,-0.04109327,0.01218457,-0.00801995,0.37965863,-0.22577220,0.43209237,-0.24535959,0.07954133,-0.05107781
-5.89794897,0.99584071,-0.61548955,0.00806958,-0.00569868,0.07384375,-0.05525384,0.67556663,-0.44676811,0.10277009,-0.04424568,0.01272357,-0.00869062,0.40094296,-0.24494264,0.45744636,-0.26701227,0.08342294,-0.05504655
-5.89194597,1.04401586,-0.66280034,0.00840920,-0.00616431,0.07691099,-0.05914968,0.70709663,-0.48042001,0.10914549,-0.04750183,0.01319216,-0.00936160,0.42082742,-0.26433102,0.48128297,-0.28884470,0.08696246,-0.05909497
-5.88594297,1.08801455,-0.71000110,0.00870691,-0.00662164,0.07964649,-0.06303026,0.73559016,-0.51401386,0.11537165,-0.05080226,0.01358119,-0.01002104,0.43901457,-0.28364138,0.50325613,-0.31055566,0.09010139,-0.06314666
-5.87993997,1.12723391,-0.75629168,0.00895829,-0.00706365,0.08202489,-0.06680980,0.76062441,-0.54694389,0.12140845,-0.05408856,0.01388306,-0.01065680,0.45523692,-0.30257373,0.52304762,-0.33183839,0.09279001,-0.06712497
-5.87393697,1.16117796,-0.80088486,0.00915991,-0.00748322,0.08403354,-0.07040410,0.78185142,-0.57861528,0.12722680,-0.05730454,0.01409206,-0.01125676,0.46926483,-0.32083187,0.54037619,-0.35238913,0.09498895,-0.07095466
-5.86793397,1.18947372,-0.84302671,0.00930939,-0.00787342,0.08567351,-0.07373229,0.79900921,-0.60845891,0.13281024,-0.06039763,0.01420458,-0.01180911,0.48091337,-0.33813168,0.55500558,-0.37191635,0.09667025,-0.07456373
-5.86193097,1.21188331,-0.88201757,0.00940547,-0.00822764,0.08696021,-0.07671876,0.81193038,-0.63594646,0.13815619,-0.06332014,0.01421935,-0.01230270,0.49004782,-0.35420964,0.56675116,-0.39014992,0.09781818,-0.07788522
-5.85592796,1.22831152,-0.91723239,0.00944805,-0.00853986,0.08792347,-0.07929503,0.82054755,-0.66060527,0.14327651,-0.06603058,0.01413752,-0.01272734,0.49658750,-0.36883098,0.57548480,-0.40685013,0.09842957,-0.08085903
-5.84992496,1.23880837,-0.94813965,0.00943817,-0.00880482,0.08860703,-0.08140155,0.82489558,-0.68203219,0.14819755,-0.06849476,0.01396275,-0.01307417,0.50050780,-0.38179724,0.58113798,-0.42181580,0.09851371,-0.08343354
-5.84392196,1.24356667,-0.97431767,0.00937788,-0.00901823,0.08906744,-0.08298939,0.82511031,-0.69990573,0.15295949,-0.07068678,0.01370119,-0.01333590,0.50184047,-0.39295276,0.58370275,-0.43489113,0.09809182,-0.08556714
-5.83791896,1.24291462,-0.99546751,0.00927023,-0.00917687,0.08937247,-0.08402163,0.82142406,-0.71399582,0.15761500,-0.07258968,0.01336142,-0.01350712,0.50067200,-0.40218961,0.58323088,-0.44597094,0.09719612,-0.08722934
-5.83191596,1.23730385,-1.01142171,0.00911905,-0.00927875,0.08959898,-0.08447451,0.81415803,-0.72417069,0.16222718,-0.07419580,0.01295430,-0.01358445,0.49714033,-0.40945097,0.57983093,-0.45500387,0.09586858,-0.08840160
-5.82591296,1.22729351,-1.02214818,0.00892881,-0.00932311,0.08983038,-0.08433811,0.80371199,-0.73040029,0.16686698,-0.07550683,0.01249285,-0.01356673,0.49143010,-0.41473230,0.57366379,-0.46199327,0.09415933,-0.08907776
-5.81990995,1.21353126,-1.02774909,0.00870445,-0.00931050,0.09015380,-0.08361672,0.79055182,-0.73275623,0.17161001,-0.07653343,0.01199201,-0.01345511,0.48376666,-0.41808064,0.56493662,-0.46699587,0.09212495,-0.08926398
