energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,3.22085277,0.59260221,2.33485906,0.01968664,0.07426678,0.33361335,0.43172025,0.42632359,0.00000000
-5.99399700,3.26404969,0.60073016,2.36911289,0.01963057,0.07571009,0.33212355,0.43797400,0.43230834,0.00000000
-5.98799400,3.29520743,0.60615512,2.39463150,0.01944585,0.07685426,0.32910818,0.44272453,0.43679484,0.00000000
-5.98199100,3.31441012,0.60887857,2.41135446,0.01913528,0.07770126,0.32465879,0.44603673,0.43979673,0.00000000
-5.97598799,3.32198108,0.60894716,2.41940290,0.01870428,0.07825841,0.31889152,0.44800592,0.44134901,0.00000000
-5.96998499,3.31846275,0.60644925,2.41906605,0.01816063,0.07853775,0.31194379,0.44875529,0.44150576,0.00000000
-5.96398199,3.30459153,0.60151035,2.41078353,0.01751429,0.07855548,0.30397051,0.44843266,0.44033741,0.00000000
-5.95797899,3.28126858,0.59428774,2.39512465,0.01677711,0.07833121,0.29514000,0.44720689,0.43792790,0.00000000
-5.95197599,3.24952849,0.58496460,2.37276561,0.01596238,0.07788719,0.28562963,0.44526394,0.43437189,0.00000000
-5.94597299,3.21050688,0.57374386,2.34446590,0.01508450,0.07724758,0.27562148,0.44280282,0.42977198,0.00000000
-5.93996998,3.16540861,0.56084226,2.31104485,0.01415853,0.07643769,0.26529814,0.44003148,0.42423629,0.00000000
-5.93396698,3.11547756,0.54648470,2.27335936,0.01319972,0.07548330,0.25483879,0.43716280,0.41787629,0.00000000
-5.92796398,3.06196901,0.53089915,2.23228349,0.01222316,0.07441005,0.24441559,0.43441071,0.41080504,0.00000000
-5.92196098,3.00612522,0.51431233,2.18869046,0.01124333,0.07324291,0.23419064,0.43198651,0.40313580,0.00000000
-5.91595798,2.94915465,0.49694614,2.14343744,0.01027378,0.07200571,0.22431336,0.43009536,0.39498099,0.00000000
-5.90995498,2.89221473,0.47901499,2.09735317,0.00932686,0.07072087,0.21491850,0.42893301,0.38645148,0.00000000
-5.90395198,2.83639824,0.46072387,2.05122837,0.00841349,0.06940903,0.20612465,0.42868267,0.37765603,0.00000000
-5.89794897,2.78272276,0.44226716,2.00580861,0.00754299,0.06808895,0.19803331,0.42951209,0.36870096,0.00000000
