energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.89490963,0.01907090,0.40286687,0.01404912,0.52362883,1.87841018,0.48541853,0.47415016,0.07105507
-5.99399700,1.85033831,0.01877856,0.39606358,0.01469131,0.50875305,1.83182528,0.47631581,0.46405130,0.06766379
-5.98799400,1.81047996,0.01844346,0.38892246,0.01549277,0.49624901,1.78392609,0.46780689,0.45603599,0.06470038
-5.98199100,1.77555333,0.01807675,0.38147787,0.01645888,0.48616968,1.73507637,0.45993012,0.45024585,0.06216395
-5.97598799,1.74577449,0.01768976,0.37378856,0.01759280,0.47854396,1.68569726,0.45273787,0.44681211,0.06004957
-5.96998499,1.72134688,0.01729360,0.36593574,0.01889505,0.47337420,1.63626003,0.44629365,0.44585134,0.05834831
-5.96398199,1.70244732,0.01689872,0.35801975,0.02036308,0.47063315,1.58727414,0.44066788,0.44746021,0.05704733
-5.95797899,1.68920904,0.01651457,0.35015530,0.02199087,0.47026086,1.53927138,0.43593237,0.45170976,0.05612985
-5.95197599,1.68170277,0.01614925,0.34246585,0.02376858,0.47216165,1.49278680,0.43215418,0.45863915,0.05557513
-5.94597299,1.67991745,0.01580922,0.33507715,0.02568230,0.47620169,1.44833765,0.42938896,0.46824956,0.05535843
-5.93996998,1.68374187,0.01549915,0.32811060,0.02771394,0.48220737,1.40640136,0.42767439,0.48049830,0.05545107
-5.93396698,1.69294891,0.01522175,0.32167664,0.02984119,0.48996483,1.36739408,0.42702406,0.49529381,0.05582053
-5.92796398,1.70718342,0.01497774,0.31586862,0.03203768,0.49922094,1.33165093,0.42742228,0.51249166,0.05643064
-5.92196098,1.72595521,0.01476594,0.31075747,0.03427333,0.50968579,1.29940919,0.42882007,0.53189211,0.05724196
-5.91595798,1.74863785,0.01458333,0.30638750,0.03651481,0.52103695,1.27079548,0.43113276,0.55323944,0.05821222
-5.90995498,1.77447381,0.01442532,0.30277350,0.03872622,0.53292528,1.24581772,0.43423934,0.57622320,0.05929695
-5.90395198,1.80258625,0.01428598,0.29989936,0.04086986,0.54498238,1.22436234,0.43798360,0.60048170,0.06045025
-5.89794897,1.83199711,0.01415835,0.29771820,0.04290717,0.55682926,1.20619705,0.44217721,0.62560759,0.06162562
-5.89194597,1.86165102,0.01403481,0.29615404,0.04479977,0.56808606,1.19097901,0.44660454,0.65115558,0.06277695
-5.88594297,1.89044409,0.01390742,0.29510489,0.04651050,0.57838242,1.17826808,0.45102897,0.67665207,0.06385955
-5.87993997,1.91725634,0.01376830,0.29444709,0.04800456,0.58736795,1.16754442,0.45520061,0.70160646,0.06483113
-5.87393697,1.94098647,0.01360996,0.29404065,0.04925053,0.59472258,1.15822967,0.45886482,0.72552373,0.06565287
-5.86793397,1.96058737,0.01342563,0.29373534,0.05022137,0.60016607,1.14971067,0.46177132,0.74791787,0.06629033
-5.86193097,1.97510080,0.01320950,0.29337717,0.05089529,0.60346651,1.14136453,0.46368343,0.76832568,0.06671433
-5.85592796,1.98368981,0.01295697,0.29281506,0.05125645,0.60444730,1.13258401,0.46438695,0.78632045,0.06690160
-5.84992496,1.98566747,0.01266477,0.29190725,0.05129550,0.60299233,1.12280198,0.46369840,0.80152486,0.06683534
-5.84392196,1.98052073,0.01233109,0.29052727,0.05100986,0.59904932,1.11151401,0.46147221,0.81362289,0.06650555
-5.83791896,1.96792851,0.01195558,0.28856925,0.05040383,0.59263103,1.09829804,0.45760653,0.82236987,0.06590920
-5.83191596,1.94777344,0.01153932,0.28595219,0.04948846,0.58381444,1.08283065,0.45204755,0.82760076,0.06505011
-5.82591296,1.92014688,0.01108475,0.28262331,0.04828116,0.57273810,1.06489910,0.44479214,0.82923591,0.06393877
-5.81990995,1.88534717,0.01059552,0.27856017,0.04680522,0.55959754,1.04440897,0.43588862,0.82728441,0.06259184
-5.81390695,1.84387156,0.01007633,0.27377164,0.04508899,0.54463939,1.02138730,0.42543600,0.82184479,0.06103161
-5.80790395,1.79640212,0.00953271,0.26829770,0.04316511,0.52815415,0.99598118,0.41358146,0.81310301,0.05928526
-5.80190095,1.74378660,0.00897084,0.26220809,0.04106950,0.51046814,0.96845208,0.40051636,0.80132799,0.05738404
-5.79589795,1.68701488,0.00839729,0.25560004,0.03884038,0.49193486,0.93916642,0.38647105,0.78686468,0.05536244
-5.78989495,1.62719213,0.00781878,0.24859504,0.03651718,0.47292611,0.90858269,0.37170861,0.77012506,0.05325723
-5.78389195,1.56550965,0.00724205,0.24133491,0.03413959,0.45382317,0.87723586,0.35651779,0.75157727,0.05110658
-5.77788894,1.50321436,0.00667358,0.23397737,0.03174658,0.43500816,0.84571963,0.34120545,0.73173330,0.04894917
-5.77188594,1.44157776,0.00611946,0.22669108,0.02937555,0.41685594,0.81466725,0.32608880,0.71113558,0.04682331
-5.76588294,1.38186544,0.00558523,0.21965057,0.02706153,0.39972651,0.78473145,0.31148751,0.69034290,0.04476620
-5.75987994,1.32530758,0.00507582,0.21303100,0.02483662,0.38395816,0.75656421,0.29771606,0.66991598,0.04281320
-5.75387694,1.27307123,0.00459540,0.20700305,0.02272945,0.36986123,0.73079684,0.28507649,0.65040313,0.04099717
-5.74787394,1.22623486,0.00414737,0.20172798,0.02076486,0.35771271,0.70802099,0.27385159,0.63232639,0.03934795
-5.74187094,1.18576549,0.00373434,0.19735301,0.01896367,0.34775150,0.68877099,0.26429878,0.61616848,0.03789187
-5.73586793,1.15249884,0.00335811,0.19400713,0.01734256,0.34017441,0.67350797,0.25664469,0.60236078,0.03665137
-5.72986493,1.12712263,0.00301974,0.19179749,0.01591414,0.33513295,0.66260614,0.25108053,0.59127284,0.03564471
-5.72386193,1.11016346,0.00271956,0.19080634,0.01468699,0.33273076,0.65634155,0.24775836,0.58320356,0.03488575
-5.71785893,1.10197715,0.00245725,0.19108868,0.01366592,0.33302194,0.65488350,0.24678812,0.57837427,0.03438385
-5.71185593,1.10274300,0.00223191,0.19267072,0.01285214,0.33601011,0.65828904,0.24823574,0.57692399,0.03414377
-5.70585293,1.11246192,0.00204215,0.19554905,0.01224359,0.34164848,0.66650044,0.25212200,0.57890699,0.03416576
-5.69984992,1.13095849,0.00188617,0.19969073,0.01183522,0.34984077,0.67934600,0.25842246,0.58429272,0.03444570
-5.69384692,1.15788714,0.00176183,0.20503413,0.01161932,0.36044328,0.69654403,0.26706821,0.59296817,0.03497529
-5.68784392,1.19274216,0.00166679,0.21149071,0.01158586,0.37326801,0.71771004,0.27794762,0.60474268,0.03574237
-5.68184092,1.23487156,0.00159850,0.21894746,0.01172275,0.38808683,0.74236695,0.29090893,0.61935492,0.03673132
-5.67583792,1.28349438,0.00155438,0.22727011,0.01201625,0.40463683,0.76995807,0.30576365,0.63648199,0.03792353
-5.66983492,1.33772097,0.00153180,0.23630693,0.01245114,0.42262653,0.79986241,0.32229072,0.65575019,0.03929789
-5.66383192,1.39657575,0.00152820,0.24589295,0.01301114,0.44174297,0.83141196,0.34024137,0.67674716,0.04083138
-5.65782891,1.45902163,0.00154107,0.25585454,0.01367906,0.46165943,0.86391019,0.35934438,0.69903481,0.04249965
