energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.14900193,0.02989234,0.19327693,0.22641362,0.00000000,0.39093802,0.22219975
-5.99399700,1.07388055,0.02762102,0.18260383,0.21001430,0.00000000,0.36685238,0.20723533
-5.98799400,0.99835525,0.02543727,0.17155269,0.19380098,0.00000000,0.34254440,0.19220682
-5.98199100,0.92370382,0.02338049,0.16032494,0.17804154,0.00000000,0.31845360,0.17735594
-5.97598799,0.85114287,0.02148719,0.14912004,0.16298548,0.00000000,0.29500685,0.16291051
-5.96998499,0.78180800,0.01979075,0.13813135,0.14886072,0.00000000,0.27261171,0.14908071
-5.96398199,0.71673839,0.01832117,0.12754258,0.13587149,0.00000000,0.25165126,0.13605617
-5.95797899,0.65686558,0.01710501,0.11752481,0.12419719,0.00000000,0.23248002,0.12400400
-5.95197599,0.60300630,0.01616533,0.10823411,0.11399198,0.00000000,0.21542115,0.11306757
-5.94597299,0.55585858,0.01552176,0.09980975,0.10538508,0.00000000,0.20076460,0.10336611
-5.93996998,0.51600075,0.01519047,0.09237299,0.09848152,0.00000000,0.18876605,0.09499480
-5.93396698,0.48389248,0.01518421,0.08602629,0.09336307,0.00000000,0.17964645,0.08802533
-5.92796398,0.45987717,0.01551229,0.08085300,0.09008938,0.00000000,0.17359177,0.08250683
-5.92196098,0.44418495,0.01618043,0.07691724,0.08869887,0.00000000,0.17075287,0.07846688
-5.91595798,0.43693587,0.01719069,0.07426414,0.08920951,0.00000000,0.17124519,0.07591260
-5.90995498,0.43814268,0.01854121,0.07292009,0.09161923,0.00000000,0.17514812,0.07483176
-5.90395198,0.44771311,0.02022598,0.07289312,0.09590598,0.00000000,0.18250403,0.07519371
-5.89794897,0.46545148,0.02223462,0.07417329,0.10202749,0.00000000,0.19331678,0.07695028
-5.89194597,0.49105992,0.02455213,0.07673314,0.10992072,0.00000000,0.20754998,0.08003653
-5.88594297,0.52413947,0.02715872,0.08052806,0.11950122,0.00000000,0.22512499,0.08437148
-5.87993997,0.56419150,0.03002982,0.08549683,0.13066240,0.00000000,0.24591891,0.08985888
-5.87393697,0.61062025,0.03313612,0.09156220,0.14327506,0.00000000,0.26976283,0.09638805
-5.86793397,0.66273690,0.03644393,0.09863164,0.15718724,0.00000000,0.29644073,0.10383503
