energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,7.97852223,0.04146928,0.25930017,1.97624520,4.75107843,0.19785689,0.02695367,3.47730592
-5.99399700,7.96436148,0.04210428,0.23725795,1.94650916,4.77250630,0.19730588,0.02517105,3.48475343
-5.98799400,7.96039929,0.04280015,0.21799037,1.92078002,4.79768711,0.19563055,0.02360612,3.49540101
-5.98199100,7.96815488,0.04355873,0.20131046,1.89904457,4.82784272,0.19285629,0.02224731,3.51022797
-5.97598799,7.98904062,0.04438194,0.18702938,1.88125896,4.86414271,0.18904069,0.02108132,3.53012682
-5.96998499,8.02425628,0.04527144,0.17496337,1.86733853,4.90762760,0.18427159,0.02009372,3.55584269
-5.96398199,8.07468380,0.04622832,0.16493976,1.85714692,4.95913296,0.17866420,0.01926949,3.58791528
-5.95797899,8.14078985,0.04725271,0.15680185,1.85048565,5.01921952,0.17235740,0.01859359,3.62662658
-5.95197599,8.22254296,0.04834348,0.15041270,1.84708539,5.08811356,0.16550933,0.01805139,3.67195789
-5.94597299,8.31935191,0.04949793,0.14565799,1.84660013,5.16566212,0.15829249,0.01762915,3.72355896
-5.93996998,8.43003062,0.05071161,0.14244792,1.84860517,5.25130640,0.15088858,0.01731440,3.78073183
-5.93396698,8.55279348,0.05197816,0.14071832,1.85259981,5.34407583,0.14348325,0.01709630,3.84243106
-5.92796398,8.68528329,0.05328928,0.14043095,1.85801500,5.44260422,0.13626088,0.01696595,3.90728117
-5.92196098,8.82463184,0.05463475,0.14157318,1.86422608,5.54516800,0.12939969,0.01691667,3.97361129
-5.91595798,8.96755129,0.05600259,0.14415694,1.87057024,5.64974522,0.12306725,0.01694424,4.03950594
-5.90995498,9.11045234,0.05737923,0.14821718,1.87636798,5.75409275,0.11741652,0.01704704,4.10286986
-5.90395198,9.24958357,0.05874976,0.15380968,1.88094748,5.85583777,0.11258246,0.01722628,4.16150420
-5.89794897,9.38118456,0.06009824,0.16100826,1.88367061,5.95257899,0.10867939,0.01748598,4.21319036
-5.89194597,9.50164484,0.06140802,0.16990143,1.88395909,6.04199204,0.10579899,0.01783306,4.25577759
-5.88594297,9.60765963,0.06266202,0.18058842,1.88131926,6.12193321,0.10400898,0.01827729,4.28726997
-5.87993997,9.69637392,0.06384308,0.19317468,1.87536393,6.19053590,0.10335253,0.01883111,4.30590841
-5.87393697,9.76550652,0.06493422,0.20776666,1.86582998,6.24629420,0.10384819,0.01950945,4.31024375
-5.86793397,9.81344713,0.06591889,0.22446626,1.85259064,6.28812892,0.10549046,0.02032944,4.29919714
-5.86193097,9.83932079,0.06678127,0.24336463,1.83566150,6.31543223,0.10825079,0.02130997,4.27210496
-5.85592796,9.84301613,0.06750639,0.26453580,1.81520003,6.32808852,0.11207906,0.02247123,4.22874608
-5.84992496,9.82517574,0.06808040,0.28803003,1.79149838,6.32647005,0.11690531,0.02383410,4.16935033
-5.84392196,9.78714920,0.06849070,0.31386722,1.76496986,6.31140790,0.12264186,0.02541950,4.09458811
