energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,5.29465707,1.42189806,0.58983309,0.00369223,0.66251198,0.69183287,0.56376573,0.13819775,2.47998227
-5.99399700,5.23976757,1.33668136,0.59219811,0.00374131,0.70220116,0.71870934,0.59893945,0.13774369,2.39130591
-5.98799400,5.21255406,1.25966002,0.59622996,0.00381063,0.74544869,0.74935134,0.63757033,0.13813781,2.31601371
-5.98199100,5.21096483,1.19076773,0.60161474,0.00389808,0.79181786,0.78331475,0.67929871,0.13929308,2.25341182
-5.97598799,5.23218959,1.12972205,0.60797818,0.00400084,0.84076053,0.82005344,0.72365963,0.14110180,2.20246008
-5.96998499,5.27275619,1.07605112,0.61489900,0.00411552,0.89162488,0.85892971,0.77008815,0.14343909,2.16182225
-5.96398199,5.32864856,1.02912486,0.62192396,0.00423823,0.94366733,0.89922808,0.81792849,0.14616679,2.12992432
-5.95797899,5.39544147,0.98818940,0.62858420,0.00436474,0.99606850,0.94017213,0.86644705,0.14913775,2.10501862
-5.95197599,5.46844737,0.95240305,0.63441202,0.00449058,1.04795272,0.98094394,0.91484881,0.15220042,2.08525105
-5.94597299,5.54286995,0.92087259,0.63895750,0.00461125,1.09841060,1.02070563,0.96229693,0.15520347,2.06872896
-5.93996998,5.61395888,0.89268836,0.64180430,0.00472232,1.14652400,1.05862226,1.00793474,0.15800033,2.05358710
-5.93396698,5.67716042,0.86695700,0.64258405,0.00481962,1.19139235,1.09388541,1.05090959,0.16045355,2.03804954
-5.92796398,5.72825840,0.84283096,0.64098873,0.00489935,1.23215945,1.12573647,1.09039749,0.16243877,2.02048524
-5.92196098,5.76350078,0.81953366,0.63678058,0.00495823,1.26803974,1.15348898,1.12562785,0.16384821,1.99945577
-5.91595798,5.77970740,0.79638008,0.62979917,0.00499361,1.29834287,1.17654893,1.15590706,0.16459354,1.97375364
-5.90995498,5.77435530,0.77279206,0.61996551,0.00500351,1.32249551,1.19443241,1.18064014,0.16460804,1.94243040
-5.90395198,5.74563906,0.74830844,0.60728298,0.00498674,1.34005958,1.20677977,1.19934947,0.16384797,1.90481386
-5.89794897,5.69250425,0.72258989,0.59183518,0.00494285,1.35074598,1.21336568,1.21168977,0.16229319,1.86051443
-5.89194597,5.61465370,0.69541889,0.57378093,0.00487219,1.35442315,1.21410468,1.21745862,0.15994682,1.80942093
-5.88594297,5.51252688,0.66669512,0.55334661,0.00477583,1.35112025,1.20905196,1.21660217,0.15683429,1.75168651
-5.87993997,5.38725422,0.63642701,0.53081642,0.00465550,1.34102460,1.19839940,1.20921569,0.15300150,1.68770592
-5.87393697,5.24058894,0.60471997,0.50652083,0.00451354,1.32447368,1.18246682,1.19553893,0.14851241,1.61808544
-5.86793397,5.07481997,0.57176214,0.48082400,0.00435276,1.30194192,1.16168916,1.17594667,0.14344607,1.54360712
-5.86193097,4.89267023,0.53780854,0.45411061,0.00417632,1.27402303,1.13659989,1.15093467,0.13789328,1.46518921
-5.85592796,4.69718504,0.50316420,0.42677259,0.00398765,1.24140872,1.10781161,1.12110197,0.13195301,1.38384441
-5.84992496,4.49161567,0.46816728,0.39919663,0.00379024,1.20486464,1.07599458,1.08713014,0.12572873,1.30063807
-5.84392196,4.27930306,0.43317263,0.37175248,0.00358761,1.16520489,1.04185424,1.04976061,0.11932477,1.21664776
-5.83791896,4.06356659,0.39853661,0.34478291,0.00338313,1.12326602,1.00610872,1.00977097,0.11284301,1.13292596
-5.83191596,3.84760206,0.36460352,0.31859534,0.00317992,1.07988183,0.96946718,0.96795135,0.10637980,1.05046706
-5.82591296,3.63439269,0.33169410,0.29345550,0.00298081,1.03585990,0.93260998,0.92508185,0.10002343,0.97017975
-5.81990995,3.42663588,0.30009630,0.26958322,0.00278824,0.99196077,0.89617136,0.88191185,0.09385212,0.89286544
-5.81390695,3.22668755,0.27005849,0.24715028,0.00260423,0.94888051,0.86072521,0.83914195,0.08793255,0.81920308
-5.80790395,3.03652519,0.24178497,0.22628037,0.00243036,0.90723709,0.82677432,0.79740910,0.08231910,0.74974046
-5.80190095,2.85772924,0.21543399,0.20705079,0.00226777,0.86756095,0.79474323,0.75727528,0.07705362,0.68489173
-5.79589795,2.69148217,0.19111766,0.18949586,0.00211715,0.83028966,0.76497473,0.71921981,0.07216573,0.62494051
-5.78989495,2.53858323,0.16890386,0.17361154,0.00197884,0.79576650,0.73772970,0.68363529,0.06767373,0.57004806
-5.78389195,2.39947675,0.14881965,0.15936105,0.00185282,0.76424272,0.71319000,0.65082689,0.06358582,0.52026537
-5.77788894,2.27429097,0.13085580,0.14668116,0.00173878,0.73588267,0.69146381,0.62101477,0.05990162,0.47554843
-5.77188594,2.16288461,0.11497226,0.13548868,0.00163620,0.71077159,0.67259300,0.59433891,0.05661396,0.43577541
-5.76588294,2.06489785,0.10110403,0.12568697,0.00154441,0.68892495,0.65656175,0.57086603,0.05371073,0.40076489
-5.75987994,1.97980491,0.08916729,0.11717210,0.00146265,0.67029909,0.64330601,0.55059803,0.05117669,0.37029413
-5.75387694,1.90696566,0.07906534,0.10983852,0.00139011,0.65480227,0.63272322,0.53348129,0.04899522,0.34411650
-5.74787394,1.84567389,0.07069425,0.10358391,0.00132604,0.64230578,0.62468188,0.51941658,0.04714983,0.32197738
-5.74187094,1.79520058,0.06394793,0.09831318,0.00126973,0.63265467,0.61903060,0.50826898,0.04562548,0.30362796
-5.73586793,1.75483105,0.05872252,0.09394154,0.00122059,0.62567782,0.61560663,0.49987771,0.04440951,0.28883645
-5.72986493,1.72389528,0.05492001,0.09039657,0.00117815,0.62119720,0.61424353,0.49406561,0.04349232,0.27739659
-5.72386193,1.70179121,0.05245097,0.08761930,0.00114208,0.61903630,0.61477827,0.49064807,0.04286767,0.26913317
-5.71785893,1.68800137,0.05123644,0.08556446,0.00111221,0.61902779,0.61705766,0.48944158,0.04253263,0.26390477
-5.71185593,1.68210324,0.05120900,0.08419976,0.00108852,0.62102043,0.62094439,0.49027170,0.04248724,0.26160364
-5.70585293,1.68377419,0.05231295,0.08350465,0.00107109,0.62488544,0.62632266,0.49298058,0.04273390,0.26215325
-5.69984992,1.69279178,0.05450378,0.08346834,0.00106013,0.63052230,0.63310360,0.49743403,0.04327647,0.26550346
-5.69384692,1.70903024,0.05774696,0.08408739,0.00105593,0.63786412,0.64123053,0.50352805,0.04411925,0.27162405
-5.68784392,1.73245374,0.06201610,0.08536307,0.00105884,0.64688244,0.65068381,0.51119474,0.04526581,0.28049669
-5.68184092,1.76310716,0.06729063,0.08729844,0.00106921,0.65759127,0.66148528,0.52040744,0.04671774,0.29210595
-5.67583792,1.80110442,0.07355306,0.08989540,0.00108741,0.67005025,0.67370191,0.53118479,0.04847340,0.30642975
-5.66983492,1.84661485,0.08078597,0.09315185,0.00111374,0.68436646,0.68744825,0.54359342,0.05052679,0.32342964
-5.66383192,1.89984723,0.08896882,0.09705893,0.00114841,0.70069451,0.70288729,0.55774889,0.05286644,0.34304137
-5.65782891,1.96103166,0.09807466,0.10159867,0.00119156,0.71923451,0.72022919,0.57381449,0.05547454,0.36516617
-5.65182591,2.03039897,0.10806700,0.10674185,0.00124315,0.74022743,0.73972745,0.59199753,0.05832629,0.38966303
-5.64582291,2.10815754,0.11889684,0.11244642,0.00130301,0.76394766,0.76167210,0.61254286,0.06138949,0.41634248
-5.63981991,2.19446775,0.13050001,0.11865636,0.00137077,0.79069234,0.78637965,0.63572336,0.06462441,0.44496208
-5.63381691,2.28941404,0.14279508,0.12530116,0.00144588,0.82076754,0.81417971,0.66182738,0.06798404,0.47522398
-5.62781391,2.39297539,0.15568174,0.13229580,0.00152759,0.85447147,0.84539838,0.69114332,0.07141460,0.50677458
-5.62181091,2.50499480,0.16904002,0.13954141,0.00161493,0.89207497,0.88033885,0.72394159,0.07485644,0.53920676
-5.61580790,2.62514911,0.18273022,0.14692657,0.00170675,0.93379997,0.91925963,0.76045463,0.07824520,0.57206436
-5.60980490,2.75292046,0.19659375,0.15432906,0.00180173,0.97979687,0.96235149,0.80085561,0.08151329,0.60484916
-5.60380190,2.88757098,0.21045487,0.16161836,0.00189835,1.03012169,1.00971401,0.84523691,0.08459156,0.63703013
-5.59779890,3.02812272,0.22412332,0.16865846,0.00199500,1.08471438,1.06133308,0.89358939,0.08741121,0.66805465
-5.59179590,3.17334430,0.23739787,0.17531115,0.00208993,1.14337956,1.11706061,0.94578366,0.08990575,0.69736153
-5.58579290,3.32174625,0.25007057,0.18143963,0.00218137,1.20577096,1.17659791,1.00155456,0.09201303,0.72439526
-5.57978989,3.47158641,0.26193174,0.18691222,0.00226749,1.27138093,1.23948393,1.06049013,0.09367720,0.74862103
-5.57378689,3.62088643,0.27277544,0.19160612,0.00234653,1.33953604,1.30508968,1.12202590,0.09485051,0.76954002
-5.56778389,3.76746021,0.28240520,0.19541115,0.00241680,1.40939975,1.37261960,1.18544563,0.09549497,0.78670431
-5.56178089,3.90895414,0.29063991,0.19823308,0.00247673,1.47998261,1.44112068,1.24988884,0.09558364,0.79973079
-5.55577789,4.04289878,0.29731953,0.19999675,0.00252496,1.55016028,1.50949934,1.31436546,0.09510159,0.80831358
-5.54977489,4.16677073,0.30231041,0.20064855,0.00256034,1.61869916,1.57654620,1.37777760,0.09404650,0.81223442
-5.54377189,4.27806289,0.30551011,0.20015837,0.00258201,1.68428892,1.64096782,1.43894770,0.09242879,0.81137053
-5.53776888,4.37436078,0.30685126,0.19852081,0.00258939,1.74558098,1.70142470,1.49665242,0.09027136,0.80569976
-5.53176588,4.45342203,0.30630465,0.19575576,0.00258225,1.80123145,1.75657389,1.54966080,0.08760889,0.79530267
-5.52576288,4.51325596,0.30388107,0.19190812,0.00256070,1.84994683,1.80511465,1.59677538,0.08448679,0.78036171
-5.51975988,4.55219986,0.29963211,0.18704691,0.00252522,1.89053053,1.84583513,1.63687439,0.08095978,0.76115731
-5.51375688,4.56898863,0.29364971,0.18126367,0.00247663,1.92192809,1.87765801,1.66895313,0.07709026,0.73806141
-5.50775388,4.56281469,0.28606461,0.17467029,0.00241609,1.94326912,1.89968299,1.69216273,0.07294649,0.71152844
-5.50175088,4.53337522,0.27704374,0.16739639,0.00234508,1.95390380,1.91122420,1.70584436,0.06860064,0.68208450
-5.49574787,4.48090462,0.26678667,0.15958630,0.00226537,1.95343249,1.91184065,1.70955732,0.06412685,0.65031502
-5.48974487,4.40619032,0.25552129,0.15139589,0.00217898,1.94172666,1.90135835,1.70309958,0.05959940,0.61685147
-5.48374187,4.31057111,0.24349894,0.14298921,0.00208812,1.91894051,1.87988299,1.68651994,0.05509091,0.58235773
-5.47773887,4.19591774,0.23098916,0.13453525,0.00199515,1.88551231,1.84780262,1.66012094,0.05067087,0.54751661
-5.47173587,4.06459634,0.21827424,0.12620478,0.00190255,1.84215570,1.80578013,1.62445264,0.04640435,0.51301679
-5.46573287,3.91941599,0.20564379,0.11816738,0.00181282,1.78984120,1.75473600,1.58029743,0.04235091,0.47954085
-5.45972986,3.76356216,0.19338949,0.11058881,0.00172847,1.72976867,1.69582196,1.52864664,0.03856395,0.44775427
-5.45372686,3.60051870,0.18180004,0.10362861,0.00165192,1.66333214,1.63038692,1.47066992,0.03509017,0.41829591
-5.44772386,3.43398083,0.17115659,0.09743809,0.00158551,1.59207841,1.55993654,1.40767902,0.03196941,0.39176965
-5.44172086,3.26776242,0.16172850,0.09215852,0.00153139,1.51766119,1.48608828,1.34108727,0.02923459,0.36873742
-5.43571786,3.10570038,0.15376948,0.08791969,0.00149150,1.44179267,1.41052365,1.27236670,0.02691196,0.34971326
-5.42971486,2.95155935,0.14751423,0.08483852,0.00146755,1.36619443,1.33493969,1.20300448,0.02502131,0.33515825
-5.42371186,2.80893944,0.14317531,0.08301796,0.00146095,1.29254939,1.26100128,1.13446035,0.02357643,0.32547611
-5.41770885,2.68118945,0.14094031,0.08254584,0.00147278,1.22245666,1.19029618,1.06812661,0.02258546,0.32100909
