energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.50963447,1.31940243,2.79547823,0.01027120,0.13220952,1.43892639,1.92874444,0.55187487,0.00000000
-5.99399700,5.46459130,1.31697177,2.76066092,0.00984774,0.13242697,1.44462578,1.92096014,0.54937874,0.00000000
-5.98799400,5.41243960,1.31249820,2.72133171,0.00940747,0.13281010,1.44757777,1.91134908,0.54635108,0.00000000
-5.98199100,5.35285750,1.30589306,2.67766670,0.00895614,0.13326608,1.44739296,1.89958251,0.54270500,0.00000000
-5.97598799,5.28559230,1.29709607,2.62988369,0.00849964,0.13370231,1.44373803,1.88534273,0.53835702,0.00000000
-5.96998499,5.21046509,1.28607750,2.57823370,0.00804385,0.13402873,1.43633935,1.86833284,0.53322963,0.00000000
-5.96398199,5.12737452,1.27283953,2.52299227,0.00759451,0.13416013,1.42498609,1.84828626,0.52725380,0.00000000
-5.95797899,5.03630004,1.25741667,2.46445110,0.00715709,0.13401831,1.40953276,1.82497566,0.52037160,0.00000000
-5.95197599,4.93730435,1.23987526,2.40291047,0.00673664,0.13353403,1.38990106,1.79822108,0.51253858,0.00000000
-5.94597299,4.83053525,1.22031195,2.33867268,0.00633767,0.13264876,1.36608103,1.76789680,0.50372587,0.00000000
-5.93996998,4.71622653,1.19885121,2.27203688,0.00596411,0.13131606,1.33813110,1.73393679,0.49392190,0.00000000
-5.93396698,4.59469768,1.17564178,2.20329522,0.00561916,0.12950258,1.30617718,1.69633837,0.48313349,0.00000000
-5.92796398,4.46635217,1.15085234,2.13273032,0.00530527,0.12718867,1.27041031,1.65516390,0.47138638,0.00000000
-5.92196098,4.33167393,1.12466628,2.06061393,0.00502410,0.12436858,1.23108297,1.61054050,0.45872497,0.00000000
-5.91595798,4.19122185,1.09727589,1.98720662,0.00477649,0.12105015,1.18850392,1.56265755,0.44521145,0.00000000
-5.90995498,4.04562238,1.06887627,1.91275815,0.00456251,0.11725417,1.14303157,1.51176221,0.43092406,0.00000000
-5.90395198,3.89555996,1.03965901,1.83750839,0.00438142,0.11301325,1.09506601,1.45815311,0.41595491,0.00000000
-5.89794897,3.74176579,1.00980614,1.76168854,0.00423178,0.10837047,1.04503998,1.40217243,0.40040708,0.00000000
-5.89194597,3.58500523,0.97948463,1.68552235,0.00411150,0.10337764,0.99340888,1.34419679,0.38439151,0.00000000
-5.88594297,3.42606418,0.94884169,1.60922734,0.00401788,0.09809340,0.94064034,1.28462733,0.36802358,0.00000000
-5.87993997,3.26573526,0.91800121,1.53301584,0.00394776,0.09258125,0.88720363,1.22387952,0.35141970,0.00000000
-5.87393697,3.10480427,0.88706151,1.45709580,0.00389761,0.08690746,0.83355939,1.16237298,0.33469408,0.00000000
-5.86793397,2.94403756,0.85609463,1.38167142,0.00386360,0.08113906,0.78014996,1.10052203,0.31795574,0.00000000
-5.86193097,2.78417096,0.82514711,1.30694348,0.00384180,0.07534196,0.72739085,1.03872705,0.30130611,0.00000000
-5.85592796,2.62590060,0.79424233,1.23310957,0.00382824,0.06957922,0.67566346,0.97736724,0.28483705,0.00000000
-5.84992496,2.46987603,0.76338418,1.16036412,0.00381906,0.06390961,0.62530945,0.91679474,0.26862958,0.00000000
-5.84392196,2.31669566,0.73256188,1.08889828,0.00381061,0.05838640,0.57662671,0.85733047,0.25275326,0.00000000
-5.83791896,2.16690461,0.70175568,1.01889974,0.00379962,0.05305644,0.52986725,0.79926155,0.23726613,0.00000000
-5.83191596,2.02099464,0.67094294,0.95055237,0.00378325,0.04795963,0.48523663,0.74284024,0.22221528,0.00000000
-5.82591296,1.87940606,0.64010440,0.88403573,0.00375921,0.04312856,0.44289508,0.68828433,0.20763778,0.00000000
-5.81990995,1.74253097,0.60923008,0.81952445,0.00372584,0.03858857,0.40296003,0.63577871,0.19356211,0.00000000
-5.81390695,1.61071752,0.57832450,0.75718747,0.00368219,0.03435796,0.36550974,0.58547787,0.18000967,0.00000000
-5.80790395,1.48427476,0.54741093,0.69718699,0.00362804,0.03044845,0.33058782,0.53750904,0.16699644,0.00000000
-5.80190095,1.36347753,0.51653439,0.63967740,0.00356398,0.02686584,0.29820838,0.49197584,0.15453468,0.00000000
-5.79589795,1.24857117,0.48576328,0.58480395,0.00349138,0.02361069,0.26836144,0.44896199,0.14263437,0.00000000
-5.78989495,1.13977564,0.45518949,0.53270139,0.00341239,0.02067923,0.24101844,0.40853513,0.13130456,0.00000000
